美国抗疫与经济双输 中国持久战应该怎么打？|2020年08月01日 23:47|原标题：美国抗疫与经济双输，中国持久战应该怎么打？ 责任编辑：吴金明 
大连8例新增确诊病例轨迹公布|2020年08月01日 23:24|原标题：大连8例新增确诊病例轨迹公布 扩散周知，寻找密切接触者！ 7月31日，辽宁新增8例本土病例，现将其轨迹公布如下： 1。确诊病例69：张某，女，28岁，个体经营者，现住址：甘井子区宇圣明珠小区。7月30日，社区组织新冠肺炎病毒核酸集中筛查结果阳性，经大连市疾控中心复核阳性。经临床检查，7月31日由省专家组复核为确诊病例（轻型），目前病情稳定，在定点医院隔离治疗。对排查的密切接触者正在实施集中隔离医学观察。 该患者重点关注行动轨迹如下： 患者每日步行往返于家和店面（小颖美甲店）之间，中午由母亲送餐。 7月22日，19时至20时，在老渔翁铁锅炖聚餐。 7月23日，居家未外出。 7月24日，居家。11时许至乐哈哈超市购物。 7月25日，居家。20时37分至晓坤超市购物。 7月26日-30日，居家未外出。 2。确诊病例70：吴某，女，41周岁，大连凯洋世界海鲜股份有限公司员工，居住地址：甘井子区二十间大瓦房。7月26日作为本市确诊病例的密切接触者在集中隔离点进行核酸检测筛查，大连市疾控中心检测结果阳性。经临床检查，7月31日由省专家组复核为确诊病例（轻型），目前病情稳定，在定点医院隔离治疗。对排查的密切接触者正在实施集中隔离医学观察。 该患者重点关注行动轨迹如下： 患者每日6时30分步行上班，17时10分下班步行返家。 7月19日，居家。15时步行至李家市场购物。 7月20日，正常上下班。17时40分至李家市场购物。 7月21日，正常上下班。17时40分至李家市场购物。 7月22日，被转运至集中隔离点实施集中医学观察。 3。确诊病例71：王某，女，30岁，大连凯洋世界海鲜股份有限公司职工。现住址：甘井子区大连湾街道湾浦村。7月26日作为确诊病例的密切接触者在集中隔离点进行新冠肺炎病毒核酸检测筛查，大连市疾控中心检测结果呈阳性。经临床检查，7月31日由省专家组复核为确诊病例（轻型），目前病情稳定，在定点医院隔离治疗。对排查的密切接触者正在实施集中隔离医学观察。 该患者重点关注行动轨迹如下： 患者每日7时30分乘1001路或2005路公交车（刘屯-大连湾地铁站）至单位上班，17时下班原路返家。 7月18日，13时22分乘1001路公交车（刘屯站-68中学站）至友加健身中心健身；17时19分原路返家。 7月19日，居家未外出。 7月20日，上午正常上班；中午12时至李志强诊所（俪泊园）购买胃药；18时10分乘1001路公交车到友加健身中心健身，21时12分原路返家。 7月21日，正常上下班。 7月22日，被转运至集中隔离点实施集中医学观察。 4。确诊病例72：马某，男，52岁，大连湾某建筑装饰公司工人。现住址：大连湾街道宋家村某职工宿舍楼。7月28日，大连市疾控中心新冠肺炎核酸检测阳性。经临床检查，7月31日由省专家组复核为确诊病例（轻型），目前病情稳定，在定点医院隔离治疗。对排查的密切接触者正在实施集中隔离医学观察。 该患者重点关注行动轨迹如下： 7月20日，6时乘坐通勤车至工地，18时下班返回宿舍。19时36分至宋家市场购物；20时25分至乐天超市购物；20时36分至金鹿生鲜乐哈哈超市购物。 7月21日-23日，正常上下班，回宿舍后未外出。 7月24日，正常上下班。20时13分至金鹿生鲜乐哈哈超市购物。 7月25日，正常上下班，回宿舍后未外出。 7月26日-28日，在宿舍未外出。 5。确诊病例73：崔某，女， 50岁，某船舶公司员工。现住址：甘井子区大连湾街道宋家村。7月28日社区进行新冠肺炎病毒筛查核酸结果阳性，后经大连市疾控中心复核阳性。经临床检查，7月31日由省专家组复核为确诊病例（轻型），目前病情稳定，在定点医院隔离治疗。对排查的密切接触者正在实施集中隔离医学观察。 该患者重点关注行动轨迹如下： 7月14日-24日，每日6时10分骑车上班，18时下班原路返家。 7月25日，骑车上下班。18时12分，至乐哈哈超市（宋家小学斜对面）购物。 7月26日，19时13分至宋家村乐天超市购物。19时20分至蔬菜店（宋家村时光美发店旁）买菜。 7月27日，居家未外出。 7月28日，被转运至集中隔离点实施集中医学观察。 6。确诊病例74：武某，男，57岁，大连湾某建筑装饰公司工人。现住址：大连湾街道宋家村某职工宿舍楼。7月28日，大连市疾控中心新冠肺炎核酸检测阳性。经临床检查，7月31日由省专家组复核为确诊病例（轻型），目前病情稳定，在定点医院隔离治疗。对排查的密切接触者正在实施集中隔离医学观察。 该患者重点关注行动轨迹如下： 7月20日，6时乘坐通勤车至工地，18时下班返回宿舍。19时36分至宋家市场购物； 20时36分至金鹿生鲜乐哈哈超市购物。 7月21日-23日，正常上下班，回宿舍后未外出。 7月24日，正常上下班。 20时30分至金鹿生鲜乐哈哈超市购物。 7月25日-28日，在宿舍未外出。 7。确诊病例75：车某，男，40岁，某国企员工，现住址：甘井子区大连湾街道刘屯。7月30日，社区新冠肺炎病毒核酸检测结果呈阳性，经大连市疾控中心复核阳性。经临床检查，7月31日由省专家组复核为确诊病例（普通型），目前病情稳定，在定点医院隔离治疗。对排查的密切接触者正在实施集中隔离医学观察。 该患者重点关注行动轨迹如下： 患者每天7时30分自驾车到单位（甘井子区大连湾街道），17时下班驾车返家。 7月17日，6时59分至大连湾辽渔东门车站附近乐哈哈超市购物。7时05分至御品鲜包子铺大连湾西街店。 7月18日，6时56分至鹿港小镇附近流动卖货车购物。 7月19日，7时5分至大连湾西街御品鲜包子铺购餐。 7月20日-21日，正常上下班。 7月22日，7时1分至东电小区艳君商店购物；17时52分至大连湾辽渔东门车站老武修鞋店修鞋。 7月23日-29日，居家。7月29日14时参加社区新冠肺炎病毒核酸筛查。 7月30日，被转运至集中隔离点实施集中医学观察。 8。确诊病例76：赫某，男性，56岁，某物流公司职工，现住址：金普新区湾里街道民生园。7月30日，社区新冠肺炎病毒核酸集中筛查结果呈阳性，经大连市疾控复核阳性。经临床检查，7月31日由省专家组复核为确诊病例（普通型），目前病情稳定，在定点医院隔离治疗。对排查的密切接触者正在实施集中隔离医学观察。 该患者重点关注行动轨迹如下： 7月16日-25日，工作日7时30分步行至公司（铁山东路），17时30分下班步行返家。休息日12时左右步行至顺康大药房（山河御景店）给妻子送餐。 7月26日，9时至10时在单位加班；11时至顺康大药房。 7月27日，正常上下班。16时至山河御景小区社区新冠肺炎病毒核酸集中筛查点采样；16时30分返家。 7月28日，正常上下班。 7月29日，正常上下班。17时11分至金湾山城小区伊生鲜超市购物。 7月30日，被转运至集中隔离点实施集中医学观察。（总台央视记者李承泽） 责任编辑：吴金明 
大连最小确诊患者1个月婴儿病情稳定精神状态良好|2020年08月01日 22:58|原标题：大连最小确诊患者1个月婴儿病情稳定精神状态良好 7月22日0时至7月31日24时，辽宁省大连市定点医院共收治大连本土确诊病例及无症状感染者107例，年龄最大75岁，最小出生1个月。 市民关心的1个月婴儿救治情况介绍：该婴儿核酸检测阳性后，大连市卫健委立即组织儿科专家团队入驻病区，开始救治工作。目前婴儿病情稳定，精神状态良好，无发热、咳嗽、气短症状，肺部CT检查未发现异常，并在确诊家人及医护人员的陪护下，密切观察病情变化。（总台央视记者 李承泽） 责任编辑：吴金明 
梁振英：反对派罔顾市民健康 以政治凌驾公共卫生|2020年08月01日 21:25|原标题：梁振英：反对派罔顾市民健康 以政治凌驾公共卫生 新华社香港8月1日电 香港疫情严峻，特区政府7月31日决定将特区第七届立法会选举推迟一年举行。全国政协副主席梁振英1日表示，反对派对特区政府推迟立法会选举的批评，是罔顾市民健康、以政治凌驾公共卫生、为反对而反对的歪论。 梁振英当日通过社交媒体表示，香港出现第三波疫情，连续十天每天过百宗确诊病例，而且源头仍然不明，所有大型群体活动因此均已延期或取消。在这种情况下，未来一个月在各选区、各功能组别的拉票工作将无法正常进行；300多万人在全港18区的投票，还有动员几万人的组织和点票工作也无法正常运作。 梁振英说，特区政府以至全社会在未来一段时间的工作重点必须是遏止疫情蔓延以至完全清零，在保障市民健康的同时，尽早恢复正常经济活动，避免经济继续下滑、失业问题恶化。  责任编辑：刘德宾 SN222 
德国暂停执行与香港的移交逃犯协定 港府回应|2020年08月01日 21:03|原标题：香港特区政府强烈反对德国暂停执行与香港的移交逃犯协定 香港特区政府发言人今天（1日）表示，德国政府为了政治目的，以香港特区政府因应疫情严峻而决定押后立法会选举为借口，单方面暂停移交逃犯协定，属于双重标准的政治操作，同时粗暴干涉中国内政，严重违反国际法与国际关系基本准则。 发言人说，德国政府甘心让犯罪分子逃避法律制裁，更凸显德国有机会成为部分在香港被通缉人士尝试逃避法律责任的地方，德国要就此向法治与国际交代。（总台记者 周伟琪 金东） 责任编辑：张申 
当新冠疫情与流感高发季叠加，如何防控？专家回应|2020年08月01日 19:29|原标题：当新冠疫情与流感高发季叠加，如何防控？ 随着秋冬季节的临近，我国或将迎来流感-新冠病毒“双流行”的严峻形势，流感将成为影响新冠疫情“第二战”成败的关键因素。如何防控？在2020季节性流感防控策略学术交流会上，中国疾病预防控制中心国家免疫规划高级顾问LanceE。 Rodewald博士强调，“新冠期间，世卫组织建议优先接种流感疫苗，特别是卫生工作者、老年人和孕妇。” 根据世界卫生组织（WHO）估计，全球每年因流感导致约65万人死亡，相当于每48秒就有一人死于流感。同时研究显示，2010-2011至2014-2015年流感季，中国每年有超过8.8万人死于与流感相关的超额呼吸死亡。 秋冬季节，流感将如期而至。当它与新冠肺炎交织在一起，会变换出什么花样？“我们需要提前关注新冠-流感病毒共同流行的问题。”中国医学科学院北京协和医学院教授冯录召强调。 早在5月，全国政协委员、北京医院大内科主任孙铁英，曾结合在武汉战疫一线的观察表示，收治的50例重症新冠肺炎病人中，有18例流感核酸检测呈阳性，新冠-流感“双重感染”者很多。而对于早已进入流感季的南半球，两种甚至多种病毒同时在人群中流行，一方面给医生的诊疗工作带来很大困扰，另一方面患者因暴露于疫情时期就医环境导致的交叉感染，给医疗系统带来沉重负担。 在尚没有有效的新冠疫苗保护的情况下，越来越多的专家开始呼吁，接种流感疫苗，将能够为易感人群提供普遍的免疫保护，有助于抵御第二波疫情。 接种流感疫苗是预防流感最有效的手段，可降低接种者罹患流感及其严重并发症的风险。据全球数据统计，老年人接种流感疫苗可将疾病/相关并发症的严重程度最高降低60%，死亡率最高降低80%；接种流感疫苗可使校龄儿童患流感风险降低70% ，校内流感暴发风险降低近90%。 校园人口密度高，是流感最易传播的场所之一。据深圳疾病控制信息管理系统分别在2019年、2020年1-7月监测到的全市聚集性疫情数据，校园疫情占比超95%，给教学活动的正常开展造成干扰，严重者更有整个班级停课现象发生。为提高流感疫苗接种率、避免校园聚集性流感暴发，深圳市在2019年首次针对全市中小学实施流感疫苗免费接种项目，由市政府集中采购、买单，并通过校医园医培训、学校健康知识讲座等，多维度加强校园流感防控教育。有关专家对此呼吁其他省市因地制宜加强流感防控，特别是考虑将流感公费项目纳入决策范畴，提高群体流感疫苗接种率，构建健康城市。 由于流感病毒高度的易变性和不可确定性，为了使疫苗更有效，流感疫苗中所含病毒组份需要定期更新。WHO每年都会通过全球上百个国家流感中心的监测结果，筛选出下一个流感流行季节最有可能流行的病毒株，推荐给流感疫苗生产企业制备疫苗。今年WHO公布的北半球流行病毒株有3个毒株较去年有更新，其中2个来自我国的广东茂名和香港，也意味着今年我国流感防控形势的不容小觑。 目前，国内上市的流感疫苗均以鸡蛋为材料进行培养。一般而言，疫苗从组织鸡胚到上市需要半年的生产周期。照此计算，目前已经到了保障流感疫苗供应的关键期。 受新冠疫情影响，今年公众对流感疫苗的关注度和需求或将明显增加。冯录召教授提到，2020年流感疫苗的批签发量预计将比2019年翻番，达到5000万剂。但这仅能覆盖我国4%的人口，人群整体接种率仍较低，需要对高危人群更优先接种。 此外，目前我国批准上市的流感疫苗分为三价和四价灭活疫苗、三价减毒活疫苗等，对此冯录召教授引用《中国流感疫苗预防接种技术指南（2019-2020）》中的描述介绍，对可接种不同类型、不同厂家疫苗产品的人群，可自愿接种任一种流感疫苗，无优先推荐。 值得注意的是，考虑到流感-新冠共同流行的可能性，今年流感季的第一批疫苗已经完成了批签发，比2019年提早了近一个月。 赛诺菲巴斯德中国区总经理张和平表示，赛诺菲巴斯德始终致力于为中国民众提供优质的疫苗、推动中国免疫预防事业的发展。面对今年流感-新冠共同流行风险，赛诺菲巴斯德将不遗余力保证流感疫苗供货稳定。 本次会议由中华预防医学会主办、赛诺菲巴斯德公益支持。 责任编辑：张玉 
北京多个商超下架南美虾类，改卖国产虾！|2020年08月01日 19:11|原标题：北京多个商超下架南美虾类，改卖国产虾！ （健康时报记者 郝倩玉）在海产品外包装检测出新冠病毒核酸阳性后，7月31日，有消息称，永辉超市、盒马鲜生、沃尔玛等超市多地卖场已经相继下架厄瓜多尔冻虾、南美白对虾等南美虾类。其中，盒马鲜生方面已经下架全部进口虾类，全部由国产虾类替代。 “目前超市里不卖进口散装虾了，都是国产虾。”8月1日上午，健康时报记者来到永辉超市（百子湾店），工作人员告诉记者，受疫情影响，近期永辉超市正促销售卖“可溯源”的安全放心国产虾。 在北京沃尔玛超市（北京建国路店）、永辉超市（百子湾店）、盒马鲜生（十里堡店）三家店内，记者注意到在在售的国产虾产主要来源地为河北唐山、海南海口、江苏省、福建省和浙江省。 在沃尔玛超市（北京建国路店），在售国产虾的商品导购牌上明确表明“可溯源，安全放心食用”的字。据海鲜区工作人员介绍，近期虾的销量并没有受到疫情太大影响，如有顾客担心虾的食用安全，他们也会去耐心解释。 除了永辉超市（百子湾店），记者在沃尔玛超市（北京建国路店）和盒马鲜生（十里堡店）还可买到进口虾，不过产地来源地为越南和泰国。其中名为“冷冻生南美白虾”的产品介绍中，其原产地为厄瓜多尔，而产地为江苏省镇江市，实为国产。在沃尔玛在售的进口虾包装上记者注意到其经销商均为深圳华大海洋科技有限公司。 此前7月10日，海关总署通报，大连海关、厦门海关相继在厄瓜多尔企业生产的冻南美白虾外包装样本中检出新冠病毒核酸阳性。随后，江西省和重庆市也被曝冻虾包装被检出新冠病毒，引起国内消费者的广泛关注。 据厄瓜多尔官方统计，厄瓜多尔是仅次于泰国的世界第二大虾生产国和出口国，白虾畅销全球55个国家和地区。中国是厄瓜多尔白虾出口的第一大市场。 关于此次多个超市下架进口虾，树兰医院感染科副主任盛国平表示，之所以会下架是因为此前因发现过输入性病毒存在，而且海鲜包装上检测出新冠病毒与海鲜的加工环境和卫生条件有关系，如果空气中病毒量较高，在包装、加工时，病毒会附着在包装和食品上。 7月12日，厄瓜多尔总统坎波萨诺在接受《参考消息》记者采访时强调，厄白虾产业尊重最重要客户（指中国）的检测标准，厄方将严格执行产品出口前对产品包装表面进行新冠病毒检测的程序。 “对刚买回来冰鲜状态下的虾及时安全的卫生处理很重要。”盛国平主任提醒道，对鲜虾进行冲洗、高温处理等一系列加工后再食用是没什么安全问题的。同时盛国平提醒，在疫情特殊时期，尽量减少购买境外海产品，不吃生冷的食物，而要吃煮熟食物；在处理海产品时要全程佩戴手套处理，食物的加工过程中做好防护，避免将触碰过食物的手再去触碰口鼻等部位。 责任编辑：张玉 
台湾新增7例新冠肺炎确诊病例|2020年08月01日 18:37|原标题：台湾新增7例新冠肺炎确诊病例 新华社台北8月1日电（记者傅双琪、吴济海）台湾地区流行疫情指挥中心1日公布，台湾新增7例新冠肺炎确诊病例，其中6例为境外输入病例，另外1例感染源有待厘清。 据该中心介绍，新增的境外输入病例都为男性，其中3位台湾居民，2位菲律宾人和1位危地马拉人，年龄从20多岁到70多岁，入境日在7月15日到30日之间，入境之前分别在菲律宾和危地马拉工作或生活。 此外，还有1位确诊病例为20多岁比利时人，5月3日到台湾，7月29日计划返回比利时，因此到医院自费采检，1日确诊，目前暂无症状，正住院隔离治疗。流行疫情指挥中心表示，已掌握89位接触者，感染源还有待厘清。 据统计，台湾目前累计采检81826人，其中80728人排除，另有474例确诊，分别为382例境外输入、55例本土病例、36例“敦睦”舰队病例以及1例感染源待厘清。 责任编辑：张申 
印度打出组合拳 中国企业能招架得住吗？|2020年08月01日 18:01|原标题：印度打出组合拳，中国企业能招架得住吗？ 今年4月以来，原本运转良好的中印经贸往来因为疫情和边境对峙遭遇严重打击，印度政府在多个领域出台针对中国企业的限制性政策，几乎堵死了从直接投资到货物贸易和服务贸易等中印主要经贸渠道。更令人担忧的是，印度政府似乎并没有停止的迹象，很多限制措施仍在酝酿中。 “印度政府出台这一系列政策并非政治表演。”中国工商银行孟买分行副总经理杨绪红对《财经》记者表示，一些人原本认为是印度总理莫迪因疫情压力而出台的权宜之计，但中印边境爆发近50年来伤亡最严重的对峙事件后，风向全变了。印度各政府部门都在出台政策抵制中国项目，一些印度国企也宣布可能取消与中国公司的采购和投标项目。 这一系列举措从今年4月就初见端倪，当时印度主流媒体都在炒作中方的一项正常金融交易，即中国人民银行曾略微增持印度金融企业HDFC股票， 根据HDFC提供给证券交易所的信息显示三月底持股比例达1.01%（后减持）。按照印度监管要求，投资者持股比例超过1%，企业要在每个季度末向交易所披露持股变动情况。 对于该交易，HDFC董事长迪帕克·帕雷克（Deepak Parekh）明确表示，各央行代表各自国家的主权财富基金买入股票是常见做法。交易所记录也显示，新加坡政府投资公司持有超过3%的HDFC股份。 “关于央行购买其他国家的资产，这个没有问题，第一是为了增值，第二是为了保值，因为现在各国的央行都会在全球主要国家采取组合基金投资的方式来配置资产。”印度大恒竺成（Linklegal）律师事务所顾问李钦对《财经》记者表示。 印度政府似乎并不这样理解，有内部人士在接受印度媒体采访时透露，虽然此举在法律上并无不妥，但却令印度财政部感到不安。印度政府带着这种情绪在4月突然出台外商直接投资（FDI）新规，要求来自接壤国家的投资都必须事先经过印度政府审批，变更现有外国投资的印度企业所有权也需要获得政府批准。 印度与中国、巴基斯坦、孟加拉国、尼泊尔、缅甸、不丹等国接壤，鉴于其他邻国基本没有能力对印度企业进行收购，这一新规明显指向中国。这使得中国投资都需要取得印度政府的事先许可，事实上形成了“国家安全审查”。 担忧证券投资而出台的措施最后指向了实业投资领域，这很大程度上是因为中国大陆资本很少投资印度股市，印度政府只是用此事作为由头，真正意在限制FDI——中印经贸关联度最高的领域之一。美国智库布鲁金斯学会在关于印度经济增长对中国依赖程度的报告中指出，尽管印度政府官方数据显示，过去十几年中国在印度的FDI约为23亿美元，但实际数字可能远不止于此，因为官方数据并未纳入经由其他国家进入印度的中国资金。该报告估算，中国对印度的直接和计划投资远超250亿美元，而印度在电信、制药和基础设施等关键领域过分依赖中国投资。位于孟买的印度本土智库梵门阁（Gateway House）数据也证实这一点，印度有30家独角兽级别企业，中国在其中18家持股。投资集中在科技行业，中国在这方面对印度有很大影响力。 这项针对中国的投资限制政策并非政治作秀，据悉，约有50份涉及中国投资者的申请正在接受印度方面审查，但印度方面拒绝透露涉及哪些公司和哪些投资。包括印度驻华领事馆在内的多个印度政府机构一直在与投资者及其代表进行沟通，以寻求对这些投资提议的明确解释。印度知名律所Krishnamurthy & Co合伙人阿洛克·桑克（Alok Sonker）表示，近几周，至少有10名中国客户就投资印度事宜向他寻求建议，投资审批时间表带来的不确定性正在阻碍印度和中国各方照常开展业务。 “实践中这一要求已经对很多中国投资者的项目产生了延误等不良影响，印度政府甚至指示其驻中国的使领馆对投资者进行面试，让不少中国投资者唏嘘。”李钦说。 对于目前接受审核的中国企业投资项目，杨绪红表示，尚未听说哪家公司项目获批。“赴印度投资的大型中国企业基本上都在我们银行开户。我看了FDI审批政策，走流程基本上要3个月，从四月出台到现在都三个月了，还没有客户通过新政审批的消息，只能静观其变。”杨绪红说。 相比还在审核中的项目，中国互联网企业则最先受到冲击。印度是中国手机APP最大国际市场之一，用户下载量超过数十亿次。然而，自6月以来，印度政府已经先后分两批禁止106个中国APP，这其中包括影响力最大的TikTok（抖音国际版）和微信。此外，还有275个中国APP已经上了印度政府审核清单，包括广受欢迎的一些游戏APP。上了名单意味着随时可能被封禁，这让印度这个中国手机APP主要海外市场的前景很不明朗。 印度政府此举给中国互联网企业带来巨大损失，仅以TikTok为例，市场研究公司Sensor Tower曾分析，TikTok在被判下架两周时间内损失的新增用户约为1500万，TikTok官方也曾表示两周内的日均损失为50万美元。 由于印度目前民族情绪高涨，一些分析人士担忧印度政府可能会为了安抚民意将禁令从软件领域延伸至硬件领域。对于这种可能性，一位印度著名财经媒体人对《财经》记者透露，印度不太可能将禁令延伸到手机硬件企业，因为没有强大的印度国内品牌可以替代，但减少对中国商品的依赖已势在必行，新冠肺炎疫情和边境冲突让这一切成为优先事务，政府会努力推动本土化制造。 为了对冲这种担忧带来的影响，印度政府出台补充条例，强调对已经做实业投资的制造业影响不大。印度政府此前为发展制造业，支持在印度建厂的手机产业或家电产业链等投资，会在14天内完成相关审批。 但鉴于边境对峙的后续影响仍在发酵，很多中国制造业企业仍颇感担忧，特别是在最近两年将产业链转移至印度的智能手机相关企业。市场调研公司Counterpoint Research数据显示，中国公司在印度智能手机行业的份额已超过80%，为了生产价格更便宜的手机，中国公司已在印度各地投资数十亿美元来新建设施。 “在边境对峙后，风向全变了，政治限制使新投资进不来，原有投资也不愿扩大规模，再加上疫情影响，他们会将产能收缩。”杨绪红说，不久前，一些中资企业员工因为疫情搭乘包机回国，目前还有至少2000名华人滞留印度，目前印度疫情很严重，每日确诊病例增幅达5万（仅次于美国），大部分中国企业都在疫情严重的大城市，企业经营陷入困境，开工率不足，销售低迷，再加上印度政府对中国企业敌视，中国企业未来可能在此举步维艰。 中企担忧并非杞人忧天，著名智库威尔逊中心亚洲项目副主任迈克尔·库格曼（Michael Kugelman）认为，当在新闻上看到印度人将中国电视机扔出窗外时，这是一个非常明确的指向标，表明公众希望政府做些什么。印度金达尔全球大学国际事务学院院长斯里拉姆·乔利亚（Sreeram Chaulia）也指出，如果边境僵局不降温，印度可能会采取针对涉及所有中国贸易和投资的新措施。 印度政府正在考虑对从中国进口的各类商品实施进口限制。根据《印度时报》和印度《经济时报》两家媒体报道披露，玩具、钢管、钢条、消费电子产品、电信产品、重型机械、纸张、橡胶制品和玻璃等物品将于2021年纳入印度的强制性标准（BIS）体系，BIS将在2021年3月前为371个产品项目制定强制认证标准。今年4月份，印度政府已经宣布10月1日起对照明、键盘、蓝牙耳机、USB外部硬盘驱动器、电磁炉、电饭煲等12大项产品实施BIS强制认证查验，此次将进一步扩大范围。 实施进口壁垒被一些印度政界人士认为是印度最有力的经济武器之一，因为印度是中国重要的贸易顺差来源国之一，据中国海关总署数据，2019年中国和印度的贸易总值是6395.2亿元人民币，其中中国对印度出口5156.3亿元，自印度进口1238.9亿元，贸易顺差达到3917.4亿元。印度方面在边境对峙后一直就拿清关做文章，虽然放行一部分，但总是不通畅，最近又暂停与中国的EMS等国际快递服务，使跨境电商遭受打击。 印度政府部门也出台政策抵制与中国相关的货物和服务贸易项目，印度公路及公路运输部长尼丁·加德卡里（Nitin Gadkari）表示，印度将不允许中国公司参与该国高速公路项目，即便是合资公司也不允许。不仅是交通项目，电力等基础设施建设也受到影响。长期以来印度一直依赖中国设备来发电及输电，以提供廉价电力，但电力部门也出手了，规定印度企业从中国进口电力设备和部件将需要得到政府许可。电力部将检查所有与供电有关的进口产品，看是否构成网络威胁。涉及印度电力部门招标的中国企业大多是国资，将受到很大影响。 在部门规则中最重磅的就是财政部在7月23日对印度公共财政规则进行的重要修正。新规要求凡与印度接壤国家的企业，在参加印度公共采购项目招标之前，须向印度工业和内部贸易促进局（DPIIT）登记，接受安全核查，能否通过是个问号。但享受印度援助的邻国不受此规限制，因此事实上受到限制的就是中国和巴基斯坦，也就是相当于在新规之下，印度所有政府机构不得从中巴两国采购商品和服务。 根据华经产业研究院的数据，2020年前五个月中印双边货物进出口额仅为283.4亿美元，同比下降了23.1%。华经产业研究院为一家市场化研究机构。 “我们与印度服务贸易主要是工程项目建设和工程服务，主要涉及基础设施建筑公司和安装企业。这部分企业深受上述新规定打击，印度政府大项目都采取招投标，中资企业在新出台限制规定下会很难做。”杨绪红说。 对于印度政府部门最近针对中国的密集行动，李钦认为，目前印度政府对中资企业的限制，更多是各个部门之间的行政行为，尚未上升到印度从内阁层面全面对中国投资的抵制。但不排除未来印度从整体层面出台针对中国企业和产品的系统性限制。 如何避免上升为系统性限制中国企业和产品，关键在于两国能否尽快恢复互信，消除边境对峙带来的负面影响，就像当年两国领导人在武汉举行会晤，迅速弥合洞朗事件带来的分歧，因此未对中印经贸带来实质性影响。 目前中印双方也在进行积极对话，7月24日，中印双方边境事务磋商和协调工作机制第17次会议，双方在表态中释放积极信号，即充分肯定两国一线边防部队脱离接触、缓和现地局势所取得的积极进展。妥善处理现地剩余问题，推动边境局势进一步降温。将继续举行中印边境事务磋商和协调工作机制会议和两国边防部队军长级会谈，加强边境地区信任措施建设。 在两国政治对话取得积极进展的同时也要警惕一些风险信号。印度在很多领域对中国是结构性依赖，例如，中国在印度原料药进口中占比68%，在某些原料药进口中占比将近100%。很多印度商务人士和专家均表示实施限制措施给印度造成的痛苦不会比带给中国的痛苦少，但印度政府一些官员则坦言印度有承受巨大经济打击的心理准备。 更有分析认为印度可能会借机倒向美国，推开中资，拥抱美资。谷歌近日宣布未来5年在印度投入100亿美元设立数字化基金的举措可谓初见端倪。“如果印度倒向美国，那么两国很难像以前一样对峙后迅速修复，如果这样就对中国企业比较悲观。”杨绪红说。 互信若得不到修复，那么中国企业头上悬着的剑又多了一把，那就是印度《敌国资产法》。复旦大学国际问题研究院研究员林民旺曾在文章中指出，1962年中印爆发边界冲突，印方在无法律支持背景下，仅依据“印度国防规定”这一行政命令，便将在印中国公司与公民财产全部没收，交由所谓的“印度敌国财产监管局”（CEPI）保管，失去财产的中国公民或被印度政府抓起来或被迫移民他国，失去财产的中国公司则被迫撤离。 恢复互信仍需时间和时机，但中国企业亟需解决限制措施带来的损失，印度政府也尚无收手趋势，对于是否有应对的权宜之计。杨绪红认为不乐观，因为权宜之计几乎被堵死了。他举例说，针对投资限制，原本有人建议可以先去新加坡开公司，然后再来印度投资，但投资新规强调要看公司最顶层实际控制人国籍。又如，有人说将下架的APP换马甲重新进入印度市场，这根本不可行，因为法院已经给这些公司下通知，如果继续经营就涉嫌刑事违法，换马甲后若被查出，就面临刑事责任。 责任编辑：吴金明 
乌鲁木齐：疫情期间受影响各类业务均可顺延办理|2020年08月01日 18:01|原标题：乌鲁木齐：疫情期间受影响各类业务均可顺延办理 8月1日下午举行的新疆第15场疫情防控新闻发布会上，乌鲁木齐市公安局交警支队车管所所长孙幸军介绍：乌鲁木齐市所有因受疫情影响而年审到期车辆，年审业务顺延到疫情结束以后办理，不会受到任何影响。疫情期间，当地交管部门推出了交管业务延期办、容缺办、网上办等多种便民措施。 驾驶学员考试延期：对已申请预约的统一取消考试，取消考试预约不计入考试次数，也不影响下次考试预约排序； 注销延期：对因逾期未换证，逾期未体检，逾期未检验等导致驾驶证或机动车可能被注销的，将统一延长注销期限； 互联网预约号牌时效延期：已在互联网预约号牌、号码单位机动车办理登记，预选号码有效期延长，疫情结束后可以继续办理登记； 驾考学员学习驾驶证明延期：驾考学员学习驾驶证明有效期到期的，统一延长有效期限，可选择在疫情结束后继续学习。（总台央视记者 苏蒙 钱重宇 乌鲁木齐广播电视台 张恒 杨波 高子渊 吾提库） 责任编辑：张申 
乌鲁木齐确诊病例有下降 疫情防控仍不可掉以轻心|2020年08月01日 18:00|原标题：乌鲁木齐确诊病例有下降 疫情防控仍不可掉以轻心 在今天（8月1日）下午举行的新疆第15场新冠肺炎疫情防控新闻发布会上，乌鲁木齐市疾控中心主任芮宝玲表示： 7月31日新增确诊病例和无症状感染者总数较前几日出现一定程度下降，但乌鲁木齐市市疫情防控形势依然严峻复杂，决不能有丝毫放松，决不能掉以轻心。希望社会各界广大市民继续理解支持配合疫情防控工作，严格落实居家管理措施。 居家期间要多开窗、勤通风、勤洗手，定时消毒，做好家庭清洁卫生。家庭成员要保持一定的安全距离，吃饭时应使用公筷公勺。如果出现发烧、咳嗽、乏力等不适症状，要及时联系社区工作人员。 （总台央视记者 苏蒙 钱重宇 乌鲁木齐广播电视台 张恒 杨波 高子渊 吾提库） 责任编辑：张申 
