突发！又一地超市检出阳性，紧急封存排查！|2020年10月02日 19:50|原标题：突发！又一地超市检出阳性，紧急封存排查！ 责任编辑：刘德宾 SN222 
中埃员工携手钻探埃及最深沙漠水井|2020年10月02日 19:39|原标题：通讯：疫情之下钻探埃及最深沙漠水井 新华社开罗10月2日电 通讯：疫情之下钻探埃及最深沙漠水井 新华社记者吴丹妮 马哈茂德·富利 1650米，这是截至目前埃及境内沙漠水井的最深深度。在新冠疫情席卷北非地区之际，中国中曼石油埃及分公司的中埃员工们携手创造了这一纪录。 距离埃及明亚省70公里的沙漠深处，一台巨大的钻机正在沙海中轰鸣。炎炎烈日下，戴着白色安全帽和口罩、身穿红色工装的工程师和工人们正在大量重型机械旁紧张作业。 2018年1月，阿联酋海湾集团与埃方签订协议，租用明亚省7.6万公顷沙漠用于开垦种植甜菜，同时购买100万平方米土地用于建造制糖厂。中曼石油则与海湾集团签订合同，钻探300口水井用以灌溉甜菜等农作物。整个项目耗资近10亿美元。 “我们目前已经钻探了100多口水井，单井出水量可达1000立方米每小时。”中曼石油埃及分公司总经理李伟向新华社记者介绍说，水井主要开采的是300米至500米的水层，该水层为灰岩裂缝性发育，地层孔隙度高，加上采用了大尺寸井眼设计，因此出水量很大。 然而李伟与他的合作伙伴们并未满足于此。因担心长期开采单一水层会导致地下水位大幅下降，从农业项目发展的长期性和稳定性出发，大家决定对更深的水层——努比亚含水层系统进行勘察。 联合国开发计划署的资料显示，努比亚含水层系统是蕴藏在乍得、埃及、利比亚、苏丹四国地下的巨大水资源系统，也是世界上已知最大的化石含水层系统。埃及等国可根据有关协议合理地节约使用这一宝贵的自然资源。 “我们给自己出了个难题，”李伟坦言，该水层开采难度大、成本高，在附近区域还未有先例，加之突如其来的新冠疫情，一切都变成了未知。 经过短暂的人员调整和周密的防疫安排，钻探团队仍然如期开始了工程作业。他们抽调中埃双方业务骨干、成立技术小组，在制定详细作业方案后精心组织施工，打造这口沙漠深井。 “中国技术人员非常专业，我在这次钻探中学到了许多新东西，”埃及钻井工程师阿拉·贾迈勒对记者说，作为一名已经与中曼石油合作了三年的工程师，他深感这次钻探给他的职业生涯带来了新亮点。 现场运营经理阿米尔·穆罕默德回忆起这段经历时也表示，面对疫情影响和许多未知因素，中埃员工都没有放弃，而是相互鼓励，一起面对挑战。 自2016年起，中曼石油埃及分公司陆续将设备、技术和专业知识带到埃及。他们不仅为埃及当地人提供就业机会和技术培训，也在良好的合作氛围中分享彼此的技术经验乃至生活文化。 “能坚持在疫情中履行承诺，为埃及的农业发展贡献自己的力量，我们感到自豪与欣慰。”李伟说。 责任编辑：刘德宾 SN222 
不丹国王赞叹中国抗疫成就，送来国庆祝愿！|2020年10月02日 18:50|原标题：不丹国王赞叹中国抗疫成就，送来国庆祝愿！ 不丹和中国互为邻国。两国尚未建立外交关系，但长期保持友好往来。 责任编辑：杨杰 SN239 
香港新增确诊7例，累计确诊5104例|2020年10月02日 17:17|原标题：香港新增确诊7例，累计确诊5104例 香港特区政府卫生署10月2日通报，截至凌晨零时，全港新增7例新冠肺炎确诊病例，其中3例为本地感染。香港累计确诊病例达5104例。 今日新增的本地病例中，2名病患暂时未能找到确切的传播源头，分别为日本餐厅厨师及公立医院护士，相关紧密接触者已全部送往检疫中心，目前未有初步确诊。4名输入性病患则分别由德国、尼泊尔等抵港。 据医院管理局数字显示，截至2日上午，共有4842名新冠肺炎确诊患者康复出院，另有104人死亡，其余确诊患者仍在16间公立医院接受隔离治疗，其中10人为危重症。 病床供应方面，医管局辖下公立医院目前开放1155张负压病床和639间负压病房，使用率分别为50.7%及62.9%。 责任编辑：郑亚鹏 SN238 
台媒：得知特朗普夫妇确诊 蔡英文第一时间“送暖”|2020年10月02日 14:49|原标题：快讯！台媒：得知特朗普夫妇确诊，蔡英文第一时间“送暖” 美国总统特朗普发推宣布自己和妻子梅拉尼娅新冠病毒检测呈阳性，引发巨大关注。台湾亲绿媒体“三立新闻网”10月2日报道，蔡英文在得知消息后第一时间“送暖”。蔡英文办公室发言人张惇涵2日称，蔡英文收到这项信息后，通过台外事部门管道向美国政府了解并致意，期盼特朗普夫妇能早日康复。 据报道，特朗普发推宣布，自己和第一夫人梅拉尼娅新冠病毒检测呈阳性，已开始隔离。他在推特上写道：“今晚，我和梅拉尼娅新冠检测呈阳性。我们将立即开始我们的隔离和康复过程。我们会一起渡过难关！” 梅拉尼娅也在推特上写道：“正如今年很多美国人所做的那样，特朗普在新冠病毒检测呈阳性后正在家中隔离。我们感觉良好，我已经推迟了所有即将到来的邀约。请确保您的安全，我们会一起渡过难关。” 责任编辑：张迪 SN230 
9月谣言盘点：接种新冠疫苗有副作用？纯属主观臆测|2020年10月02日 11:27|原标题：辟谣|9月谣言盘点：接种新冠疫苗有副作用？纯属主观臆测 责任编辑：郑亚鹏 SN238 
国庆首日票房破7亿 多项纪录被刷新|2020年10月02日 09:44|原标题：国庆首日票房破7亿，多项纪录被刷新 昨天，国庆档放映正式开始，市场在疫情后终于迎来第一次真正的井喷。据国家电影专资办的数据显示，昨天共放映40万场次，1830万名观众走进电影院观看，全国单日总票房高达7.2亿元。这个数字虽然不及去年国庆档首日的8.15亿元，但可以说，内地市场已经恢复到了疫情前的水平。 四部主打影片各有千秋。彩条屋出品的动画电影《姜子牙》表现出色，首日票房高达3.52亿元，不但创下了今年以来的单日票房纪录，也打破了去年《哪吒之魔童降世》创下的3.4亿元的动画电影单日票房纪录。 阿里影业出品的《我和我的家乡》昨天取得了2.66亿元的票房佳绩，这个成绩只比去年的《我和我的祖国》的2.85亿元少了1900万元。该片也是目前公映的四部影片中评价最高的，网络评分高达7.5分。 陈可辛执导的《夺冠》9月25日公映，昨天单日票房为4310万元，该片目前的总票房为3.2亿元。 相比之下，成龙主演的《急先锋》不管是口碑和票房都表现欠佳。该片9月30日公映，昨天只取得了5500万元的单日票房，而且在四部影片中上座率最低。 从10月2日的排片量来看，《姜子牙》和《夺冠》的排片量都有所上升，而《急先锋》的排片量下降明显，被《夺冠》超过，四部影片的表现开始分化。 责任编辑：张迪 SN230 
福建新增确诊病例2例无症状感染者9例 均为境外输入|2020年10月02日 09:18|原标题：10月1日，福建新增确诊病例2例、无症状感染者9例，均为境外输入 来源：福建日报 一、境外输入疫情 10月1日0—24时，福建省报告新增境外输入确诊病例2例，为尼日利亚输入（厦门市报告）。 当日报告新增境外输入疑似病例0例。 当日报告新增境外输入无症状感染者9例，其中：菲律宾输入4例、墨西哥输入2例（均为福州市报告），尼日利亚输入2例、秘鲁输入1例（均为厦门市报告）；解除隔离7例。 截至10月1日24时，福建省累计报告境外输入确诊病例115例，已治愈出院95例，目前住院20例，无死亡病例；现有报告境外输入疑似病例0例；现有报告境外输入无症状感染者尚在接受集中隔离医学观察46例。 二、本地疫情 10月1日0—24时，福建省报告新增本地确诊病例0例。 当日报告新增本地疑似病例0例。 当日报告新增本地无症状感染者0例。 截至10月1日24时，福建省累计报告本地确诊病例296例（已治愈出院295例、目前住院0例、死亡1例），其中：福州市72例、厦门市35例、漳州市20例、泉州市47例、三明市14例、莆田市56例、南平市20例、龙岩市6例、宁德市26例；现有报告本地疑似病例0例；现有报告本地无症状感染者尚在接受集中隔离医学观察0例。 三、密切接触者 目前密切接触者已解除医学观察17421人，尚有1236人正在接受医学观察。（福建省卫健委） 责任编辑：郑亚鹏 SN238 
10月1日河南省新增境外输入无症状感染者4例|2020年10月02日 08:50|原标题：截至10月1日24时河南省新型冠状病毒肺炎疫情最新情况 来源：河南省卫健委 2020年10月1日0时-24时，我省无新增新冠肺炎确诊病例和疑似病例，2例无症状感染者解除医学观察；新增无症状感染者4例（均为境外输入，从入境落地、卫生检疫、检测到转运治疗全部是无缝对接和闭环管理）。 截至10月1日24时，我省累计报告本地确诊病例1273例，其中死亡病例22例，出院病例1251例。累计报告境外输入确诊病例8例，3例出院，5例正在定点医院接受治疗。 自1月21日起，我省已累计追踪到密切接触者40511人，目前有1人正在接受医学观察。 截至10月1日24时，正在医学观察的无症状感染者33例（均为境外输入）。 责任编辑：张迪 SN230 
四川新增新型冠状病毒肺炎确诊病例3例|2020年10月02日 08:35|原标题：四川省新型冠状病毒肺炎疫情最新情况（10月2日发布） 来源：健康四川官微 四川省新型冠状病毒肺炎疫情最新情况 （10月2日发布） 10月1日0-24时，四川新增新型冠状病毒肺炎确诊病例3例（均为境外输入）： 1例9月20日自尼泊尔乘机抵蓉； 1例9月24日自菲律宾乘机抵蓉； 1例9月30日自菲律宾乘机抵蓉； 均于10月1日确诊。 无新增治愈出院病例，无新增疑似病例，无新增死亡病例。 截至10月2日0时，全省累计报告新型冠状病毒肺炎确诊病例696例（其中境外输入155例），累计治愈出院663例，死亡3例，目前在院隔离治疗30例，1063人尚在接受医学观察。 10月1日0-24时，全省新增无症状感染者7例（均为境外输入）： 5例为9月30日自菲律宾乘机抵蓉； 1例为9月30日自菲律宾马尼拉乘机抵蓉； 1例为9月30日自土库曼斯坦乘机抵蓉； 均于10月1日核酸检测阳性。 当日转为确诊病例0例，当日解除集中隔离医学观察0例，尚在集中隔离医学观察42例（均为境外输入），比前一日增加7例。 （确诊病例及无症状感染者具体情况由相关市<州>卫生健康委进行通报） 全省183个县（市、区）全部为低风险区。 保持警惕，做好防护，勤洗手、不扎堆、少聚集，若有发热、咳嗽等不适症状，请及时就近前往发热门诊、哨点诊室、新冠病毒核酸检测机构。 责任编辑：郑亚鹏 SN238 
重庆新增1例无症状感染者转确诊病例|2020年10月02日 08:33|原标题：重庆新增1例无症状感染者转确诊病例 10月1日0至24时，重庆市本地无新增新冠肺炎确诊病例报告。截至10月1日24时，重庆市本地无在院确诊病例，累计治愈出院病例570例，累计死亡病例6例，累计报告确诊病例576例。 10月1日0至24时，重庆市报告新增境外输入新冠肺炎确诊病例1例（为无症状感染者转确诊病例，尼泊尔输入）。 截至10月1日24时，重庆市现有境外输入在院确诊病例1例（为尼泊尔输入），累计治愈出院病例8例，累计报告境外输入确诊病例9例。 10月1日0至24时，重庆市无新增无症状感染者报告；转确诊病例1例（为尼泊尔输入）。 截至10月1日24时，尚有无症状感染者4例（均为境外输入，其中新加坡3例、尼泊尔1例），正在接受医学观察。 截至10月1日24时，累计追踪到密切接触者26007人，均已解除医学观察。（总台央视记者 唐巍 陈杨 牟亮） 责任编辑：郑亚鹏 SN238 
