2020年美国大选的五大看点|2020年11月03日 23:36|看点4：美国新冠病例直逼1000万例 责任编辑：贾楠 SN245 
远大医药：新冠DNA疫苗在美国获批启动I期临床试验|2020年11月03日 22:00|原标题：远大医药：新冠DNA疫苗在美国获批启动I期临床试验 11月3日晚间，远大医药（中国）有限公司（远大医药，00512.HK）发布公告称，针对新型冠状病毒的DNA疫苗CORVax12获得美国食品和药物管理局（FDA）的新药临床试验申请（IND）批准，并启动研究者发起的I期临床试验。 根据远大医药的公告，该新冠疫苗是集团联营公司——肿瘤免疫领域及DNA技术研发平台OncoSec Medical Incorporated（NASDAQ：ONCS）与Providence Cancer Institute合作开发，是目前唯一使用免疫刺激剂来促进对新冠病毒免疫反应的DNA疫苗。 远大医药表示，CORVax12疫苗通过电转方式引入S蛋白和白介素12（IL-12）编码序列，诱导人体免疫系统产生能够结合新冠病毒的中和抗体，该疫苗的IL-12可有效限制T细胞衰竭，促使体内T细胞产生更强的抗病毒反应，使接受CORVax12疫苗的受试者可能产生更强的抗病毒T细胞应答，从而达到更好的疫苗免疫应答。 根据临床试验方案，Providence将组织开展CORVax12针对COVID-19的开放性I期临床研究以评估可编码S蛋白的序列单独使用或与IL-12联合使用的安全性和免疫原性。 根据官网资料，远大医药成立于1939年，前身为八路军太行山革命根据地的一个制药所。2002年，远大医药加入中国远大集团，2008年成为母公司香港上市公司——远大医药健康控股有限公司的核心企业。 目前，远大医药拥有20多家成员企业，是集各类制剂、医疗器械和化学原料药于一体的现代化综合性医药企业，涉及心脑血管急救、介入治疗、呼吸、大五官科、罕见病以及生物健康等领域。 此次公告中提及的直接研发新冠疫苗OncoSec Medical Incorporated，远大医药在公告中表示，根据2019年10月，由公司的直接全资拥有附属公司弘年发展有限公司与OncoSec订立的授权协议，集团拥有OncoSec所有开发项目于中国及38个亚洲其他地区的独家商业化权利，而集团将会根据临床研究进展情况适时启动项目的国内引进工作。 责任编辑：武晓东 SN241 
新疆喀什地区：温暖“大礼包”送给困难群众|2020年11月03日 21:52|原标题：新疆喀什地区：温暖“大礼包”送给困难群众 11月3日晚，新疆维吾尔自治区人民政府新闻办公室召开第8场新闻发布会，喀什地区行署副秘书长艾赛提·吾拉音木介绍：疫情发生以来，喀什地区通过提前发放低保金、强化城乡困难群体救助等措施，全力保障疫情期间困难群众的基本生活。通过临时救助资金，及时为困难群众家庭定期免费发放惠民大礼包，每个礼包1公斤羊肉、6公斤蔬菜、1板鸡蛋。同时还向困难群众发放“暖心煤”为确保困难群众温暖过冬。（总台央视记者 崔宁 钱重宇） 责任编辑：张申 SN235 
天津新增1例境外输入无症状感染者|2020年11月03日 21:52|原标题：天津新增1例境外输入无症状感染者 总台央视记者从天津市疾控中心获悉，11月2日18时至3日18时，天津市无新增境外输入新冠肺炎确诊病例，累计报告境外输入确诊病例136例（中国籍115例、美国籍3例、菲律宾籍8例、法国籍2例、乌兹别克斯坦籍1例、俄罗斯籍1例、乌克兰籍3例、哈萨克斯坦籍1例、委内瑞拉籍2例），治愈出院121例，在院15例（其中轻型4例，普通型11例）。 11月2日18时至3日18时，天津市无新增报告本地新冠肺炎确诊病例。累计报告本地新冠肺炎确诊病例137例，其中男性74例，女性63例；治愈出院134例，死亡3例。 天津市新增无症状感染者1例（境外输入），累计83例（境外输入82例），其中，解除医学观察64例、尚在医学观察10例、转为确诊病例9例。 第83例无症状感染者，男，37岁，中国籍，近期居住地为几内亚科纳克。该患者8月26日在当地确诊新冠肺炎，治疗后复查三次新冠病毒核酸检测为阴性。自几内亚乘坐航班经法国巴黎转乘航班AF202，于10月30日抵达天津滨海国际机场，入境体温36.3℃，申报无症状。经海关检疫排查采样后，当日新冠病毒抗体呈阳性，即由120救护车转送至空港医院发热门诊。11月2日新冠病毒核酸检测结果阳性，即由120救护车转送至海河医院。经天津市专家组确诊为天津市无症状感染者。继续在海河医院隔离观察。全程实施闭环管理。 第116例境外输入确诊病例、117例境外输入确诊病例、118例境外输入确诊病例、120例境外输入确诊病例符合出院标准，于今日（3日）从海河医院出院，转入集中隔离医学观察点。 第72例无症状感染者、第73例无症状感染者符合出院标准，于今日（3日）从海河医院出院，转入集中隔离医学观察点。 截至目前，天津市无现存疑似病例，累计排查密切接触者8319人，尚有779人正在接受医学观察。 （总台央视记者 王晓沛） 责任编辑：张申 SN235 
新疆喀什地区完善集中隔离医学观察点设施建设|2020年11月03日 21:42|原标题：新疆喀什地区完善集中隔离医学观察点设施建设 11月3日晚，新疆维吾尔自治区人民政府新闻办公室召开第8场新闻发布会，通报喀什、克州疫情最新情况。喀什地区行署副秘书长艾赛提·吾拉音木介绍： 新疆喀什地区进一步完善集中隔离医学观察点设施建设。所有集中隔离医学观察点均按照单人单间单卫标准设置，每个隔离房间均配备电视机、烧水壶等日常生活用品，并做到无线网络全覆盖，24小时不间断保障洗浴热水。同时，做到“三区两通道”（清洁区、污染区、半污染区，医务人员通道和病人通道）建设到位、管理团队到位、消毒消杀到位、物资储备到位。 （总台央视记者 崔宁 钱重宇） 责任编辑：张申 SN235 
新疆喀什：实现从“国门”到“家门”的全链条管理|2020年11月03日 21:38|原标题：实现从“国门”到“家门”的全链条管理 来源：天山网 喀什疫情防控发布会上，自治区疫情防控专家组主任医师、研究员倪明健，回答记者关于如何做好秋冬季节疫情防控工作的提问。倪明健介绍，秋冬季是新冠肺炎疫情流行暴发的高风险季节，按照常态化疫情防控要求，要落实好自治区秋冬季疫情防控安排举措，守护好各族群众生命安全和身体健康。 充分做好应对疫情工作准备中，进一步规范发热门诊、核酸检测、流行病学调查、医疗救治、院感防控、环境消杀等方面措施，充分发挥发热门诊、社区防控、核酸检测等常态化疫情防控措施的哨点作用，做好集中隔离医学观察点的管理工作，突出重点人群、重点场所、重点部位防控。强化口岸检疫，保证入境人员管理无缝对接和闭环运作，实现从“国门”到“家门”的全链条管理。健全及时发现、快速处置、精准管控、有效救治的防控机制，平战结合、专群结合，切实落实“早发现、早报告、早隔离、早治疗”要求。 责任编辑：武晓东 SN241 
新疆喀什地区对低保户提前发放2个月低保金|2020年11月03日 21:35|原标题：喀什地区对低保户提前发放2个月低保金 来源：天山网 喀什疫情防控发布会上，喀什地区行署副秘书长艾赛提·吾拉音木回答记者疫情防控期间，喀什地区是如何做好困难群体基本生活保障的提问。 艾赛提·吾拉音木介绍，针对性开展帮扶救助。对低保户提前发放2个月低保金，将于11月5日全部发放到位；对特困供养对象等人员实行资金补助，对符合城乡低保认定条件的困难家庭实行先救助后审批；对孤寡老人和行动不便的残疾人，组织村（社区）干部“一对一”帮扶，提供生活照料、物品代购、垃圾清运等服务；对防控期间因疫情影响不能外出务工、无生活来源的城镇本地户籍家庭纳入临时低保范围，按照每人每月450元标准进行救助。 责任编辑：武晓东 SN241 
新疆喀什：隔离人员饮食做到合理搭配确保营养|2020年11月03日 21:29|原标题：喀什隔离人员饮食做到合理搭配确保营养 来源：天山网 喀什疫情防控发布会上，喀什地区行署副秘书长艾赛提·吾拉音木回答记者关于疏附县疫情发生后，喀什地区按照疫情防控要求设立了集中隔离点情况的提问。 做好隔离医学观察点服务保障。加强个人防护、物资配备、关怀保障工作，按照隔离人员每天150元生活标准，在饮食方面做到肉、蛋、奶、蔬菜、水果等合理搭配，确保营养丰富；定期组织专业电工、水暖工等力量对隔离医学观察点供电、供暖管及上下水管网线路进行检修，确保隔离医学观察点运行正常；每日指定专人收集隔离点生活垃圾，并在严格规范消杀后集中清运。 加强隔离人员心理疏导工作。在做好隔离人员生活保障的同时，高度重视隔离人员医疗服务和心理疏导，全力维护群众身心健康。为患有疾病人员及时配送药品，出现急性疾病的由专用车辆送至医院就诊；健全集中隔离医学观察人员沟通机制，坚持每天进行沟通联系，及时解决困难诉求；选配专业人员成立心理疏导小组通过巡回或采用电话、微信、QQ等通信手段开展隔离医学观察人员心理疏导，有效安抚隔离人员情绪。 责任编辑：武晓东 SN241 
新疆阿克陶县启动第四轮全员免费核酸检测|2020年11月03日 21:25|原标题：#阿克陶县启动第四轮全员免费核酸检测 来源：天山网 发布会上，克孜勒苏柯尔克孜自治州卫健委党组书记王良森通报了克州阿克陶县最新疫情和核酸检测情况。 王良森说，因克州与喀什相邻，喀什地区疏附县发生疫情后，按照自治区疫情防控工作指挥部工作部署，我们分别于10月27日、10月31日完成了克州第一轮和第二轮全州全员免费核酸检测。在第二轮核酸检测中，阿克陶县与疏附县相邻的喀热开其克乡和皮拉勒乡发现无症状感染者15例。为了迅速有效切断传播途径、消除疫情传播风险，我们于11月1日起对阿克陶县开展第三轮全员免费核酸检测。截至3日0时30分，阿克陶县完成了第三轮全员免费核酸检测，检测结果均为阴性。 针对当前秋冬季疫情防控形势的复杂性，为了确保全州各族群众身体健康和生命安全，我们已于11月3日启动了阿克陶县第四轮全员免费核酸检测，确保有风险人员第一时间被筛查出来，及时切断传染源头。 责任编辑：武晓东 SN241 
11月3日克州无新增确诊病例和无症状感染者|2020年11月03日 21:13|原标题：11月3日克州无新增确诊病例和无症状感染者 来源：天山网 发布会上，克孜勒苏柯尔克孜自治州卫健委党组书记王良森通报了克州阿克陶县最新疫情和核酸检测情况。 11月2日24时至3日20时30分，克州无新增确诊病例和无症状感染者。截至11月3日20时30分，克州现有无症状感染者15例，均来自与疏附县相邻的阿克陶县喀热开其克乡和皮拉勒乡。 责任编辑：武晓东 SN241 
新疆喀什将启动第四轮核酸检测|2020年11月03日 21:13|原标题：喀什启动第四轮核酸检测 喀什新增无症状感染者116例，今天，新疆疫情防控新闻发布会介绍，本着对各族群众高度负责的态度，也为了尽快控制疫情，喀什将于11月4日启动喀什地区第四轮全员免费核酸检测工作。 责任编辑：张申 SN235 
