11月29日天津最新疫情通报|2020年11月29日 20:37|原标题：天津最新疫情通报 津云新闻记者 张赫洋 马扬洋 记者从市疾控中心获悉，11月28日18时至29日18时，我市无新增本土新冠肺炎确诊病例，累计报告146例，其中男性82例，女性64例；在院8例（其中重型1例，普通型6例，轻型1例），治愈出院135例，病亡3例。 11月28日18时至29日18时，我市无新增境外输入新冠肺炎确诊病例，累计报告境外输入确诊病例154例（中国籍133例、美国籍3例、菲律宾籍8例、法国籍2例、乌兹别克斯坦籍1例、俄罗斯籍1例、乌克兰籍3例、哈萨克斯坦籍1例、委内瑞拉籍2例），治愈出院150例，在院4例（均为普通型）。 我市无新增无症状感染者，累计105例（境外输入100例），其中，解除医学观察87例、尚在医学观察6例、转为确诊病例12例。 第149例境外输入确诊病例、第153例境外输入确诊病例符合出院标准，于今日从海河医院出院，转入集中隔离医学观察点。 截至目前，全市无现存疑似病例，累计排查密切接触者9080人，尚有140人正在接受医学观察。 责任编辑：朱学森 SN240 
十余确诊病例入境持检测证明 台专家建议全面筛检|2020年11月29日 20:07|原标题：十余确诊病例入境持检测证明 台专家建议全面筛检 中新社台北11月29日电 十余名印尼籍劳工日前持新冠肺炎检测阴性证明来台，隔离期满后采检却呈阳性，引发台湾社会对当局防疫政策的担忧。专家建议，若检测证明准确性存疑，当局需对所有入境人士采取全面筛检。 综合中央社、联合新闻网报道，全球疫情严峻，加上圣诞节、寒假、春节将至，预期返台旅客数量增加。为防范秋冬疫情暴发，台“流行疫情指挥中心”日前公布专案，要求除经台转机旅客，所有入境人士12月1日起需提供3日内新冠肺炎核酸检测阴性报告，违者重罚。 在该指挥中心27日公布的14个确诊病例中，来自印尼的13个病例入境时均持新冠肺炎检测阴性证明。 对于检测报告真伪，指挥中心负责人陈时中称，不同地区检验试剂各异，不能单靠一个检测证明来判定是否感染新冠肺炎。 台大儿童医院院长黄立民担忧，一旦检验报告出现差错，恐造成防疫破口。他建议，当局应扩充检验量能，对居家检疫期满后的入境人士进行全面采检。 《中国时报》29日也发表评论文章表示，指挥中心的“秋冬专案”要求入境均需检附核酸检验阴性证明，但随后又说各地检验机制有差异，阴性报告难辨真伪，等于自打嘴巴。 同时文章质疑，先前出现自台湾出境的确诊病例时，指挥中心常以其他地区检验标准不一、在台接触者未检出阳性来撇清，理应知道不同地区检验机制不一样。既然如此，为何不及早把人力、检验能力配置到位？ 台“流行疫情指挥中心”29日公布，当天全台新增3例新冠肺炎确诊病例，均自印尼入境。截至目前，台湾11月单月新增病例数已达96例。目前全台累计确诊651例。（完） 责任编辑：朱学森 SN240 
警惕！香港本地病例单日破百，钟南山最新建议|2020年11月29日 19:49|原标题：警惕！香港本地病例单日破百，钟南山最新建议→ 11月29日，香港特区政府卫生署卫生防护中心公布数据称，截至当天0时，香港单日新增115例新冠肺炎确诊病例，其中109例为本地案例。这是香港第四拨疫情以来，确诊病例首次突破百例。 香港特区政府卫生署卫生防护中心传染病处主任张竹君介绍称，在本地确诊病例中，有24例源头不明，有62例与跳舞群组有关。截至目前，跳舞群组已累计确诊479例，另外还有50多例初步确诊病例。 香港特区政府今天宣布，因应疫情继续恶化，12月2日起暂停全港幼儿园及中小学（包括特殊学校及提供非本地课程学校）的面授课堂及校内活动，直至学校的圣诞假期开始。此外，提供非正规课程的私立学校（一般称为补习学校）则暂停面授课堂两星期。 香港特区政府早前曾先后宣布所有幼稚园及小一至小三班级暂停面授课程及校内活动至12月6日。 在近日举行的首届中国卫生健康科技创新发展大会上，中国工程院院士钟南山表示，香港当务之急是需要进行全民核酸检测。 △视频来源 |中新视频 钟南山指出，香港近日出现新增新冠肺炎本土病例，是一个危险的迹象，需要特别注意。本土病例患者会经常到处跑，加上现在无症状感染者的感染性也很强，特别是在出现症状前的五六天影响比较大，要进行全民核酸检测能把新冠肺炎患者和健康人群分开，及时切断感染源。 记者/周伟琪 金东 叶丽丽 责任编辑：朱学森 SN240 
上海松江：一人检测结果可疑，目前未发现新冠病例|2020年11月29日 17:16|原标题：上海松江防控办：一人检测结果可疑，目前未发现新冠病例 @上海发布11月29日消息，据松江区新冠肺炎疫情防控工作领导小组办公室发布的信息，松江区在对新冠病毒核酸检测“愿检尽检”对象服务过程中，发现一人检测结果可疑。医疗机构即按规定对其进行隔离留观和检查，并开展流行病学调查。同时，对相关人员和环境开展排查、采样检测和健康观察等。截至目前，没有发现新冠肺炎病例。 请市民做好自身健康监测和必要的防护，如出现发热、咳嗽等症状，请佩戴医用口罩及时前往发热门诊就诊。 责任编辑：张申 
上海松江区防控办：截至目前 没有发现新冠肺炎病例|2020年11月29日 17:08|原标题：松江区防控办：截至目前，没有发现新冠肺炎病例 责任编辑：赖柳华 SN244 
上海有6例确诊病例今日出院 共计1272例出院|2020年11月29日 17:03|原标题：上海有6例确诊病例今日出院，共计1272例出院 来源：健康上海12320 市卫生健康委今日（29日）通报：6例新型冠状病毒肺炎病例，经定点医疗机构医护人员精心诊治和护理，专家组评估，认为符合国家卫生健康委最新的新型冠状病毒肺炎确诊病例出院标准，于今日出院。 病例1，中国籍，女，32岁，境外输入性病例，11月11日被确诊为新型冠状病毒肺炎确诊病例，转入市公共卫生临床中心。 病例2，美国籍，男，63岁，境外输入性病例，11月13日被确诊为新型冠状病毒肺炎确诊病例，转入市公共卫生临床中心。 病例3，中国籍，女，31岁，境外输入性病例，11月17日被确诊为新型冠状病毒肺炎确诊病例，转入市公共卫生临床中心。 病例4，中国籍，男，60岁，境外输入性病例，11月17日被确诊为新型冠状病毒肺炎确诊病例，转入市公共卫生临床中心。 病例5，中国籍，男，50岁，境外输入性病例，11月19日被确诊为新型冠状病毒肺炎确诊病例，转入市公共卫生临床中心。 病例6，中国籍，男，51岁，本地病例，11月9日被确诊为新型冠状病毒肺炎确诊病例，转入市公共卫生临床中心。 为做好出院患者的健康管理，卫生健康部门将对患者开展必要的随访观察。 责任编辑：赖柳华 SN244 
捷克新增新冠肺炎确诊病例2667例 累计确诊518649例|2020年11月29日 16:48|原标题：捷克新增新冠肺炎确诊病例2667例累计确诊518649例 根据捷克卫生部11月29日公布的新冠肺炎疫情数据，28日新增确诊病例2667例，累计确诊518649例，其中累计有85%即442327名感染者已经康复。 此外，疫情自暴发以来导致的死亡病例数量已超过八千，达到8054例。目前，现有感染患者共计68268名，多为轻症或无症状感染，住院治疗的患者5087名，其中危重症患者769人。（总台记者 徐明） 责任编辑：朱学森 SN240 
香港教育局或最快今日宣布本周内中小学暂停面授课|2020年11月29日 16:20|原标题：香港教育局或最快今日宣布本周内中小学暂停面授课 据香港电台网站29日消息，鉴于疫情严重，有消息称，香港教育局最快今日宣布，全港中小学将于本星期内暂停面授课程。据了解，教育局会预留数日时间给学校准备，确实暂停面授课的日期及落实细节，有待教育局公布。 香港特区政府早前宣布，小学一至三年级暂停面授课程至12月6日。原本已停课的幼儿园及幼儿中心，同样延长暂停面授课堂至12月6日。 责任编辑：赖柳华 SN244 
我国5个团队新冠综合抗体药物获批临床 均来自北京|2020年11月29日 14:09|原标题：我国5个团队新冠综合抗体药物获批临床，均来自北京 北京医学会主办的2020北京医学创新与转化大会传出消息，目前我国有5个团队的新冠综合抗体药物获批临床，而这5个药物均来自北京。 北京市科委副主任刘晖介绍，自今年疫情发生以来，目前我国有5个团队的新冠综合抗体药物已经获批临床，而这5个药物均来自北京。我国已有4个新冠疫苗研发进入三期临床，其中3个均是由在京团队和单位攻关研发的。 刘晖还披露，未来昌平生命科学园将加速对逾100个创新药展开研究开发。 事实上，北京医学创新与成果转化正在不断提速。市卫健委副主任张华进一步透露，仅2019年北京地区医疗机构承担的医药、药械、器械的临床实验项目就有1752项，其中涉及的创新药和创新器械就达到了782项。 中关村管委会巡视员刘航则表示，为了推动医学成果的转化，中关村还支持成立中科院微生物研究所等13家技术转移平台，相关2900余个项目正在对接到各个分园落地。与此同时，中关村还累计认定了9家生命健康硬科技孵化机，在孵企业超过了800家。 刘航透露，通过颠覆性技术的研发，前沿成果的转化，高精尖项目的落地等成链条式的方式，中关村精准支持并培育了一批创新强的高精尖的科技型企业，部分技术品种实现了全球领先，带动投资超过了百亿元，相关品种上市后预计可为北京新增销售额超过500亿元。 责任编辑：赖柳华 SN244 
陕西新增1例境外输入确诊病例|2020年11月29日 13:22|原标题：陕西新增1例境外输入确诊病例 11月28日0—24时，陕西省无新增报告本地确诊病例、疑似病例、无症状感染者。截至11月28日24时，累计报告本地确诊病例245例，出院242例，死亡3例。 11月28日0—24时，陕西省新增报告境外输入确诊病例1例，确诊病例治愈出院3例。截至11月28日24时，累计报告境外输入确诊病例253例，出院221例，在院32例。累计报告境外输入无症状感染者154例，转为确诊病例10例，解除医学观察128例，尚在医学观察的无症状感染者16例。 今日新增：陕西新增1例境外输入确诊病例为11月27日由阿富汗喀布尔经阿联酋迪拜至北京CA942航班乘客。11月27日CA942航班到达第一入境点西安咸阳国际机场后，航班全部人员落实海关检疫、核酸检测、点对点转运、隔离诊疗、隔离医学观察等闭环管理措施，无陕西省内自行活动轨迹。 当前全省隔离密切接触者286人，其中境外输入密切接触者283人，外省协查密切接触者3人。 确诊病例：唐某某，男，55岁，江苏籍。核酸检测结果阳性，经市级专家组会诊，诊断为新冠肺炎确诊病例，目前在定点医疗机构隔离治疗。 责任编辑：张玉 
香港新增约114例新型确诊病例 刷新日增新高|2020年11月29日 12:56|原标题：香港新增约114例新型确诊病例，刷新日增新高 据香港电台网站消息，截至29日零时，香港新增约114宗新型肺炎确诊病例，刷新日增新高。香港昨日新增84例确诊，累计确诊病例为6123例。据了解，香港于第三波疫情高峰时，于7月底曾录得单日新增149例确诊病例。 责任编辑：赖柳华 SN244 
