世界银行预测全球经济或将迎来衰退 中国将保持增长|2020年06月11日 21:52|原标题：世界银行预测全球经济或将迎来衰退 中国将保持增长  责任编辑：祝加贝 
56天后北京再现本土新冠确诊病例，流调仍在进行中|2020年06月11日 19:22|原标题：56天后北京再现本土新冠确诊病例，流调仍在进行中 连续56天无本地报告新增确诊病例后，北京市6月11日出现了一例本土确诊病例。 6月11日，在北京市第112场新型冠状病毒肺炎疫情防控工作新闻发布会上，北京市西城区副区长缪剑虹通报称，西城区报告一例确诊病例。 据缪剑虹通报，患者唐某某，男，52岁，于6月10日下午因间断发热到辖区医院发热门诊就诊。患者曾出现畏寒，乏力等症状，但无咳嗽、无咽痛、无胸闷，患者自述近2周无出京史、无外来人员密切接触史，样本核酸检测为阳性，经专家诊断为新冠肺炎确诊病例。患者就医全程佩戴口罩，独自骑车到医院检查并隔离治疗。目前，患者已转至地坛医院。 “现在还在做深入调查和实验室分析。根据患者提供的情况，目前无法判断传染源在哪里，只能进行流行病学调查。”北京市疾控的一位工作人员对第一财经表示。 该工作人员表示，从新冠病毒的潜伏期来讲，一般是1~14天，一般为3~7天，也存在超长潜伏期感染者。目前看，感染时间也许在14天之前，但北京市已经连续56天无本地病例，无境外输入病例，且患者也没接触史，最大的可能是无症状感染者的传播，且无症状感染者从感染到自愈都没有发病。 针对这个病例的流调已经展开。据缪剑虹介绍，现西城区正在对患者进行严密的流行病学调查，进一步追根溯源，随调随控随检，应检尽检，做好密接人员管理，切断传播途径。加大社区管控力度，对其所在小区进行封闭式管理，恢复测温等措施，对其活动场所进行追踪、监测采样和消毒。 据了解，且该病例的2位密接者核酸检测结果为阴性。 虽然新冠肺炎疫情的防控取得了阶段性胜利，但在新冠病毒没有彻底清除之前，偶发本地病例的出现也在预期之中 “虽然溯源比较难，但是这样的病例是可防可控的。”上述工作人员表示。 在上述新闻发布会上，北京市疾病预防控制中心副主任庞星火表示，这个病例再次给我们敲响了警钟，发生病例的风险随时存在。提示我们要深刻认识首都疫情防控的特殊重要性、复杂性及不确定性。要始终绷紧疫情防控这根弦，克服麻痹思想、厌战情绪、侥幸心理、松劲心态。坚持科学防控、精准施策、有效应对，坚持“外防输入、内防反弹”不放松。持续抓好常态化防控，巩固稳定向好的防控态势，加快恢复正常生产生活秩序。 责任编辑：祝加贝 
北京新增确诊病例2名密接者核酸检测呈阴性|2020年06月11日 18:06|原标题：北京新增确诊病例2名密接者核酸检测呈阴性 新京报快讯（记者 戴轩）北京6月11日报告1例新冠肺炎确诊病例，记者刚刚获悉，该病例的2位密接者核酸检测结果为阴性。 唐某某，男，52岁，北京市人，家住西城区月坛街道西便门东大街，于6月10日下午因间断发热到辖区医院发热门诊就诊。患者曾出现畏寒、乏力等症状，但无咳嗽、无咽痛、无胸闷，患者自述近两周无出京史、无外来人员密切接触史，样本核酸检测为阳性，经专家诊断为新冠肺炎确诊病例。患者就医全程佩戴口罩，独自骑车到医院检查并隔离治疗。 目前，患者已转至地坛医院，并已对其家庭中的两名密切接触者进行集中医学观察，两人首次核酸检测结果均为阴性。目前，西城区正在对患者进行严密的流行病学调查，进一步追根溯源，随调随控随检，应检尽检，做好密接人员管理，切断传播途径。加大社区管控力度，对其所在小区进行严格出入管理，恢复测温等措施，对其活动场所进行追踪、监测、采样和消毒。 西城区卫健委介绍，下一步，西城区将继续做好流行病学调查与社区管控等工作，加强对重点场所、重点人员的健康监测和环境采样；持续做好社区管控，加强对周边公共场所的管理；发挥医院发热门诊、社区卫生服务中心的哨点监测作用，提高预警监测能力；做好居民的健康随访、健康宣教和防护知识提示。有后续情况，我们将及时向社会公布。 新京报记者 戴轩 责任编辑：祝加贝 
北京对新增确诊病例所住小区居民进行核酸检测|2020年06月11日 17:43|原标题：北京对新增确诊病例所住小区居民进行核酸检测 北京市疾控中心副主任庞星火表示，针对北京新增1例确诊病例，北京市采取以下措施：①采集患者发病14天内曾去过场所环境样本等进行检测，查找可疑感染来源；②调查患者小区过去一个月内来京人员情况，调查周边既往确诊病例、高危人员等有关情况；③将病例转运至地坛医院隔离治疗，开展病毒基因测序；④密切接触者转运至隔离点进行集中医学观察14天；⑤对西城区月坛街道所有小区、写字楼、公共场所加强管理，周边写字楼下调人员到岗率，对患者所住小区居民进行核酸检测；⑥在全市医疗机构、发热门诊、急诊加强病例排查搜索。 责任编辑：杨杰 
浙江发现俄籍船员为无症状感染者 半月内已辗转数地|2020年06月11日 17:03|原标题：浙江发现俄籍船员为无症状感染者 半月内已辗转数地 据“舟山发布”消息，2020年6月10日，普陀区检测发现1艘马绍尔群岛籍船只上1名俄罗斯籍船员新冠病毒核酸阳性，为无症状感染者。 该船员于5月24日离开俄罗斯，5月29日在香港上船。该船6月3日到达韩国釜山，6月6日从上海口岸入境，6月7日上午到达舟山某船舶修造公司入场修理。该船员在境内未曾上岸，无发热及呼吸道症状，目前已转入定点医院进一步诊治。 目前，该船已进行消毒。已对通过流行病学调查确定的27名密切接触者落实集中隔离医学观察。（总台央视记者 梁烨） 责任编辑：祝加贝 
山西确诊病例、无症状感染者和密接者全部清零|2020年06月11日 16:54|原标题：山西确诊病例、无症状感染者和密接者全部清零 中新网太原6月11日电 （范丽芳）据山西省卫健委官网6月11日消息，6月10日0时至24时，山西无新增的新冠肺炎确诊病例、疑似病例和无症状感染者，密切接触者全部解除医学隔离观察。目前，山西省确诊病例、疑似病例、无症状感染者和密切接触者全部清零。 6月10日0时至24时，山西省本地无新增新冠肺炎确诊病例。累计报告确诊病例134例，治愈出院134例。现有疑似病例0例。 6月10日0时至24时，山西省无新增境外输入确诊病例。累计报告境外输入性确诊病例64例，治愈出院64例。现有疑似病例0例。 6月10日0时至24时，山西省无新增无症状感染者。现有无症状感染者0例。 累计追踪到密切接触者5107人（含境外输入病例密切接触者），当日解除医学观察1人，无尚在医学观察的密切接触者。（完） 责任编辑：祝加贝 
北京新增确诊病例口罩还要戴吗？市疾控这么说|2020年06月11日 16:35|原标题：北京新增确诊病例口罩还要戴吗？市疾控这么说 新京报讯（记者 戴轩）北京市疾控中心副主任庞星火介绍，6月11日凌晨2时，市疾控中心接到西城区病例标本，立刻对标本进行复核，并与西城区疾控中心第一时间赶赴现场开展流行病学调查。7时许，市疾控中心检测该病例送检样本核酸阳性。 针对病例溯源，追踪密切接触者，开展环境采样及消毒等控制措施主要包括以下几个方面： 1、采集患者发病前14天内曾去过场所的环境样本、相关人员的呼吸道标本、血液标本进行检测，查找可疑的感染来源； 2、调查患者小区过去1个月内境外返京、国内中高风险地区来京人员情况；调查周边小区、单位、酒店既往确诊病例情况、高危人员等有关线索情况； 3、将病例转运至地坛医院进行隔离治疗；采集病例标本开展病毒基因测序，分析病毒来源及关联性； 4、将密切接触者转运至隔离点进行集中医学观察14天，并采集咽拭子标本进行核酸检测； 5、对西城区月坛街道所有小区、写字楼、公共场所加强人员出入管理，周边写字楼下调人员到岗率。对患者所住小区居民进行核酸检测。 6、在全市医疗机构发热门诊、急诊加强病例排查搜索，加强核酸检测。 我们将根据初步排查的结果，尽快锁定重点地区、重点人群，阻断病毒传播。 6月6日零时起，北京市突发公共卫生事件响应级别调整至三级。但我市仍面临境外、京外病例输入和本地病例风险，需要严格落实科学精准有效防控要求。 今天发布的这个病例再次给我们敲响了警钟，发生病例的风险随时存在。提示我们要深刻认识首都疫情防控的特殊重要性、复杂性及不确定性。要始终绷紧疫情防控这根弦，克服麻痹思想、厌战情绪、侥幸心理、松劲心态。坚持科学防控、精准施策、有效应对，坚持“外防输入、内防反弹”不放松。持续抓好常态化防控，巩固稳定向好的防控态势，加快恢复正常生产生活秩序。 市民朋友要时刻保持个人防护意识，在此期间，如出现发热、咳嗽等症状，要及时就近进行诊疗，要科学佩戴口罩，勤洗手、常通风、保持安全社交距离。不扎堆、不聚会。保持良好的卫生习惯，倡导健康生活方式。各社区、各单位要持续开展爱国卫生运动，营造健康优美环境。 新京报记者 戴轩 责任编辑：杨杰 
北京新增1例新冠肺炎确诊病例，自述近2周无出京史|2020年06月11日 16:27|原标题：北京新增1例新冠肺炎确诊病例，自述近2周无出京史 北京头条客户端6月11日消息，6月11日，北京市第112场新型冠状病毒肺炎疫情防控工作新闻发布会召开。北京市西城区副区长缪剑虹对西城区出现一例新冠肺炎确诊病例有关情况进行通报。 唐某某，男，52岁，北京市人，家住西城区月坛街道西便门东大街，于6月10日下午因间断发热到辖区医院发热门诊就诊。患者曾出现畏寒，乏力等症状，但无咳嗽、无咽痛、无胸闷，患者自述近2周无出京史、无外来人员密切接触史，样本核酸检测为阳性，经专家诊断为新冠肺炎确诊病例。患者就医全程佩戴口罩，独自骑车到医院检查并隔离治疗。 缪剑虹说，目前，患者已转至地坛医院，并已对其家庭中的2名密切接触者进行集中医学观察。现西城区正在对患者进行严密的流行病学调查，进一步追根溯源，随调随控随检，应检尽检，做好密接人员管理，切断传播途径。加大社区管控力度，对其所在小区进行封闭式管理，恢复测温等措施，对其活动场所进行追踪、监测采样和消毒。 缪剑虹表示，下一步，西城区将继续做好流行病学调查与社区管控等工作，加强对重点场所、重点人员的健康监测和环境采样；持续做好社区管控，加强对周边公共场所的管理；发挥医院发热门诊、社区卫生服务中心的哨点监测作用，提高预警监测能力；做好居民的健康随访、健康宣教和防护知识提示。有后续情况，我们将及时向社会公布。 来源：北京头条客户端 责任编辑：杨杰 
北京6月10日新增确诊病例1例|2020年06月11日 16:24|原标题：北京昨日新增确诊病例1例 今天下午，北京市召开第112场疫情防控新闻发布会。会上通报，6月10日，北京市新增1例新冠肺炎确诊病例。 责任编辑：杨杰 
商务部：我国汽车销售11个月来首次正增长|2020年06月11日 15:46|原标题：商务部：我国汽车销售11个月来首次正增长 在今天商务部举行的例行新闻发布会上，新闻发言人高峰介绍，随着国内疫情防控形势持续向好，我国汽车消费市场呈现回暖态势。 据有关统计数据显示，5月份全国乘用车销量160.9万辆，环比增长12.6%，同比增长1.8%，比2月份回升近80个百分点，实现11个月以来的首次同比正增长。 高峰表示，这表明，中央和地方出台的稳定和扩大汽车消费的政策效果逐步显现，汽车企业加快复工复产，居民消费信心有所增强，汽车消费需求得到有效释放和回补。 高峰强调，中国汽车市场具有较大的发展空间和潜力，汽车消费需求依然旺盛。随着国内生产生活秩序全面恢复，各项援企纾困政策进一步落地见效，我国汽车消费市场仍将保持平稳回升的态势。（总台央视记者 刘颖 张道峰 徐宁宁 戈晓威 郝毅杰） 责任编辑：祝加贝 
浙江发现俄籍船员为无症状感染者 患者半个月辗转3国|2020年06月11日 15:37|原标题：浙江发现俄籍船员为无症状感染者，患者半个月辗转3国 新京报快讯据舟山发布官微消息，6月10日，普陀区检测发现1艘马绍尔群岛籍船只上1名俄罗斯籍船员新冠病毒核酸阳性，为无症状感染者。 该船员于5月24日离开俄罗斯，5月29日在香港上船。该船6月3日到达韩国釜山，6月6日从上海口岸入境，6月7日上午到达舟山某船舶修造公司入场修理。该船员在境内未曾上岸，无发热及呼吸道症状，目前已转入定点医院进一步诊治。 目前，该船已进行消毒。已对通过流行病学调查确定的27名密切接触者落实集中隔离医学观察。 来源：舟山发布官微 责任编辑：杨杰 
