北京19日22名确诊患者涉及小区公布|2020年06月20日 23:41|原标题：北京昨日22名确诊患者涉及小区公布 新京报讯（记者 戴轩）6月19日0时至24时，北京新增新冠肺炎确诊病例22例，病例活动过的区为海淀、丰台、大兴，涉及到的小区或场所共16个。 6月19日0时至24时，北京市新增新冠肺炎确诊病例22例，其中男性11例，女性11例；年龄平均37岁，最小1岁，最大56岁；北京户籍6例，外省户籍16例；丰台区13例、大兴区8例、海淀区1例；临床分型轻型9例，普通型13例，确诊病例均与新发地市场有关联。具体情况如下： 病例1，男，50岁，黑龙江人，住丰台区花乡，工作单位为新发地市场，6月14日发病，19日确诊，临床分型为普通型。 病例2，女，33岁，河北人，住大兴区西红门镇，工作单位为新发地市场，6月17日发病，19日确诊，临床分型为轻型。 病例3，男，39岁，湖北人，住丰台区花乡，工作单位为新发地市场，6月15日发病，19日确诊，临床分型为普通型。 病例4，男，34岁，河北人，住丰台区花乡，工作单位为新发地市场，6月17日发病，19日确诊，临床分型为普通型。 病例5，女，54岁，黑龙江人，住大兴区黄村镇，工作单位为新发地市场某饭店，6月15日发病，19日确诊，临床分型为普通型。 病例6，女，43岁，北京人，住丰台区花乡，曾经到新发地市场采购，6月14日发病，19日确诊，临床分型为普通型。 病例7，男，52岁，河南人，住丰台区马家堡街道，曾经到新发地市场采购，6月15日发病，19日确诊，临床分型为普通型。 病例8，男，34岁，山东人，住丰台区马家堡街道，曾经到新发地市场采购，6月15日发病，19日确诊，临床分型为普通型。 病例9，男，31岁，河南人，住丰台区花乡，曾经到新发地市场采购，6月14日发病，19日确诊，临床分型为普通型。 病例10，女，34岁，北京人，住大兴区天宫院街道，曾经到新发地市场采购，6月14日发病，19日确诊，临床分型为轻型。 病例11，男，34岁，广西人，住丰台区花乡，曾经到新发地市场采购，6月19日发病，19日确诊，临床分型为轻型。 病例12，女，32岁，四川人，住大兴区黄村镇，工作单位为某食品厂，为6月17日确诊病例的密切接触者，17日发病，19日确诊，临床分型为普通型。 病例13，女，34岁，河南人，住大兴区西红门镇，工作单位为某食品厂，为6月17日确诊病例的密切接触者，18日发病，19日确诊，临床分型为轻型。 病例14，女，56岁，北京人，住海淀区永定路街道，为6月16日确诊病例的密切接触者，14日发病，19日确诊，临床分型为普通型。 病例15，男，22岁，河南人，住丰台区马家堡街道，为6月19日确诊病例的密切接触者，17日发病，19日确诊，临床分型为轻型。 病例16，女，53岁，河南人，住丰台区马家堡街道，为6月19日确诊病例的密切接触者，17日发病，19日确诊，临床分型为轻型。 病例17，男，1周岁，北京人，住丰台区花乡，为6月18日确诊病例的密切接触者，18日发病，19日确诊，临床分型为轻型。 病例18，男，44岁，河北人，住大兴区高米店街道，为6月18日确诊病例的密切接触者，13日发病，19日确诊，临床分型为普通型。 病例19，男，36岁，河北人，住大兴区清源街道，为6月13日确诊病例的密切接触者，18日发病，19日确诊，临床分型为普通型。 病例20，女，24岁，北京人，住大兴区黄村镇，为6月17日确诊病例的密切接触者，14日发病，19日确诊，临床分型为轻型。 病例21，女，47岁，河北人，住丰台区花乡，为6月19日确诊病例的密切接触者，14日发病，19日确诊，临床分型为普通型。 病例22，女，22岁，北京人，住丰台区卢沟桥街道，为6月12日确诊病例的密切接触者，19日发病，19日确诊，临床分型为轻型。 永定路街道永定路70号院 花乡（地区）黄土岗社区宜兰园二区 花乡（地区）潘家庙路9号院 花乡（地区）天骄俊园 花乡（地区）新发地经营者乐园 卢沟桥街道五里店南里小区 马家堡街道角门北路 马家堡街道角门路60号木箱厂宿舍 高米店街道郁花园一里 黄村（地区）镇海鑫北路17号院 黄村（地区）镇狼垡一村 黄村（地区）镇三间房村福旺街 清源街道枣园东里社区首邑上城 天宫院街道珺悦国际 西红门（地区）镇建新庄三条 西红门（地区）镇西红门一村镇光街 北京市疾控中心提醒，新冠病毒传染性强，传播途径复杂。疫情期间，尽量减少外出聚会就餐，避免多人集聚；在住所、工作场所等处，需保持室内经常通风，减少疫情传播风险。曾经去过新发地市场或到新发地市场采购的人员要服从社区防控管理要求，主动报告，不得外出，做好自身防护。建议市民朋友在社区组织下有序参加核酸筛查，如无新发地市场接触史和身体异常状况，可不必扎堆预约筛查；进行核酸检测时，戴好口罩，有序排队，保持距离。尤其是在电梯等公共密闭空间内要保持安全距离，规范佩戴口罩，回家后及时洗手，减少疫情传播风险。 新京报记者 戴轩 责任编辑：祝加贝 
美联社记者去新发地附近拍照，结果被"请"去做检测|2020年06月20日 22:50|原标题：美联社记者去新发地附近拍照，结果被“请”去做检测 截至6月17日，北京市已完成经大数据筛查的35.5万人次新冠病毒核酸检测。一名美联社记者则分享了他在新发地市场附近街区拍照，然后被要求接受检测的故事。 据美联社19日报道，该媒体驻北京记者马克·席费尔贝因（Mark Schiefelbein）自称曾在6月初疫情出现时前往新发地农产品批发市场，但并未进入，而是在附近数条街区外拍照。 北京开展基于大数据筛查的精准防疫后，他在一个周三下午收到社区居委会工作人员通知，要求尽快前往附近某体育场报道。登记后，他被“护送”到分开就座的大巴上，来到一处大型城市公园，其中博物馆的场地被改造成临时监测点。 席费尔贝因介绍，现场有数百人排队等待检测，相互之间保持一定距离，很多人称自己未进入过新发地市场。身着防护服与口罩的工作人员为他测试体温并检查了“北京健康宝”健康码，显示为“未见异常”的绿码。 随后，他接受了检测登记，并得到一个贴有条形码的小瓶，并由工作人员采集了咽拭子样本。席费尔贝因形容，乘巴士返回的路上，他和同车人的情绪放松了许多。有人开始聊天，内容包括其他国家的疫情，以及不同品牌手机的优点。 在返回集合的体育场后，所有人被告知在收到检测结果前应避免出门。“不用说，我计划待在家里。”席费尔贝因最后写道。 责任编辑：祝加贝 
北京至少5家餐馆中招！战疫正紧少下馆子别聚餐|2020年06月20日 22:40|原标题：北京至少5家餐馆中招！战疫正紧少下馆子别聚餐 近一周来，北京有多名餐饮服务人员确诊新冠肺炎。截至6月19日，至少5家餐馆有员工被确诊，但尚未通报有餐馆顾客被感染的案例。 通报显示，这些餐馆有的与新发地市场有供货关系，有的员工之间交叉感染，有的所有员工都被确诊。其中一家餐馆只有一人负责去新发地采购进货，却造成了其余6名员工感染病毒。再次证明病毒狡猾至极、无孔不入。 保卫“入口安全”刻不容缓。6月15日晚，各区连夜挨家挨户敲门叫醒经营者，对农产品市场、餐饮服务单位进行环境消杀。经彻夜奋战，6月16日24时之前，本市全部餐饮服务单位已完成消杀工作。同时，相关部门还组织全市餐饮从业人员进行了核酸检测。相关疫情防控指引迅速进行了更新，明确了餐饮企业暂停举办婚宴、酒席等群体性聚餐活动，控制餐馆就餐人数，拉开桌位间距等要求。 疫情突变，北京再次进入“战时状态”，对餐饮行业的冲击当然是巨大的，尤其是忌食生冷，一些日料店的营业额直接下降了80%。但没有广大市民的生命健康，其他一切都是空谈。餐饮行业必须算清“大账”，将经营重心放到疫情防控上。无论是全面消杀，停止堂食，加大线上销售力度，还是外卖骑手进行核酸检测，都是守卫安全的积极行动。 目前，尚未发现餐馆顾客被感染的案例，从另一角度证明了科学防护的重要性。战疫半年，严格的防控措施对全社会一些习焉不察的行为习惯进行了重塑，也验证了许多好习惯“非不能也，实不为也。比如，在公共场合就餐保持安全社交距离，尽量“食不言”，聚餐时使用公筷公勺、进行分餐等等。眼下疫情形势严峻复杂，自我防护更要谨慎小心，应尽量减少外出就餐，避免多人聚餐，出门就餐时也要严格遵守防控规定，时时做好个人防护，为人为己负责。 降低感染率、切断传播链，靠的是每个人高度的警觉意识和持续的自觉行动。各方遵守规矩、积极配合，就能保障“入口安全”，就是在为战疫减负助力。 责任编辑：吴金明 
北京快递小哥全员核酸检测 目前无确诊和疑似病例|2020年06月20日 22:18|原标题：北京快递小哥全员核酸检测 目前无确诊和疑似病例 6月19日起，按照北京市统一要求，为向市民提供更加安全放心的寄递服务，北京邮政、快递企业已开始陆续安排一线从业人员进行全员核酸检测，预计于6月22日完成核酸检测的采样工作。 6月19日下午5点多，在派送完200多票快件之后，圆通快递小哥王海龙来到顺义南法信的检测地点接受核酸检测。“北京的疫情防控，人人有责。作为快递小哥，我们接受核酸检测不仅是为自身安全，更是为了市民安全，对市民负责。” 王海龙说，他和同事们也会在做好防护措施的前提下，全力保障市民的生活物资配送。“相比于一线医护人员和社区工作者，我们的辛苦不算什么。” 值得注意的是，当前正值“6·18”业务高峰期，快递企业在做好核酸检测等疫情防控措施的同时，也全力保障寄递渠道的畅通。以京东物流为例，其为全部在京快递员、货车司机和生鲜仓储人员提供免费核酸检测，目前已经有超过2000名员工完成了检测，其余员工也将在最短的时间内分批次完成检测。针对业务量猛增的情况，京东物流全力配合社区防控要求，对于无法进入的小区，通过自提柜、便民服务点、指定地方存放、物业代收、保安室代收、社区配送Mini站等多种无接触配送方式，以满足消费者的收寄需求。 据了解，此次核酸检测共涉及北京市的17家邮政、快递企业的10.3万名一线从业人员，计划于6月22日24点之前完成全部检测采样工作。截至目前，北京市邮政快递从业人员未报告确诊和疑似病例，寄递渠道也保持了安全稳定畅通的良好趋势。数据显示，6月11日至20日，北京地区揽收包裹快递6809万，同比增长22.86%；投递快递包裹8245万，同比增长25.57%。 按照国家邮政局工作部署，为进一步做好北京地区新冠肺炎疫情防控工作，一手抓邮政快递一线从业人员全员核酸检测，一手抓寄递渠道稳定畅通运行。在疫情导致用工紧张、递送难度增加的情况下，组织企业通过统筹各类资源、优化网络路由、鼓励临时用工、采用智能箱投递、快递服务站投递等方式；尤其是对于实施封闭管理小区，要求各家企业增加人力物力投入，重点保障好居民食品、日用品等各类物资递送供应。国家邮政局还要求严格执行最新版的疫情防控期间邮政快递生产作业场所操作规范，科学佩戴口罩，减少人员聚焦，加强生产作业场所和邮件快件的通风消毒等措施，确保从业人员和消费者的生命安全和身体健康。 此外，按照二级响应相关防控措施要求，根据相关商业服务业领域特点和实际，北京市对餐饮、商超配送物流、外卖快递等13个行业指引进行修订，并于19日正式发布执行。在快递外卖行业指引中，要求快递员和网约配送员在等候取货取餐时，要避免人员聚集，保持1米以上距离，在外出提供服务时应佩戴一次性使用医用口罩，进社区配送时，应按要求出示北京健康宝，可采取将物品放至快递柜、社区存放点等方式，实行无接触配送。（总台央视记者 唐颖）  责任编辑：吴金明 
参考消息：借疫滥诉是破坏中美关系的“政治病毒”|2020年06月20日 21:46|原标题：新冠疫情与世界格局 | 借疫滥诉是破坏中美关系的“政治病毒” 美国《外国主权豁免法》是美国法院裁判外国是否享有豁免权的唯一法律依据。它采取有限豁免理论，规定了七种豁免例外情形。原告在上述滥诉案件中主要援引其中的商业行为例外、侵权例外和资助恐怖主义例外作为说服美国法院行使管辖权的理由。但这些理由均不成立。 第一，根据《外国主权豁免法》第1605条（a）款（2）项规定，美国法院以商业行为例外为由对外国行使管辖权，必须同时满足三个条件：一是涉诉行为系商业行为；二是原告的具体诉请“基于”该商业行为；三是涉诉行为与美国有足够的联系。缺一不可。但原告宣称的中国政府早期瞒报或故意掩盖疫情的行为显然是政府行为，并非商业行为。因为传染病的预警、公布等事项属于政府职权，私主体无权为之。即便如原告所称中国政府是为了经济利益采取瞒报行为，这种基于行为目的来判断商业行为也不符合《外国主权豁免法》的定义，因为该法以行为性质为标准来界定商业行为，而非行为目的或效果。 第二，《外国主权豁免法》第1605条（a）款（5）项规定的非商业侵权行为例外具有明确的领土要求，即它只针对发生在美国的侵权行为，且不能是行使自由裁量权的行为。但原告指称的被告关于新冠疫情的作为或不作为都是发生在中国境内的“自由裁量行为”，既不符合侵权豁免例外的地域要求，也不符合行为性质要求。 第三，对新冠病毒的来源问题，就连美国科学家也排除了人造的可能性。即便如原告诬称的新冠病毒是中国政府和军方制造的生物武器，美国法院也无法适用恐怖主义豁免例外。因为在新冠疫情暴发时，仅有朝鲜、伊朗、苏丹和叙利亚被美国国务院确定为资助恐怖主义的国家，中国不在该名单之列；原告直接在美国法院起诉中国，也不满足“穷尽救济要件”；原告指称的中国进行的恐怖主义行为也不属于“酷刑、司法外杀害、蓄意破坏航空器及劫持人质”中的任何一种。 美国法院的涉新冠诉讼违反了国际法上的国家主权原则、国家责任制度和国际损害责任制度。 第一，根据“平等者之间无管辖权”的古老法谚和现代国际法主权平等原则，任何主权国家不受他国的司法管辖。除非一国放弃管辖豁免，他国法院不得审理以该国国家、政府为被告或针对该国国家财产的案件。 第二，国家责任是国家对其国际不法行为应当承担的责任。而构成国际不法行为，必须满足特定的主客观要件，包括行为可归因于国家（归因性），国家在行为中具有故意或者过失（过错性），违背国家所承担的国际义务（违法性）等三个要件。对于新冠肺炎的国际大流行，中国除了没有实施国际不法行为这个客观事实以外，要证明中国对疫情的国际传播存在故意或者过失也没有客观依据，而源于自然界的病毒不能归因于任何特定社会或国家。因此，现有事实与法律不可能要求中国因新冠疫情承担国家责任。 第三，国际损害责任是国际法主体从事了某些国际法不加禁止的行为或活动，但对他国造成实际损害时所承担的法律责任。该制度目前只适用于环境保护、航空航天等有国际条约明确规定的领域，而公共卫生领域的国际条约并没有此等规定。由于新冠病毒的起源和传播的关键信息不明，无法证明是由中国或其所管辖的自然人和法人所导致，缺乏必要的诉因。而要证明中国防疫行为与他国损失之间存在法律上的因果关系也是不可能的，因为中国根据《国际卫生条例》及时、全面、持续地向国际社会分享了疫情信息，其他国家完全有机会采取有效措施控制新冠疫情的蔓延，但部分国家没有充分利用中国作出巨大牺牲争取的时间窗口采取有力措施加强防控，才导致疫情的全球大流行。 既然此等滥诉没有任何国际法和国内法依据，为什么美国不断上演这种闹剧呢？这是美国特朗普政府抗疫失败、中美贸易摩擦、美国大选、特朗普政府奉行“美国优先”并把中国视为战略竞争对手等综合原因造成的。其目的也是多方面的，如少数律师蹭热点搞营销，部分政客转移美国抗疫不力的矛盾焦点，特朗普为谋求连任进行的竞选策略，特朗普政府污名化中国以消解我国国际形象，美国将中国作为战略竞争对手以后进行的政治操弄手段。 预判美国这些滥诉的不同结果，其对中美关系及国际关系的影响也截然不同。 第一，美国法院认定中国享有司法豁免权，驳回原告的起诉。这个结果有利于中美走向包容性竞争关系。 第二，美国国会通过修改《外国主权豁免法》，对部分涉新冠诉讼行使管辖权。为了解决美国法院管辖新冠诉讼的难题，已有部分美国国会议员在推动国会修改《外国主权豁免法》，重新定义主权豁免的保护范围，以便推进这些诉讼。在新冠疫情给美国经济造成灾难性影响和美国总统大选的特殊时期，不排除美国通过修改《外国主权豁免法》，为美国法院对上述滥诉行使管辖权扫清障碍。作为国际法的基本原则，主权平等意味着一国立法机构通过修改国内法剥夺外国的豁免权是将本国法凌驾在他国主权之上，是对国家主权原则的公然违反。中国有权采取必要的立法反制措施，这将对中美关系产生不利影响，进而影响全球治理体系的完善，因为这种立法对其他主权国家也构成潜在的威胁。 第三，美国法院通过司法审理程序，作出对中国不利的缺席判决。如果美国法院正式启动这些滥诉的审理程序，中国可通过外交途径严正交涉，或者通过“法庭之友意见书”等形式表明我国立场，尽管这些措施可能无法阻止美国法院作出对中国的不利判决。这种结果可能引发中国的司法反制措施，对中美关系带来灾难性影响。 第四，强制执行美国法院的判决。如果美国法院作出对中国的不利判决，我国可主张执行豁免，因为未经国家同意，不得对国家财产采取诉讼保全和强制执行措施已构成习惯国际法规则。假如美国强制执行我国国家财产，其行为当然构成国际不法行为，我国有权要求美国停止侵权、赔偿我国因此遭受的损失，直至采取国际法上认可的“反措施”，如冻结、扣押美国在中国的特定资产。这种结果可能导致中美关系“脱钩”或者非正常化，也从根本上破坏了国际法的生成逻辑和运行环境，导致以规则为基础的全球化的终结，或者走向其他形式的全球化。 因此，我国需要做好持久战的思想准备和制度供给，综合外交途径与法律手段，兼顾个案应对与制度建设，在这些诉讼的不同阶段采取有针对性的不同应对方法，同时利用世卫组织就新冠疫情开展全面独立调查的机会加强国际合作，就一定能够战胜美国这种通过法律包装的政治病毒，让美国这些滥诉成为国际法治发展史上为人不齿的闹剧。 责任编辑：张建利 
实地探访隔离病区！医护人员：我们一定会战胜它！|2020年06月20日 19:28|原标题：实地探访隔离病区！医护人员：我们一定会战胜它！ 6月19日，总台央视记者实地探访了北京地坛医院隔离病区。记者发现，受本次新发地市场聚集性疫情感染的患者，大多病情相对较轻。在目前收治的183名患者中，危重型和重型患者只有13名，这与今年春季暴发的疫情有明显差异。 针对本次疫情的特点，地坛医院按照北京市疫情防控领导小组和国家卫生健康委专家组的要求，坚持市级重症救治专家组每日巡查和会诊会商机制。在病人的日常生活方面，医院也提供了很多人性化服务：病区网络全覆盖、快递包裹直接投递到病房，在患者用餐上也下足了功夫。 截至19日，包括13名重型和危重型患者在内的所有住院患者，各项筛查指标基本平稳。 北京地坛医院感染二科主任医师 徐艳利：有了上一拨疫情的经验，对于这次疫情的借鉴是非常有帮助的，请大家相信我们，我们一定会战胜它！ （总台央视记者王小节朱世松许梦哲任生圆） 责任编辑：吴金明 
北京疫情防治不能直接照搬武汉中医药经验|2020年06月20日 19:18|原标题：北京疫情防治不能直接照搬武汉中医药经验 国家中医药管理局突发公共事件中医药应急委员会委员、国家级名老中医、北京中医药大学刘景源教授认为，“现在不能再沿用当时武汉治疗新冠肺炎的方剂，要根据现在的情况制定新的治疗方案。” 刘景源教授说，中医讲究因时、因地、因人制宜。不同的季节、不同的人、不同的地区，同一种病表现也不一样。比如说新冠肺炎，在武汉发病时是冬季，阴雨连绵，气候寒冷，中医诊断是寒湿，叫做寒湿疫，用《伤寒论》的方药，麻黄、桂枝、细辛，苍术等等，散寒祛湿，效果很好。但是，现在已经进入夏天，6月21日就是夏至，夏天气候和冬天气候完全不一样，目前是高温炎热干燥，人的体内环境也会随之变化，所以发病就不会再是寒湿了，临床表现应该是燥热。 据此，刘景源教授认为，季节气候不同、地区不同、人的体质不同，治疗上就要有相应的改变。所以现在不能再沿用当时武汉治疗新冠肺炎的方剂，要根据现在的情况制定新的治疗方案。 6月16日，北京市中医管理局发布了《北京市新型冠状病毒肺炎中医药防治方案（试行第五版）》，包括成人、儿童临床治疗方案及预防方案。对比上一版方案，无论在治疗用药还是预防用药上，都做了调整，比如对于医学隔离观察的病例，较上一版的“益气养阴”，新版治法上调整为“芳香化湿、益气解毒”；儿童中药预防处方中的“陈皮2g”，被替换成了“苏叶3g”。 对于新冠肺炎药物预防方面，刘景源教授建议，体质虚的人可以吃玉屏风散、贞芪扶正片、生脉饮这类药物，小剂量即可，时间也不宜太长，因为天气比较炎热了。养阴生津的药，像麦冬、沙参可以用一点儿，不必过多。 本文综合自人民日报客户端、北京市中医管理局官网  责任编辑：吴金明 
一图尽览：北京205名确诊病例情况汇总|2020年06月20日 19:03|原标题：一图尽览 | 北京205名确诊病例情况汇总 责任编辑：吴金明 
北京市商务局:蔬菜上市总量有所减少 但供应总体稳定|2020年06月20日 16:53|原标题：北京市商务局：蔬菜上市总量有所减少 但供应总体稳定 新京报快讯（记者 李玉坤）6月20日下午，北京召开新冠疫情防控第127场发布会。北京市商务局二级巡视员王洪存介绍，受新发地暂时休市影响，北京蔬菜上市总量有所减少，但自14日以来，政府和市场的双向发力，蔬菜市场供应总体保持了稳定。 据监测，一周来，7大批发市场蔬菜上市量日均稳定在1.1万吨左右，20日，上市量达1.24万吨，供应总量继续扩大、稳中向好。15日至19日，依托自身直采渠道的物美、京客隆和超市发等8家大型连锁超市蔬菜供应量日均达到2125吨，比12日增长80%。目前8家大型连锁超市库存充足。此外全市粮油肉蛋流通渠道畅通，货源充足。 责任编辑：郑亚鹏 
北京77例确诊病例涉及这39个小区(图)|2020年06月20日 16:43|原标题：北京77例确诊病例涉及这39个小区 责任编辑：郑亚鹏 
北京石景山区对外卖骑手进行核酸检测|2020年06月20日 16:41|原标题：石景山区对外卖骑手进行核酸检测 按照市区统一部署 6月20日 石景山区对区内 美团、饿了么两大平台的外卖骑手 在石景山区体育场核酸采样点 开展新冠病毒核酸检测 保障群众网络订餐安全 工作人员现场疏导 指挥秩序 引导检测人员排队入场 保持“一米”安全距离 现场设置 排队区、登记区、采样区 现场井然有序 目前，市民已经可在 美团App、美团外卖App查看到 商家工作人员体温等健康安全信息， 以及骑手体温及配送箱消毒情况等信息。 后续在App升级版本中， 市民还将可逐步查看到 商家和骑手的核酸检测情况。 为了加强用户取餐安全， 很多外卖已经升级无接触配送， 骑手将商品放置在用户指定位置， 减少面对面接触。 石景山区将陆续分批次对 外卖骑手等人员进行核酸检测 责任编辑：郑亚鹏 
