北京近两日有25例确诊病例来自集中隔离点|2020年06月28日 23:01|原标题：北京近两日有25例确诊病例来自集中隔离点 责任编辑：吴金明 
全球确诊破1000万后，新冠疫苗炼成之路还有多远？|2020年06月28日 22:32|原标题：全球确诊破1000万后，新冠疫苗炼成之路还有多远 澎湃新闻资深记者 刘栋 新冠肺炎疫情暴发六个月后，全世界对疫苗望眼欲穿。 6月28日，美国约翰斯·霍普金斯大学统计显示，全球新冠肺炎确诊病例突破1000万关口，病亡人数近50万，疫情仍没有丝毫停止扩张的迹象。 过去一周，全球81个国家新病例有所增加，仅有36个国家出现下降。在美国、巴西和印度的“引领”下，新冠疫情大流行正在加速进入“全新的危险期”。 全球范围内，新冠大流行带来了上世纪30年代大萧条（Great Depression）以来最严重的经济危机。全球制造业供应链断裂；航空、旅游、休闲和酒店等行业遭受重创；学校和企业大量关闭。这些变化正在对人类社会带来深远的影响。 在这场与新冠病毒的持久战中，疫苗成为了人类的最终武器，也是恢复正常生活的最佳途径。 在疫苗研发史上，一款疫苗的平均诞生时间是10到15年，迄今为止最快的纪录是4年。然而这对于全世界来说仍无异于一个噩耗——没有人愿意在新冠病毒的阴影下再等四年——这意味着数百万人的死亡，经济和社会走向全面瘫痪。 眼下，全球范围有超过100个团队在竞相研发新冠病毒疫苗，其中英国、中国和美国的研发进展最快。至少有5款疫苗已经或即将进入到最关键的临床3期试验阶段。研发者们称，有望在今年底明年初创纪录地生产出第一批疫苗。 乐观预测背后难掩的是严峻的事实：疫苗研发历来是一项极端复杂的工作，失败的可能性远远比成功更大。尽管全世界最顶尖的科学家们正在全力以赴，然而人类开始接触、了解新冠病毒仅仅不到6个月，在对这种新型病毒认识尚不完全的情况下，仍有诸多未解之谜困扰着我们。 人体免疫系统的哪一部分能够对新冠病毒带来致命的打击？为什么不同的个体对这种病毒的反应如此不同？病毒的不断变异是否会使疫苗失效？免疫力又会持续多久？ 即便疫苗研发成功，更大的挑战在于，如何在短时间内生产出数十亿支疫苗、将其公平分配并安全送达每一个国家。这将是人类历史上从未有过的巨大挑战。 疫苗仅仅是人类与新冠病毒这场“战疫”的序幕，我们正在进入到一个更加未知的领域。 今年秋天或许将是新冠大流行的一个转折点：我们可能会等来疫苗的积极消息，同时我们也将知道是否会有第二波疫情袭来。1918年，流感大流行分三波爆发，发生在秋天的第二波疫情是最致命的一波。 新冠疫苗能成为救世主吗？从过往人类与病毒的斗争史中，乐观者和悲观者都能找到各自的理由。2020年的这场大流行，注定将成为我们这个时代最深刻的回忆之一。 截至本文发稿时，在这场与死神赛跑的全球研发竞赛中，至少有两款疫苗已经进入到了临床三期测试阶段，另外有三款将在7月进入三期测试。 疫苗人体试验一般分为三个阶段，第一期主要确保疫苗不会对人体造成伤害；第二期（会有数百人参加试验）初步展示疫苗效果，进一步验证安全性；第三期的试验（需要上万名参与者）则是检验疫苗是否能够真正发挥保护作用的金标准。 一款疫苗前两个阶段的测试结果良好，并不意味着一定可以有效预防感染。只有大规模的、控制良好的第三阶段研究结果，才能证明疫苗是否能真正有效预防感染和挽救生命。 “三期试验中的人数必须是大量的，才能显示出疫苗是否有效。”伦敦卫生与热带医学院（LSHTM）疫苗中心主任贝亚特·坎普曼（Beate Kampmann）向澎湃新闻介绍，“前两期试验可以在任何地方进行，三期试验旨在确定疫苗的有效性，只能在病毒仍在传播的地区进行。” 坎普曼介绍，三期试验会将受试者分为疫苗组和安慰剂对照组，最终对比疫苗组和安慰剂组的发病情况，来评价疫苗的保护效率。 坎普曼举例说，假设在10000名注射了疫苗的人群中，经过一段时间，有1000人感染了新冠病毒，而在另10000名没有注射疫苗的对照组中有5000人感染了新冠病毒，这说明疫苗有效地保护了大部分人不被感染。 若按照疫苗效力计算公式——疫苗效力=1-疫苗组发病率/对照组发病率——计算的话，在上面的例子里疫苗效力达到了80%。 “通常三期试验需要6到12个月的观察期。但这也取决于试验地感染率的高低，如果人群中的感染率非常高，那么试验的时间可以缩短。如果没有那么高的感染率，试验时间就需要更长。”她说。 在伦敦卫生与热带医学院的网站上列出了目前全球范围内几乎所有正在进行中的疫苗试验项目以及其所处的阶段。坎普曼表示，在国外进行国际合作试验复杂而昂贵，而疫苗的效果是试验关注的重点。同时，大规模的试验数据也会收集到更多疫苗安全方面的信息。 在这场疫苗马拉松中，目前跑在最前面的是英国牛津大学詹纳研究所（Jenner Institute）和英国阿斯利康药厂（AstraZeneca）合作研发的重组病毒载体疫苗（以下简称牛津-阿斯利康疫苗）。这是全球首个进入三期试验的疫苗。目前，在英国有约1万人参与该疫苗的三期试验，阿斯利康表示，目前为止，试验结果安全良好。 牛津-阿斯利康疫苗同时还计划在美国征召3万人，在巴西和南非招收数千人同时进行三期试验。阿斯利康表示，如果试验顺利，最早将从今年9月或10月开始向英国、美国提供首批疫苗。 紧随其后的是来自中国国药的一款疫苗。6月23日，国药集团在其官网宣布，由武汉生物制品研究所和中科院武汉病毒所联合研制的新冠病毒灭活疫苗将在阿联酋开始国际临床三期研究（以下简称国药疫苗）。 河南省疾控中心疫苗临床研究中心主任夏胜利是国药灭活疫苗一期和二期临床试验的负责人，国药疫苗此前的试验结果良好。他对澎湃新闻表示，目前这款疫苗的国外三期临床试验还未正式展开，仍面临诸多不确定因素。 多位专家向澎湃新闻表示，国际合作的三期临床试验面临不小的困难。在大流行期间进行临床试验带来额外的挑战、实验花费大、与国外合作机构的沟通、政策的不稳定性、不同文化背景下实施操作的不确定性以及用安慰剂做试验是否为当地伦理接受等问题都是不小的挑战。 与此同时，另外两款将在7月进入三期临床试验的疫苗分别是美国莫德纳公司（Moderna）的mRNA疫苗和中国科兴中维的灭活疫苗。前者计划招募3万人参与试验，而后者则计划在巴西招募9000名志愿者参加试验。此外，中、英、美、德等国还有多款疫苗正在或将要进行二期临床试验。 此前人类与病毒斗争的一个主要教训是：在疫情期间疫苗研发虽大幅加速，但仍错过疫情暴发。这在2003年的SARS（“非典”）、2014年的西非埃博拉疫情中都曾发生过。 2014年春季西非暴发埃博拉疫情时，尽管埃博拉病毒在四十多年前就被鉴定出来，此前也有过几次暴发，但是一直都没有疫苗，也没有药品，诊断产品也有限，大部分产品研发仍停留在临床前阶段。 Ervebo是埃博拉首个疫苗，2015年在发生疫情的几内亚紧急展开临床试验后，2016年向欧洲药品管理局提交了加速审批申请，而此时西非疫情已经结束。这款世界首例埃博拉疫苗最终直到2019年才获得欧洲监管机构批准。 这一次，人们似乎吸取了过往的教训。在新冠病毒出现之际，科研人员就已开始投入到疫苗的研发中。 “近50年来，人类新发现了多种传染疾病和相关病原体微生物，积累了丰富的疫苗开发经验。我们认为SARS、MERS（中东呼吸综合征）、埃博拉病毒疫苗的研发进程能为新冠肺炎疫苗研发节奏判断提供参考。”牛津大学博士、全球卫生研究学者赵英希对澎湃新闻说。 这一次，人们最不希望看到的，或许就是在疫情结束之后，疫苗才姗姗来迟。 如果把病毒比作想要攻占人体的侵略者，那么疫苗的作用就是训练保卫人体的免疫系统识别出新冠病毒并将其击退。 眼下100多款不同研发技术路线的疫苗里，按照原理和工艺可以大致分为四大类：灭活病毒疫苗、蛋白质疫苗、重组病毒载体疫苗和核酸疫苗。 前三种疫苗此前均已有过研发成功、广泛应用的疫苗先例，而核酸疫苗则从未有过获批疫苗的先例。 各种不同技术路线的疫苗各有所长，亦有所短。 最传统的灭活疫苗方案，使用弱化或灭活的病毒来激发免疫系统反应。研发的工艺路线比较成熟，但是在生产上需要培养大量病毒，对实验室防护等级要求较高。 蛋白质疫苗是用病毒蛋白片段激发人体免疫反应，优点是安全性好，副作用小，稳定性佳，但制备工艺复杂，技术难度较大，且往往免疫原性较弱，需要添加佐剂提高免疫原性。 重组载体疫苗是用经过改造后无害的腺病毒作为载体，装入新冠病毒的S蛋白基因，制成腺病毒载体疫苗。S蛋白是新冠病毒入侵人体细胞的关键“钥匙”，无害的腺病毒戴上S蛋白的“帽子”，让人体产生免疫记忆，刺激人体产生抗体。中国军科院和康希诺生物联合研制的疫苗即属此类。 腺病毒载体疫苗是一种较为成熟的疫苗技术路线。安全、高效、引发的不良反应少。不过这类疫苗最大的问题是如何克服“预存免疫”问题：该疫苗大多以5型腺病毒作载体，但绝大多数人成长过程中曾感染过5型腺病毒，体内可能存在能中和腺病毒载体的抗体，从而可能攻击载体、降低疫苗效果。也就是说，疫苗的安全性高，但有效性可能不足。 核酸疫苗（包括mRNA 疫苗和 DNA 疫苗）是将编码的S蛋白基因，mRNA或者DNA直接注入人体，在人体内合成S蛋白，刺激人体产生抗体。也就是相当于把一份记录详细的病毒档案交给人体的免疫系统。美国莫德纳公司的mRNA疫苗就属于此类。 核酸疫苗的最大优点是研制时不需要合成蛋白质或病毒，流程简单，研发速度快。最大的问题是由于技术太新，以至于目前全球尚无成功获批的先例，多数国家也无法大规模生产，因价格较贵而难以普及到低收入国家。 此外，还有一些科学家在寻求“老疫苗新用”的可能性。其中的代表例子是用于预防结核病和小儿麻痹症的两种已被广泛使用的疫苗，美国和澳大利亚的科学家正在试验它们是否能够对新冠病毒提供预防性的保护。 “不同路线的疫苗具有不同技术和研发特点。各个国家和企业选择不同的路线主要是根据各自的技术优势和过往研发经验决定的。”香港大学病毒学专家、医学教授金冬雁对澎湃新闻说。 据澎湃新闻梳理，在目前已公开的疫苗研制计划中，选择蛋白疫苗、重组病毒载体疫苗和核酸疫苗（特别是 mRNA 疫苗）的团队较多，而采用灭活疫苗路线的则相对较少。 金冬雁认为，这主要是因为灭活疫苗研发相对较慢，而重组疫苗、核酸疫苗研发相对较快；另一方面，灭活疫苗的研发对生产场地安全防护等级有较高要求。但传统疫苗量产相对容易，而新型疫苗的规模化生产则存在考验。 雄安安新县疫情防控办：目前疫情形势平稳 可防可控|2020年06月28日 22:08|原标题：雄安安新县疫情防控办：目前疫情形势平稳 可防可控 中新网6月28日电 据“雄安发布”微信公众号消息，6月27日晚，微信公号“安新党建”发布了《安新县应对新冠肺炎疫情工作领导小组公告》，公告提出在全县范围内采取更严格的疫情防控措施。当前安新县疫情防控形势如何？如何做好群众生活保障？安新县应对新冠肺炎疫情工作领导小组办公室负责同志在回答记者提问时表示，目前安新县疫情形势平稳，可防可控。 该负责同志表示，这次疫情主要与北京新发地输入病例有关，安新县与北京临近，有在北京做水产生意的传统，目前全县仅在北京新发地经营水产生意的人员就达2100余人。 “疫情发生后，我们第一时间快速处置，迅速开展全面大流调、大排查，截至6月28日，我县已连续三天没有出现新增确诊病例，有8例患者陆续治愈出院。我县已对所有确诊病例、无症状感染者、咽拭子阳性患者全部进行了全面流行病学调查，确认了密切接触者和密切接触者的密切接触者，全部进行了隔离医学观察且全部进行了核酸检测，目前检测结果均为阴性。我县的疫情防控工作取得了阶段性成效，呈现出日趋向好的状态，专家给出‘安新疫情目前可控’的判断。”该负责同志表示。 这次制定出台《安新县应对新冠肺炎疫情工作领导小组公告》的背景和初衷是什么？对此，该负责同志指出，疫情发生后，安新县开展了对确诊病例和密接等人员的排查、隔离、检测、流调、救治、消杀等一系列工作，在严格的常态化管控措施基础上，强化了对重点村、重点区域、重点人群的防控措施，实施了封路、封村、封户，对所有小区和农村也实行了封闭管理，最大可能减少群众出行和人员流动，切断疫情传播途径。“为了防止疫情防控工作中出现侥幸心理、麻痹思想、松劲状态，确保全县疫情防控形势持续向好，依照《中华人民共和国传染病防治法》及相关要求，我们出台了此《公告》。” “当前是安新疫情防控最要劲的阶段，决不能因放松警惕而功亏一篑。《公告》就是要进一步强化人民群众的防范意识，全面堵塞防疫漏洞，使广大人民群众更广泛、更积极主动地参与到疫情防控工作中来，形成更有力的联防联控机制，采取一切可行措施，坚决切断疫情传播途径，坚决打赢疫情防控战争。《公告》的发布表明我们始终以最严防控措施应对疫情挑战，当前，党和政府与广大群众一道，慎终如始织密疫情防控网络的态势不断巩固，全县防控形势可控向好的局面没有改变。”该负责同志指出。 疫情防控下，安新县如何做好群众基本生活保障工作？对此，该负责同志介绍称，在全力抓好疫情防控的同时，安新县多措并举，认真做好特殊时期各项保障工作。生活保障方面，在农村地区，各乡镇积极开展防控和消杀工作，县卫生健康部门为重点村村民发送了药品预防物资。加强农村群众的米面粮油等生活必需物资的供给保障，特别是对农村贫困户、五保户、病残户和鳏寡孤独等特殊群体，乡镇、村安排专人负责专门配送到户，保证农村居民正常的生产生活需求。 在城区范围，在严格落实疫情防控各项要求的前提下，保留了城区几所规模较大的超市、商场正常营业，备足商品，保证供给，使城区居民生活物资有保障，居家生活无顾虑，保持社会秩序井然有序。出行保障方面，除保障性车辆、应急车辆等允许出行外，外地车辆一律不允许进入我县。为方便群众正常出行，我县在严格审批的前提下，按照“非必须不外出”的原则及时为全县居民出行车辆办理通行证，保障好群众出行，最大限度确保群众正常工作生活不受影响。高考保障方面，目前高考临近，为实现全县高三考生安全高考、顺利高考，我县在专家指导下制定专门工作方案和应急预案，对高考考生学习食宿、场所消杀、考点设置、健康监测、物资储备、应急处置等工作进行全面部署，并设置专门隔离教室，确保出现发热等特殊情况的考生在医生、老师的监控下顺利完成考试。 “此次公告将更加充分地调动广大群众参与抗疫的主动性，一定期限的稳定期后将视情况调整防控措施。”该负责同志称。 责任编辑：祝加贝 
戴口罩很重要：北京通报一例长期不戴口罩确诊病例|2020年06月28日 21:35|原标题：戴口罩很重要：北京通报一例长期不戴口罩确诊病例 新华社北京6月28日电（记者倪元锦）北京市疾病预防控制中心副主任庞星火28日在北京市新冠肺炎疫情防控工作新闻发布会上通报了一例长期不戴口罩的确诊病例。 据介绍，该病例住址为大兴区西红门（地区）寿保庄村，瓦工，6月8日返京，在租住地与其他租户共用卫生间，平时在楼内与其他租户见面时不佩戴口罩。6月10日至24日，每日往返于施工工地与租住地，工作期间也不佩戴口罩，6月20日社区组织核酸检测采集咽拭子，结果为阴性。6月21日出现乏力、咳痰等症状，未服药，未就医。6月26日核酸检测为阳性，由120救护车转运至大兴区人民医院就诊，当日确诊。 “首都疫情防控仍处于关键阶段，丝毫不能掉以轻心。”庞星火强调，各行各业、街道社区单位都要高标准落实防控措施，科学规范佩戴口罩，勤洗手，常通风，不扎堆，不聚会，保持安全的社交距离。 此外，庞星火表示，新发地市场的从业人员和近期接触人员以及病例的密切接触者，都应严格遵守防疫要求，做好集中或居家隔离观察以及健康监测，保护好自己，也要为他人健康着想。 责任编辑：郑亚鹏 
观复博物馆(北京馆)自6月28日起暂时闭馆|2020年06月28日 20:38|原标题：观复博物馆（北京馆）自6月28日起暂时闭馆 6月28日，观复博物馆在其微信公号发布闭馆公告。北青报记者从公告上看到，根据北京疫情防控要求，为保证观众能有更加安全和良好的参观环境，观复博物馆（北京馆）决定自2020年6月28日起暂时闭馆，馆内进行设施升级改造。开馆日期将另行通知。 据介绍，此次改造仅限北京馆。上海观复博物馆正常开放。已购买6月28日之后网络门票的观众可在线退票。 责任编辑：祝加贝 
齐齐哈尔最新疫情通报！急寻有以下活动轨迹人员|2020年06月28日 20:12|原标题：齐齐哈尔最新疫情通报！急寻有以下活动轨迹人员 记者从齐齐哈尔市卫健委获悉，截至6月27日0-24时，全市无新增确诊病例、疑似病例及无症状感染者。 北京市6月14日至27日已累计报告新冠肺炎确诊病例311例，疑似病例29例，无症状感染者41例。请有过以下轨迹人员主动向所在社区（乡、镇）、所在单位及当地疾控部门报告，如有症状，应及时就近到设有发热门诊的机构进行诊疗。对隐瞒不报的，公安机关将依法追究法律责任。 丰台区：丰台区新发地经营者乐园、新发地天骄俊园9号院、花乡天伦锦城、丰台花乡街道天骄俊园、丰台区花乡新发地冰鲜海鲜市场9号、花乡乡宜兰园、丰台区花乡首经贸育菲园东里1号院、丰台区太平桥街道万泉寺南里、丰台区银地家园、丰台区青塔秀园、丰台区花乡陈留村、丰台区潘家庙400号、丰台区宜兰园一区、丰台区新发地天骄骏园8号、丰台区西罗园街道马家堡东路、丰台区西罗园街道角门北路、丰台区南苑乡、丰台区新村街道、花乡（地区）乡新发地潘家庙平房、南苑街道警备东路6号、新村街道大溪地一区、右安门街道翠林小区2里、长辛店街道珠光逸景2号院、丰台区花乡天焦军园、丰台区花乡新发地经营者乐园、丰台区花乡（地区）郭公庄新方向家园、丰台区花乡潘家庙、丰台区卢沟桥乡大屯村、丰台区新村街道新村二里。 大兴区：大兴区高米店街道西斯莱公馆、大兴区西红门镇瑞海家园、大兴区庞各庄镇、大兴区黄村镇、大兴区魏善庄镇、大兴区高米店街道、大兴区西红门镇、大兴区清源街道、安定镇佟家务村东5条、高米店街道郁花园一里、黄村（地区）镇海鑫北路17号院、黄村（地区）镇刘二村团结路24号、青云店镇解州营村、西红门（地区）镇瑞海五区、西红门（地区）镇兴海日苑、大兴区黄村镇芦城西大街。 西城区：西城区永宁胡同、西城区月坛街道西便门东大街、西城区展览路街道、西城区展览路街道南路园。 海淀区：海淀区永定路街道、海淀区青龙桥街道、永定路街道永定路70号院、海淀区田村路街道玉海源一里、四季青（地区）西山新村、田村路街道半壁店甲1号院。 房山区：北京市房山区长阳镇、房山区长阳镇九州溪雅苑。 朝阳区：北京市朝阳区吕家营。 门头沟区：门头沟区永定镇。 东城区：东城区永定门外街道。 涿州市南关大街宝庆寺街。 通州区：北苑街道天时名苑小区。 北京新发地市场、新发地冰鲜海鲜市场、朝阳区远洋光华国际、中国肉类食品综合研究中心、李记川菜、某医药药材公司、北京民航机场巴士公司、中建资产管理有限公司、玉泉东市场海鲜市场、玉泉东市场、中国太平洋保险股份有限公司、北京红花大海碗餐饮管理有限责任公司、新发地北水嘉伦面面俱到餐馆、北京老杨特色烧烤店、丰台区南庭新苑北区“王师傅系列牛肉面”李帅店、天客隆超市永定路店、新发地北水嘉伦市场地下一层A厅西南老郑州烩面馆、北京同牛配送公司、北京天恩盛世食品有限公司。 北京天坛医院、北京友谊医院、博爱医院、北京华坛中西医结合医院、宣武医院、大兴区人民医院、人民医院、海淀医院、武警总医院、石景山医院、御景阁诊所、佑安医院、保定市人民医院、易县医院、北京市丰台中西医结合医院、北京地坛医院、航天中心医院、丰台医院。 丰台区：京荟广场、新中客餐厅（大成路店）、丰台区京开五金大楼二层、丰台区丰台街道、花乡（地区）乡新发地经营者乐园、时代风帆大厦按摩院、物美超市右安门店、右安门桥东的果多美、丰台区万泉万润风景小区、万泉胜景园小区废品收购站、纪家庙原乐购超市、花乡（地区）巴庄子村、花乡（地区）巴庄子村附近香香早点、花乡（地区）巴庄子村附近老汤拉面；新发地农产品批发市场，新发地菜篮子超市。 西城区：槐柏树街北里5号楼底商便民菜店、育民小学、中国联通（长椿街营业厅）、首航超市（真武庙店）、西便门西里11号楼北一栋芳邻便民菜站、广外天陶红莲菜市场、百万庄南街、西城区金融大厦地下一层物业餐厅。 朝阳区：松榆东里市场、朝阳区王四营粮油批发市场、朝阳区工人体育馆南门下三条市场。 东城区：灯市口大街33号地下一层、中通快递（西客站分部）。 怀柔区：万星农副产品市场。 平谷区：东寺渠农副产品市场。 昌平区：某验车地。 顺义区：石门市场。 西山森林公园。 安新县赵北口西街村。 涿州桃园路早市。 涿州市南关大街金马超市、冠云路万顺超市。 海淀区：家乐福超市白石桥店芳林佳美百货生活服务中心、永定路70号院、永定路二街坊的库房、航天科技大厦物业餐厅、锦绣大地；海淀区玉泉东市场。 齐市地区疾控中心24小时值班电话 来源：齐齐哈尔市卫健委 鹤城发布综合 责任编辑：祝加贝 
黑龙江1人与北京确诊病例密切接触 情况说明来了|2020年06月28日 19:49|原标题：黑龙江1人与北京确诊病例密切接触 情况说明来了 来源： 齐齐哈尔新闻网 记者从齐齐哈尔市卫生健康委员会获悉，6月27日，北京市新冠病毒肺炎疫情防控第134场例行新闻发布会上，通报了6月25日确诊的1例昌平区病例6月10日曾陪黑龙江省来京亲属在北京大学人民医院就诊。 经流调，该亲属为我市龙江县居民，与确诊患者为儿女亲家关系。 该人于6月9日到北京女儿家探亲。 6月10日在女儿和亲家陪同下到北京大学人民医院看心血管病，在京期间始终与确诊病例共同居住生活。 6月23日携带核酸检测阴性证明离京，于6月24日返回我市龙江县。 6月24日至6月26日期间该人居家未外出。 6月27日，我市收到省协查函后，立即对该人按照密切接触者进行集中隔离管理，间隔24小时以上两次核酸检测结果均为阴性，该人目前无任何新冠肺炎相关症状，仍在集中隔离医学观察中，对该人在齐的密切接触人员也提前进行了管理。 责任编辑：郑亚鹏 
复工返岗自我防疫应该注意什么？|2020年06月28日 19:23|原标题：复工返岗自我防疫应该注意什么？    责任编辑：郑亚鹏 
央行：新冠肺炎疫情对中国经济的冲击总体可控|2020年06月28日 19:05|原标题：央行：新冠肺炎疫情对中国经济的冲击总体可控 中新网6月28日电 据央行网站消息，中国人民银行货币政策委员会2020年第二季度（总第89次）例会于6月24日在北京召开。会议分析了国内外经济金融形势。会议认为，新冠肺炎疫情对我国经济的冲击总体可控，我国经济增长保持韧性，长期向好的基本面没有改变。 会议认为，稳健的货币政策体现了前瞻性、针对性和逆周期调节的要求，大力支持疫情防控、复工复产和实体经济发展，金融风险有效防控，金融服务实体经济的质量和效率逐步提升。贷款市场报价利率改革效果显现，货币传导效率增强，贷款利率明显下降，人民币汇率总体稳定，双向浮动弹性提升，应对外部冲击的能力增强。当前国内统筹疫情防控和复工复产取得重大阶段性成果，各类经济指标出现边际改善，但全球疫情和世界经济形势依然严峻复杂，国内防范疫情反弹任务仍然艰巨繁重，给我国经济发展带来风险和挑战。 会议指出，要跟踪世界经济金融形势变化，加强对国际经济形势的研判分析，加强国际宏观经济政策协调，集中精力办好自己的事。创新和完善宏观调控，稳健的货币政策要更加灵活适度，把支持实体经济恢复与可持续发展放到更加突出的位置。坚持总量政策适度，促进金融与实体经济良性循环，全力支持做好“六稳”“六保”工作。 会议提出，综合运用并创新多种货币政策工具，保持流动性合理充裕。有效发挥结构性货币政策工具的精准滴灌作用，提高政策的“直达性”，继续用好1万亿元普惠性再贷款再贴现额度，落实好新创设的直达实体工具，支持符合条件的地方法人银行对普惠小微企业贷款实施延期还本付息和发放信用贷款。深化金融供给侧结构性改革，引导大银行服务重心下沉，推动中小银行聚焦主责主业，健全具有高度适应性、竞争力、普惠性的现代金融体系。 会议要求，着力打通货币传导的多种堵点，继续释放改革促进降低贷款利率的潜力，引导金融机构加大对实体经济特别是小微企业、民营企业的支持力度，提高小微企业贷款、信用贷款、制造业贷款比重，努力做到金融对民营企业的支持与民营企业对经济社会发展的贡献相适应，推动供给体系、需求体系和金融体系形成相互支持的三角框架，促进形成以国内循环为主、国际国内互促的双循环发展新格局。进一步扩大金融高水平双向开放，提高开放条件下经济金融管理能力和防控风险能力。 会议强调，紧扣全面建成小康社会目标任务，统筹推进疫情防控和经济社会发展，在常态化疫情防控条件下，坚持稳中求进工作总基调。加大宏观政策调节力度，着力稳企业保就业，扎实做好“六稳”工作，全面落实“六保”任务。健全财政、货币、就业等政策协同和传导落实机制，有效对冲疫情对经济增长的影响。深化利率市场化改革，有序推进存量浮动利率贷款定价基准转换，保持人民币汇率在合理均衡水平上的基本稳定。打好防范化解金融风险攻坚战，把握保增长与防风险的有效平衡，注重在改革发展中化解风险，守住不发生系统性金融风险的底线。 责任编辑：祝加贝 
清零！内蒙古最后1例境外输入新冠肺炎患者出院|2020年06月28日 18:34|原标题：清零！内蒙古最后1例境外输入新冠肺炎患者出院 6月28日下午3点，在内蒙古自治区人民医院的内蒙古远程医疗中心，内蒙古自治区新冠肺炎医疗救治组组长、内蒙古自治区人民医院院长孙德俊带领专家组与内蒙古第四医院专家对患者进行远程会诊后，专家组宣布，该患者符合《新冠肺炎病毒肺炎诊疗方案》第七版的出院标准，可以出院，按照出院不离院原则，该患者继续在内蒙古第四医院进行隔离观察。标志着内蒙古自治区境外输入新冠肺炎确诊病例暂时清零。 据了解，今天（28日）出院的这名患者为49岁女性，该患者于当地时间6月11日由葡萄牙机场起飞，抵达奥地利维也纳机场，于当地时间6月12日由维也纳机场起飞，于北京时间6月14日抵达呼和浩特市白塔机场，全程二级防护，经核酸检测阳性确诊后，6月15日凌晨两点多随即被内蒙古第四医院收治入院，共住院14天。 据悉，3月19日，内蒙古本土新冠肺炎确诊病例清零。3月20日作为第一入境点开始接收首都机场分流国际航班。3月23日，内蒙古出现境外输入病例。4月6日，内蒙古满洲里口岸出现境外输入病例。截至目前，内蒙古自治区累计报告境外输入病例161例，其中呼和浩特白塔机场分流国际航班84例，满洲里口岸输入77例。满洲里口岸的输入病例已于5月20日清零。（总台央视记者 刘晓波 呼和牧仁） 责任编辑：祝加贝 
境外输入病例每日仍有新增，为何这三地最多？|2020年06月28日 18:32|原标题：境外输入病例每日仍有新增，为何这三地最多？ （健康时报记者 王艾冰）健康时报记者根据国家卫健委公布的数据发现，进入6月份以来，我国每日均有新增境外输入确诊病例，其中6月份广东、上海、甘肃的境外输入病例数最多。 健康时报记者梳理广东省、上海市和甘肃省境外输入病例发现，境外输入呈现一定的“聚集性”。 据“上海发布”信息，6月4日，上海市新增4例境外输入病例，其中2例为从巴基斯坦出发并于当日抵达上海浦东国际机场的乘客；随后，6月10日，上海市新增6例输入性病例，其中4例为6月2日从巴基斯坦出发的机上乘客；6月11日，上海市新增5例境外输入病例，均为6月2日从巴基斯坦出发的机上乘客；6月17日，上海市新增2例境外输入病例，均为6月2日从巴基斯坦出发的机上乘客。 至此，6月份上海输入性病例有13例均来自6月2日从巴基斯坦出发的机上乘客，占上海市6月份输入性病例近4成比例。 在广东省高达42例输入性病例中，有16例均为6月11日从孟加拉抵达广州的入境人员，在广东省境外输入病例中也占据近4成的比例，且其他时间段从孟加拉输入的病例为14例，在广东省42例境外输入病例中，来自孟加拉一国的病例数高达30例。 而境外输入病例排名第3位的甘肃省也有19例病例均来自6月15日沙特利雅得飞兰州的入境人员，占据甘肃省6月份境外输入确诊病例的近8成。 “飞机是一个人群密集狭小的空间，若机内有一个人感染，其他人若防护不到位，极有可能感染，飞机上做好安全防护至关重要。”浙江大学医学院附属第一医院感染科主任医师喻成波表示。 “境外输入确诊病例的人数和入境的人数一般而言成正相关，这是一个概率的事情，国际交流较频繁的区域，出入境人数就会比较多，境外输入病例相对也会多一点。”喻成波介绍，这一时期，一些必要的国际交流不能完全切断，所以境外输入病例在所难免，只能提醒滞留国外的同胞或国际友人或人士非必要情况入境中国，以免路途中感染的风险。 喻成波强调，“对于境外输入，不怕发现的多，就怕漏掉的多，所以对入境人员告知遵循国家的联防联控机制，尽量做到对入境人员在机场入境时严格检疫，严格隔离。” “上海市目前针对所有的入境航班都采用严格的闭环式管理，航班上的人员不会跟上海市民有任何接触，就会被防疫部门隔离观察。”上海市公共卫生公益热线工作人员告诉健康时报记者。同时，在广东省新冠肺炎疫情通报中，针对广东省境外输入情况，也有明确说明，确诊病例为在入境口岸发现，入境后即被隔离观察人员。 喻成波提醒，“针对境外输入，普通市民无需惊慌，目前我们国家各个口岸对于入境人员均采取隔离14天并进行体温观察及相关检测的政策，对发现感染病例或相应处理，及时隔离，对相关密接人员进行隔离观察，对普通市民不会造成太大影响，只要做好日常常规防护就可以了。” 同时，对于近期乘坐飞机的人员，喻成波也表示，“因为对乘机的其他顾客互不了解，在飞机上，尽量要佩戴防护效果好的口罩，如果乘机时间长，口罩有潮湿的情况要及时更换；吃饭时候尽量和周围的旅客错峰吃饭，人与人之间的距离不低于1.5米，飞机上避免摘下口罩面对面谈话。” 责任编辑：郑亚鹏 
17天311例！北京确诊病例情况汇总，一图看明白|2020年06月28日 18:16|原标题：17天311例！北京确诊病例情况汇总，一图看明白→ 6月11日至6月27日 北京新增311例确诊病例 这些病例具体情况如何？ 北京目前有哪些中高风险地区？ 一图读懂↓↓↓ 责任编辑：祝加贝 
