美媒发现，中国看样子要先“飞”一步！|2020年08月19日 23:58|原标题：美媒发现，中国看样子要先“飞”一步！ 责任编辑：祝加贝 
美商会包机送高管回中国，报名爆满|2020年08月19日 22:58|原标题：美商会包机送高管回中国，报名爆满 [环球网报道]全美疫情仍然严峻，不少美企员工迟迟不能重返中国工作。香港《南华早报》18日援引中国美国商会（American Chamber of Commerce in China）消息人士的话报道称，商会已初步获准安排企业管理人员搭机返回中国。17日以来，已经有近200人报名了从旧金山到北京的包机，远远超过了成行所需的120人。 商会称，只有获得邀请函（PU letter）的会员公司雇员，才能搭乘这班飞机。他们还必须持有有效的再入境签证。据《南华早报》报道，雇员家属也将被允许同行，但所有乘客必须在登机前通过新冠病毒检测，并在抵达目的地后接受隔离。 报道称，与目前的其他商业航班相比，由美国联合航空公司执飞的航班价格预计将“较有竞争力”，经济舱座位起价为4300美元（约合人民币29700元），商务舱起价为10000美元（约合人民币69072元）。中国美国商会估计，目前有5000至1万名美国商界成员滞留海外。 一名要求匿名的中国美国商会消息人士表示，由于中国的要求“相当严格”，部分报名搭乘航班的人最终可能不符合资格。 “返回中国的主要障碍之一是，即使你已经持有有效签证，也需要持有邀请函和另一张再入境签证才行。” 据《南华早报》报道，该商会还说，其上周五已从中方获得初步许可，但他们将航班从8月28日推迟到了9月12日，以确保所有乘客都能获得再入境签证以及进行行前病毒检测。商会还在讨论有关放宽隔离限制的计划，并称“中方仍在制定细节”。 “中方仍需要在最终批准之前决定一些细节问题。如果首次包机能按计划成功抵达，我们将考虑在未来安排更多航班。”消息人士说。 责任编辑：祝加贝 
疫情之后，他们帮湖北感染医护疗伤|2020年08月19日 21:56|原标题：疫情之后，他们帮湖北感染医护疗伤 疫情正在远去，留给一线医护人员的焦虑 抑郁等心理问题却在逐渐显现 关于中国科学院心理研究所教授史占彪故事 中国红十字基金会字节跳动医务工作者人道救助基金系列纪录片之《安心》 责任编辑：刘光博 
一离境就翻车，台湾疫情还捂得住吗？|2020年08月19日 20:53|原标题：一离境就翻车，台湾疫情还捂得住吗？ 民进党当局向来有“牛皮治台”的传统。就在他们吹嘘“连续超过100天未传出本土新冠肺炎病例”，自诩防疫“国际模范生”之际，现实却一再打脸，多名旅客由台出境后随即经筛检为确诊病例。在台岁月静好，离台屡屡破功，这岂不是太过蹊跷？ 今年6月底，在台湾居留4个月后返日的日本女学生被发现确诊感染新冠肺炎。此后多地接连爆出确诊——在台工作2年多的泰籍劳工回国后确诊、台湾人去香港隔离时落跑后被确诊、比利时男工程师在离台前确诊、马来西亚近来宣布有确诊病患来自台湾、越南新增台湾入境病例、赴台探亲人士返回上海时又发现确诊…… 就在确诊病例不断涌现时，台湾“中央流行疫情指挥中心”一面继续宣扬防疫无忧，一面限缩密切接触者的检测量，通常每例仅找出百十人来装模作样筛查一番，居然声称“数量上已是广筛”。而这区区近千名密切接触者，检测结果无一例外是阴性。 台湾舆论一片质疑讥讽：台湾防疫的天降神迹多么不可思议！受限于筛检量、采检时效、试剂准确率等因素，台湾要验出确诊简直是奇迹！大部分台湾人天生免疫啦！不用再搞防疫管制，全面开放拼经济！有网友讽刺：会不会最后又说是伪阳性问题，台湾社区安全无虞？有人立马反驳：怎么不思考检验出现伪阴性的问题？！ 疫情发生以来，民进党当局常标榜“超前部署”、阻绝病毒于境外，如今却沦为病毒“出口地”。事实一再说明，病毒早已在台湾本土社区中传播，民进党当局却假装视而不见。即便台湾专家学者喊破嗓子呼吁尽快开展普筛，通过找出在社区传播的病毒降低民众感染风险，民进党当局仍旧一脸冷漠。 “没有筛检就没有确诊。”台湾地区样本筛检总量甚至抵不上许多地区一天的水平。只要“完美防疫”的假象一天不破，民进党当局便能利用疫情炒作政绩蛊惑民心，这是何等的无耻和冷血！ 台湾“中央流行疫情指挥中心”指挥官陈时中近来称，“居家检疫者若感染在14天过后传染力已不大，因此暂不考虑实施入境普筛。”且不论病毒传播规律是否果真如此，台媒和网友已曝光“居家检疫”不少有造假缩水之嫌，给防疫带来很大漏洞。 陈时中更有惊人之论，称“台湾看医生比筛检便宜很多”，所以不用普筛。只是因为医生看诊比检测试剂费用低，就迫使医护人员冒着生命危险，面对随时可能遇到的感染病患。如此既漠视医护人员的生命健康权益，又致使病毒社区传播的风险陡增。这究竟是什么鬼逻辑？！ 近日有来自高风险区美国返台的少年，未出现症状却由彰化县卫生局安排采检，最终确诊新冠肺炎。陈时中却气急败坏地下令政风处调查，引发轩然大波。按理说，地方防患于未然，及时发现漏网之鱼，本是恪尽职守的表现，应当获得嘉奖。谁料却被陈时中怀疑其动机，还要被调查廉政及贪渎不法的机构“关照”，令人不禁要问，这罪从何来？如此反应过激，不正是心虚被看破手脚的表现吗？ 防疫原本应合力编织密网、杜绝病毒蔓延，如今竟有人因及时发现了漏洞而要被追究，居上位者因地方官员不严格执行鸵鸟政策而兴师问罪，问题出现不思解决而是如临大敌、打击报复，岂不是咄咄怪事？那么位高权重者所在意的究竟是什么？ 面子事大，民众事小；选票事大，生命事小。吹惯了牛皮、邀功行赏的民进党当局，岂可容许有人戳破谎言？他们手中有权，只手遮天，要的就是营造“防疫成功”的假象，又何曾半刻将防疫实绩和民众生命安全放在心上？（文/东篱旧友） 责任编辑：张申 
新疆确诊病例治愈出院比例达到六成|2020年08月19日 20:29|原标题：新疆确诊病例治愈出院比例达到六成 中新网乌鲁木齐8月19日电（苟继鹏 赵雅敏）19日下午，新疆召开第三十三场疫情防控新闻发布会，新疆维吾尔自治区党委宣传部副部长、新闻发言人王武龙称，18日0时至24时，新疆维吾尔自治区（含新疆生产建设兵团）报告新增新冠肺炎确诊病例0例，新增无症状感染者0例。 王武龙在通报最新疫情时还称，18日0时至24时，新增治愈出院确诊病例23例，无症状感染者解除医学观察12例。7月15日0时至8月18日24时，新疆（含新疆生产建设兵团）累计治愈出院确诊病例495例，无症状感染者解除医学观察126例，总数达到621例。 截至8月18日24时，新疆（含新疆生产建设兵团）现有确诊病例331例、无症状感染者112例。 “自7月15日本轮疫情报告首例确诊病例以来，昨天首次实现新增确诊病例和无症状感染者全部零报告。”王武龙说，在院的确诊病例和无症状感染者人数持续下降，确诊病例治愈出院比例达到59.9%，新疆疫情防控持续向好态势进一步巩固拓展。 8月19日是第3个中国医师节，王武龙还向支援新疆疫情防控攻坚战的国务院联防联控机制专家组，各省市专家、医务人员和新疆广大医务工作者致以节日的问候和感谢。（完） 责任编辑：张申 
辽宁大连湾街道降为低风险地区后全面解封|2020年08月19日 19:49|原标题：辽宁大连湾街道降为低风险地区后全面解封 8月19日晚6点，大连“7·22”疫情核心区最后的“孤岛”——甘井子区大连湾街道，最后8个社区在封闭管理28天后全面解封。 进出大连湾地区的20个卡口、辖区内88条村级道路管控全部取消，6.5万米封围栅栏被拆除。 大连湾街道全面解封，恢复正常工作、生活秩序。即日起，出租车、私家车可以自由通行，公交车将于近日恢复。 据了解，8月15日24时，大连市甘井子区大连湾街道由高风险地区调整为低风险地区。 （总台央视记者 李承泽） 责任编辑：张申 
我国第八版新冠肺炎诊疗方案发布|2020年08月19日 18:51|原标题：我国第八版新冠肺炎诊疗方案发布 新华社北京8月19日电（记者陈聪）记者19日从国家卫生健康委员会了解到，国家卫健委办公厅、国家中医药管理局办公室印发了《新型冠状病毒肺炎诊疗方案（试行第八版）》。 国家卫生健康委员会医政医管局监察专员郭燕红说，在诊疗方案的修订和完善过程中，我们一方面总结临床经验，一方面不断优化诊疗措施，使诊疗方案能够更科学、更精准、更完善、更全面，更好地为提高新冠肺炎的救治水平提供指南和规范的框架。 具体来讲，在流行病学特点方面，第八版诊疗方案明确“传染源主要是新型冠状病毒感染的患者和无症状感染者，在潜伏期即有传染性，发病后5天内传染性较强”，对传染源和传播途径的表述进一步完善，同时增加了“接触病毒污染的物品也可造成感染”的表述。 在治疗方面，第八版诊疗方案提出“不推荐单独使用洛匹那韦/利托那韦和利巴韦林，不推荐使用羟氯喹或联合使用阿奇霉素”，同时在重型、危重型病例的治疗方面增加了“气道管理”“抗凝治疗”方面的具体内容。 责任编辑：张申 
5天内3起出境后新冠阳性，专家强调做好防范措施|2020年08月19日 18:27|原标题：5天内3起出境后新冠阳性，专家强调做好防范措施 （健康时报 记者 孔天骄）8月19日，健康时报记者根据各地卫健委疫情发布情况不完全统计发现，近日来，5日内就报告了3起出境后在境外新冠肺炎检测呈阳性的案例，包括吉林延边、天津、南京等地。 浙江大学医学院附属第一医院感染科主任医师喻成波接受健康时报记者采访时提到：“随着国内疫情的控制，不少人也开始外出，但境外疫情仍然严峻，即使出境，也应当做好防范措施。” 一婴儿在日本新冠检测呈阳性，延边隔离管控66名密接者。“延边发布”微信公号8月18日消息，吉林省延边州新冠肺炎疫情防控工作领导小组办公室8月17日接到通报，8月16日一名延吉市居民（女，10个月）出境在日本进行新冠肺炎抗原定量检测呈阳性（该检测方法属于快检，30分钟出结果）。目前，正在日本接受隔离观察，无发热等症状。 该婴儿（与母亲一起）于2019年12月从日本返回延吉市，期间无旅行史及新冠肺炎病例接触史。8月14日因需要返回日本，在延吉市做核酸检测，母亲及婴儿核酸检测结果呈阴性。8月15日乘坐高铁从延吉到哈尔滨，8月16日由哈尔滨飞往日本东京，在日本东京机场进行新冠肺炎抗原定量检测呈阳性。目前已经隔离管控66名密切接触者和次密切接触者，核酸检测结果均为阴性。 8月14日，南京市卫健委通报，8月11日1名南京市民在日本新冠病毒检测阳性。这是名20岁的女性，南京市玄武区人。8月2日至8月6日在福建省泉州市旅行。因出境需要，8月9日前往南京市第二医院接受核酸检测，结果为阴性；8月10日自南京飞往大连，8月11日由大连飞往日本东京。入境日本后，当地卫生部门对其进行新冠病毒检测，结果为阳性，已进行隔离，目前无不适症状。 同日，天津卫健委也通报称，天津市滨海新区原空港道尼尔航空科技（天津）有限公司1名员工（菲律宾籍）于12日在菲律宾新冠病毒核酸检测结果为阳性。 这些案例有的曾在出境前做过核酸检测但呈阴性，有的自述14天无症状。喻成波接受健康时报记者采访提到：“随着国内疫情的控制，不少人也开始外出，但境外疫情仍然严峻，即使出境，也应当做好措施。” “从可得到的疫情数据来看，目前国外疫情形势还较为严峻，患者在飞往国外途中及飞机在目的地降落后，在机场逗留期间感染可能性较大”，浙大一院感染科主任盛吉芳教授曾告诉健康时报记者。 8月17日，复旦大学附属华山医院感染科主任张文宏在座谈会上指出，目前，在中国旅游是安全的，但这不代表不需要采取防疫措施。他表示，从防疫的角度，旅游住宿要多带点器具、用品，包括个人卫生用品、睡衣睡裤、拖鞋，以及酒精等日常消毒用品。“最好不要睡大通铺，两人一间还是能够接受的。” 张文宏认为，下一阶段中国不会出现疫情蔓延，不会出现疫情大暴发风险。全球在复工复产以后，会出现疫情反弹，中国会面临输入性风险。在未来的半年里，无论疫苗是否出来，全球蔓延之势会继续。我们的策略不会改变，目前的医疗卫生系统还将继续保持极端的警戒水平，社区保持高度的工作状态，隔离点、海关、防疫都是一样，“区别在于大家开始过上正常日子，戴上口罩可以去逛街，可以吃东西，可以出去玩。” 喻成波提醒，“飞机是一个群密集狭小的空间，飞机上做好安全防护也至关重要。” 同时，对于近期乘坐飞机的人员，喻成波也表示，“因为对乘机的其他顾客互不了解，在飞机上，尽量要佩戴防护效果好的口罩，如果乘机时间长，口罩有潮湿的情况要及时更换；吃饭时候尽量和周围的旅客错峰吃饭，人与人之间的距离不低于1.5米，飞机上避免摘下口罩面对面谈话。” 责任编辑：张申 
发现多例确诊病例，香港禁止印度航空航班来港两周|2020年08月19日 17:59|原标题：发现多例确诊病例，香港禁止印度航空航班来港两周 据香港无线新闻19日报道，鉴于近日印度航空多名乘客来港后确诊新冠肺炎，香港特区政府引用《预防及控制疾病条例》，禁止印度航空航班来港两星期，直至本月31日。 据香港东网报道，香港特区政府卫生署表示，8月14日印度航空飞抵香港的一架航班中，有11名乘客确诊新冠肺炎，涉事的航班编号是AI314，由新德里出发。香港特区政府卫生署于是引用《预防及控制疾病（规管跨境交通工具及到港者）规例》（第599H章），要求印度航空营运的客机停飞香港两周，禁止其在本月18日至31日期间着陆香港。 责任编辑：杨杰 
韩国疫情反弹，驻韩使馆提醒在韩中国公民加强防护|2020年08月19日 17:57|原标题：韩国疫情反弹，驻韩使馆提醒在韩中国公民加强防护 近日来，韩国内疫情出现反弹，连续发生多起聚集性感染事件。据韩国中央防疫对策本部消息，8月14日起韩国单日新增病例数连续超过100例，6日内新增确诊人数1288人。首尔、京畿道等首都圈地区自19日起全面启动保持社交距离二级响应，原则上禁止室内50人、室外100人以上的聚集性活动，暂停开放夜店、KTV、自助餐、网吧等场所及室内公共场所运营。 中国驻韩国大使馆特此提醒广大在韩中国公民： 01 THE FIRST 严格遵守韩国当地有关防控措施，务必保持社交距离，加强防护，切勿掉以轻心、放松警惕。 02 THE SECOND 不扎堆、不聚集，减少不必要外出，切勿前往人员集中场所。暂不要参加集体性社交、宗教、娱乐等活动。 03 THE THIRD 随时关注自身健康状况。如出现发烧、干咳等疑似症状，及时拨打韩国疾病管理本部电话1339咨询诊疗。 韩国疾病管理本部咨询电话：1339 茶山呼叫中心语言翻译服务电话：1588-5644或02-120转9 首尔外国人综合支援中心电话：02-2075-4138 驻韩国使馆领事保护与协助电话：02-755-0572、02-755-0535、02-755-0536 驻釜山总领馆领事保护与协助电话：010-8519-8748 驻光州总领馆领事保护与协助电话：062-361-8880 驻济州总领馆领事保护与协助电话：064-722-8802 外交部全球领事保护与服务应急呼叫中心：+86-10-12308 来源：中国驻韩国大使馆 责任编辑：杨杰 
中国政府向南苏丹、几内亚派遣抗疫医疗专家组|2020年08月19日 17:47|原标题：中国政府向南苏丹、几内亚派遣抗疫医疗专家组 外交部发言人赵立坚宣布： 为帮助南苏丹、几内亚应对新冠肺炎疫情，中国政府决定向两国派遣抗疫医疗专家组。专家组由国家卫健委组建，安徽省卫健委选派，已于8月19日凌晨启程。 责任编辑：张申 
