天津进入战时状态！市委书记、市长连夜赶赴封控现场|2020年11月08日 22:51|原标题：天津进入战时状态！市委书记、市长连夜赶赴封控现场 来源：北京青年报 编辑|刘艺龙 责任编辑：杨杰 
11月8日8时至18时，天津无新增确诊病例|2020年11月08日 19:49|原标题：11月8日8时至18时，天津无新增确诊病例 11月8日8时至18时，天津市无新增报告本地新冠肺炎确诊病例。累计报告本地新冠肺炎确诊病例138例，其中男性75例，女性63例；在院1例（为普通型），治愈出院134例，病亡3例。 11月8日8时至18时，天津市无新增境外输入新冠肺炎确诊病例，累计报告境外输入确诊病例138例（中国籍117例、美国籍3例、菲律宾籍8例、法国籍2例、乌兹别克斯坦籍1例、俄罗斯籍1例、乌克兰籍3例、哈萨克斯坦籍1例、委内瑞拉籍2例），治愈出院129例，在院9例（其中轻型2例，普通型7例）。 天津市无新增无症状感染者，累计87例（境外输入86例），其中，解除医学观察67例、尚在医学观察10例、转为确诊病例10例。 截至目前，全市无现存疑似病例，累计排查密切接触者8562人，尚有731人正在接受医学观察。 来源 健康天津微信公众号 责任编辑：杨杰 
这些大家关心的问题 天津疫情防控发布会上解答了|2020年11月08日 17:48|原标题：这些大家关心的问题，发布会上解答了 责任编辑：赖柳华 SN244 
一图读懂：冷链食品生产经营新冠病毒防控技术指南|2020年11月08日 17:40|[一图读懂]冷链食品生产经营新冠病毒防控技术指南 来源：微博@天津健康 责任编辑：赖柳华 SN244 
天津全力以赴做好口岸进口冷链食品监管工作|2020年11月08日 17:19|原标题：天津全力以赴做好口岸进口冷链食品监管工作 责任编辑：赖柳华 SN244 
两批外包装检测阳性进口冷冻食品 未流入天津市场|2020年11月08日 17:19|原标题：两批外包装检测阳性进口冷冻食品，未流入天津市场 责任编辑：赖柳华 SN244 
天津：做好进口冷链食品的核酸检测|2020年11月08日 17:11|原标题：天津：做好进口冷链食品的核酸检测 今天下午，天津召开疫情防控新闻发布会。针对如何加强对进口冷链食品的监管？相关负责人称：1、加强冷链食品的溯源和日常监管。对全市冷链食品开展大普查，严格进行进货溯源、查验。 2、进一步强化风险排查。3、加强冷链食品从业人员的教育和防护。做好进口冷链食品的核酸检测。 责任编辑：赖柳华 SN244 
天津：冷链食品行业要开展人物共防|2020年11月08日 17:08|原标题：天津：冷链食品行业要开展人物共防 11月8日，天津召开疫情防控新闻发布会。会中，天津有关方面负责人称，目前多个国家单日确诊数量较大。新冠疫情的隐匿性和诸多风险点，增加了疫情的风险。 为此，天津市要开展人物共防工作：一、开展健康监测，测体温，有异常及时报告；二、规范穿戴防护用品。尤其装卸工人，必须严格做好防护；三、加强个人卫生。 责任编辑：赖柳华 SN244 
天津本地病例轨迹公布 相关人员核酸检测目前无阳性|2020年11月08日 17:05|原标题：天津本地病例轨迹公布，相关人员核酸检测目前无阳性 责任编辑：赖柳华 SN244 
天津：涉疫情的货物已流向3个地区，已通知相关地区|2020年11月08日 16:57|原标题：天津：涉疫情的货物已流向3个地区，已通知相关地区 责任编辑：杨杰 
天津：确诊冷库工人与8名同事同住|2020年11月08日 16:54|原标题：天津：确诊冷库工人与8名同事同住 11月8日，天津召开疫情防控新闻发布会。会上通报，天津1例确诊患者与8名同事同住一宿舍，8人核酸检测均为阴性，目前均在隔离观察。 责任编辑：杨杰 
天津：新增本地确诊病例1例 迅速进入战时状态|2020年11月08日 16:46|原标题：天津：新增本地确诊病例1例，迅速进入战时状态 11月8日，天津召开疫情防控新闻发布会。会上通报，11月7日18时至8日8时，天津新增本地确诊病例1例，系天津海联冷冻食品有限公司装卸工人，为普通型病例，未有疑似病例接触史。天津市迅速进入战时状态，配合卫生健康委等相关部门落实早发现、早报告、早隔离、早治疗和集中救治措施。 责任编辑：赖柳华 SN244 
