面对中国通报 新西兰总理指向阿根廷|2020年11月16日 23:55|原标题：面对中国通报，新西兰总理指向阿根廷 责任编辑：张迪 
张伯礼院士重要提醒：拿到高风险地区快递要先消杀|2020年11月16日 23:09|原标题：张伯礼院士重要提醒：拿到高风险地区快递要先消杀 近日，全国多地在冷链环境中检出新冠病毒阳性，同时明确发现“物传人”的情况。中国工程院院士、天津中医药大学校长张伯礼表示，国外疫情日益严重，无症状感染者增加，加之进入冬季，天气寒冷，新冠病毒在污染物体表面存活时间延长。因此，目前严防境外输入，防人亦需防物。 责任编辑：杨杰 
天津市做出疫情防控部署 大型室内活动非必要不组织|2020年11月16日 22:22|原标题：大型室内活动非必要不组织 天津市做出疫情防控部署 新京报讯（记者刘洋）记者今日（11月16日）从天津市教育委员会官方网站获悉，近日，市教育两委就对疫情防控工作作出部署，要求各级各类学校和幼儿园严格人员管理、严格校门管理、严格健康监测、严格聚集性活动管理、严格日常管理以及科学佩戴口罩，大型室内聚集性活动非必要不组织，切实保障师生安全。 据介绍，为严防疫情反弹，根据要求，教育系统各单位要密切关注各地新冠肺炎疫情发展态势，加强师生员工排查和管理，精准掌握中高风险地区旅居史和天津健康码“红码”“橙码”的师生员工，对中高风险地区和天津健康码“红码”“橙码”的师生员工，要核验其7日内核酸检测阴性证明或包含核酸检测阴性信息的健康通行码“绿码”，方可在校正常学习生活。 部署中提出了“相对封闭式管理”的要求，所有师生和外包服务人员进入学校和幼儿园时，一律核验身份、检测体温，体温正常者方可进入。中小学生在校期间原则上不随意出入，对确需进出的情况，要明确请假流程和管理责任，加强教育提醒和工作防护，从严做好管理。各高校要把好校门关，教职员工和学生入校时严格进行体温检测，查看天津健康码“绿码”，外来人员还要进行登记，保证入校人员身体状况健康。 通报表示，各级各类学校每日要做好学生晨午（晚）检和因病缺课监测。针对在校学生重点监测发热、干咳、乏力、腹泻、呼吸不畅、流涕、咳痰等症状。针对缺课缺勤学生调查了解缺课缺勤原因，若因疾病或不适症状缺课缺勤，详细记录所患疾病或症状信息。 根据校园情况合理设置人员密集度，尽可能实施最小单元群体管理，以校区、专业、楼栋、年级、班级等为单位进行学习、生活、体育等活动。尽量开放教室、自习室、图书馆、体育场等公共空间。从严控制、审核各类聚集性活动，大型室内聚集性活动非必要不组织。 严格执行市防控指挥部常态化疫情防控关于科学佩戴口罩的要求，室内要佩戴口罩，教师授课以及学生参加室外活动和体育锻炼可不戴口罩。幼儿因特殊生理特征，可不戴口罩。同时，教室内上课时，尽量单人单座，学生之间要保持一定距离。 持续做好重点场所通风和消毒工作。进一步加强冷冻食品、农产品的索证索票。 责任编辑：赖柳华 SN244 
涉疫情宾馆停业，四川省省长提4点要求守好防线|2020年11月16日 21:52|原标题：涉疫情宾馆停业，省长提4点要求守好防线 来源：北京青年报 撰文| 高语阳 资料 | 四川省卫健委网站 成都市卫健委网站 责任编辑：赖柳华 SN244 
浙江：全省已完成流感疫苗接种181.7万人|2020年11月16日 20:43|原标题：浙江：全省已完成流感疫苗接种181.7万人 11月16日，浙江省召开疫情防控新闻发布会。浙江省防控工作领导小组办公室常务副主任、省政府副秘书长陈广胜介绍，为进一步增强社会公众防护意识，浙江制定秋冬季新冠肺炎疫情个人防护措施指引，大力倡导“每个人是自己健康第一责任人”理念，积极引导勤洗手、保持室内通风、使用公勺公筷等良好习惯，根据具体场景落实科学佩戴口罩、保持社交距离等规范要求。针对秋冬季呼吸道传染病高发情形，组织开展流感疫苗接种工作。其中，将70周岁以上老年人流感疫苗自愿免费接种纳入省政府民生实事。目前，全省已完成流感疫苗接种181.7万人，着力降低流行性感冒与新冠肺炎叠加传播的风险。 责任编辑：赖柳华 SN244 
武汉卫健委：一河北籍赴印尼务工人员确诊！|2020年11月16日 20:32|原标题：武汉卫健委：一河北籍赴印尼务工人员确诊！ 来源：北京青年报 责任编辑：赖柳华 SN244 
钟南山：新冠肺炎疫情发生的规律还没有摸清|2020年11月16日 20:25|原标题：钟南山：新冠肺炎疫情发生的规律还没有摸清 今天（11月16日），2020官洲国际生物论坛开幕，17位院士以及来自国内外的顶尖科学家围绕“科技创新引领健康未来”的主题，对全球疫情大流行背景下生物技术、生物产业和生物经济发展趋势等议题进行深入对话交流。开幕式上，中国工程院院士钟南山发表了主旨演讲，对当前疫情作出了最新研判。 钟南山发言一开始，就直呼能举行这样的论坛实属不易。 “我有一个感受，这么多人在一起开会，这在国外不可想象。我们能够有这么一个和平的环境，正常举行活动非常不容易。” 他还表示，中国能控制住疫情，首先体现在创新精神和“生命至上”的指导思想上；医疗与科研紧密结合，所以才能在新冠肺炎防治上领先一步。 而在疫苗研发方面，钟南山认为，中国与其它国家处在同一水平，因此一个紧密结合基础研究、临床研究与产业化的平台机制，显得尤为重要。 （总台央视记者 陈旭婷 罗平章 刘帆）  责任编辑：祝加贝 
浙江织里元旦前要封城？官方辟谣|2020年11月16日 20:20|原标题：网传浙江织里元旦前要封城？官方辟谣 据浙江“织里城事”微信公众号16日消息，织里镇疫情防控指挥部辟谣，近期，有群众反映，织里镇范围内存在一些有关新冠疫情的不实言论。在此严正声明，织里镇未发出任何有关因疫情需要而清退外来人员的通知，不存在到元旦前封城的情况。希望大家不信谣、不传谣，一旦发现有造谣、传谣者，公安机关将依法追究其法律责任。 责任编辑：赖柳华 SN244 
钟南山谈当前疫情：新冠病毒溯源尚未完成|2020年11月16日 19:37|原标题：钟南山谈当前疫情：新冠病毒溯源尚未完成 [钟南山说新冠病毒溯源尚未完成]钟南山谈当前疫情：今天这么多人一起开会，这在现在的国外不可想象。目前，新冠还有很多主要问题没有解决，新冠疫情发生的规律还没有摸清，溯源尚未完成，也没有极具针对性且非常有效的药物。国外辉瑞疫苗能阻止90%的感染，中国的疫苗研发也在差不多水平。更多↓（总台央视记者陈旭婷 罗平章 刘帆） 责任编辑：祝加贝 
国民党拟重设驻美办事处？江启臣：疫情结束后再说|2020年11月16日 16:39|原标题：国民党拟重设驻美办事处？江启臣：疫情结束后再说 [文/观察者网 王世纯]台湾民进党当局长期妄图对美建立“正式关系”以“挟洋自重”，台媒日前爆料称，随着拜登宣布胜选，国民党对美外交“外交”政策也即将发生变化。 报道称，国民党高层有意重设国民党驻美办事处，以实现所谓“政党外交”。 针对此事，国民党主席江启臣15日回应称，国民党一直在强化对美当局和美国政党的关系和沟通，确认后会再向大家报告。 不过，岛内舆论分析指出，由于国民党党产被查封，国民党经费拮据会是重设国民党驻美办事处的最大阻碍。 台湾媒体“Now new今日新闻”网站11月15日报道，在美国民主党候选人拜登宣布胜选以后，传言国民党高层有意重启驻美国代表处，启动所谓“政党外交”，和美国官员及民主党共和党重建沟通管道。目前国民党希望找有外交经验的人常驻华盛顿，不排除是当地侨胞或学者。 国民党党主席江启臣迅速做出回应。据台湾“联合新闻网”15日报道，国民党主席江启臣今天前往苗栗县三义乡天帝教总会前理事长郝宝骥追思典礼时回答了有关问题。 江启臣称，加强对美关系是国民党一直都在努力与执行的，但受到疫情影响，许多客观环境限制要等疫情结束后才能解决。 江启臣表示，国民党与美国关系的强化沟通以及不同党派的联系一直进行中。不光是对美关系，其他国家及地区在台湾的“代表”等，也常邀请到国民党中央党部进行意见交流，江启臣说：“实际做比说来的重要”。 在此之前，14日，江启臣与美国在台协会（AIT）处长郦英杰会晤时表示，国民党未来会强化“政党外交”。 国民党和亲民党在2004年至2008年“在野党”期间，曾在美国设立国亲联盟办事处，但国民党2008年重回执政后形同解散，而当国民党2016年再度在野，也未恢复。 2016年沦为在野党之后，国民党一直都有在美国设立办事处，恢复与美国政府、政界人士和智库沟通的想法。江启臣从2018年开始便力主国民党要重新恢复驻美代表处，此次党主席选举中，江启臣也多次提出这项主张。 据台媒“联合新闻网”今年5月报道，今年5月，江启臣接受受访时表示，未来等疫情结束后，他将规划赴美洽寻适当的人选，研议成立国民党驻美办公室强化对美关系经营，目前首要任务是先建立多元的对话管道。 对于国民党重启对美代表处一事，“联合新闻网”在今年5月份的报道中曾表示，经费与人选会是国民党重启驻美代表处上的重大考虑，特别是在经费上，过去“国亲驻美代表处”一年花费要上千万元新台币，对目前被查封党产以后的国民党来说，是不可承受之重。 此前国民党前主席吴敦义时代就因为考量党产被查封之后，经费拮据，没有在2016年变成“在野党”以后重启驻美代表处。 对于台湾当局和台湾地区政党对美进行“政党外交”往来一事，我外交部早有回应。 陕西新增1例境外输入确诊病例 来自布鲁塞尔|2020年11月16日 15:44|原标题：陕西新增1例境外输入确诊病例，来自布鲁塞尔 据陕西卫健委网站消息，11月15日0-24时，无新增报告本地确诊病例、疑似病例、无症状感染者。截至11月15日24时，累计报告本地确诊病例245例，出院242例，死亡3例。 11月15日0-24时，新增报告境外输入确诊病1例。截至11月15日24时，累计报告境外输入确诊病例242例，出院197例，在院45例。累计报告境外输入无症状感染者147例，转为确诊病例9例，解除医学观察121例，尚在医学观察的无症状感染者17例。 今日新增：陕西新增1例境外输入确诊病例为11月15日由比利时布鲁塞尔至北京HU492航班乘客。11月15日HU492航班到达第一入境点西安咸阳国际机场后，航班全部人员落实海关检疫、核酸检测、点对点转运、隔离诊疗、隔离医学观察等闭环管理措施，无陕西省内自行活动轨迹。 当前全省隔离密切接触者525人，均为境外输入。 确诊病例：郭某某，男，34岁，山西籍。核酸检测结果阳性，经市级专家组会诊，诊断为新冠肺炎确诊病例，目前在定点医疗机构隔离治疗。 责任编辑：赖柳华 SN244 
浙江将进一步完善新冠肺炎疫情“人物并防”措施|2020年11月16日 15:13|原标题：浙江将进一步完善新冠肺炎疫情“人物并防”措施 我省全面加强冷链食品、重点场所环境、重点人员新冠病毒监测工作，切实增加日常检测频次。按照国家总体部署，做好进口冷链食品的装卸运输工具、产品外包装等预防性全面消毒工作，实现全流程闭环管控可追溯。着力健全进口冷链食品从业人员、入境口岸货物装卸搬运工作人员防疫措施。 来源：中国蓝新闻客户端 责任编辑：赖柳华 SN244 
