吴尊友：疫苗无法在下个春季到来之前控制住疫情|2020年11月19日 23:00|原标题：吴尊友：疫苗无法在下个春季到来之前控制住疫情 新疆喀什：现有新冠肺炎确诊病例清零|2020年11月19日 22:03|原标题：新疆喀什：现有新冠肺炎确诊病例清零，34例无症状感染者解除医学观察 据@新疆发布 消息，11月19日，经国家和自治区医疗救治专家组联合会诊评估，喀什地区最后4例确诊病例符合国家卫生健康委新型冠状病毒肺炎确诊病例出院标准治愈出院，至此，此次疫情所有确诊病例治愈出院。当日，34例无症状感染者解除医学观察，其中喀什地区33例，克孜勒苏柯尔克孜自治州1例。 自治区新冠肺炎医疗救治专家组组长杨毅宁说，随着最后4例确诊病例治愈出院，我们高效地完成了此次疫情所有确诊病例的医疗救治工作。此次疫情，汲取此前的科学救治经验，在国家专家组的指导下，我们实现了关口前移，同质化、规范化的治疗，有效防止了轻型、普通型向重型和危重型转化，同时注重中西医并重、呼吸管理、功能康复、心理疏导等协同救治，不断优化诊疗方案，加强了患者的全程管理，有效提高了治愈率，在短时间内实现了患者的全面康复。 此次疫情，全区已治愈出院确诊病例78例，无症状感染者解除医学观察350例。 责任编辑：赖柳华 SN244 
天津最新疫情通报：18日18时至19日18时无新增病例|2020年11月19日 20:35|原标题：天津最新疫情通报来了 责任编辑：赖柳华 SN244 
天津新增3家医院具备独立新冠病毒核酸检测能力|2020年11月19日 18:50|原标题：天津新增3家医院具备独立新冠病毒核酸检测能力 据天津卫健委微信公众号19日消息，为持续推进天津市新冠病毒核酸检测有关工作，提高检测能力，天津市新增2家公立医院和1家部队医院具备独立新冠病毒核酸检测能力，可在保证正常检测任务基础上，向社会公众提供新冠病毒核酸检测服务。截至目前，天津市共有46家公立医院、3家部队医院和13家医学检验实验室具备独立开展新冠病毒核酸检测能力。 责任编辑：赖柳华 SN244 
土耳其卫生部：将购买至少1000万剂中国新冠疫苗|2020年11月19日 18:03|原标题：土耳其卫生部：将购买至少1000万剂中国新冠疫苗 海外网11月19日电俄罗斯卫星通讯社19日消息称，土耳其卫生部长科贾当日表示，将与中国科兴生物签署合同，购买其研发的1000万剂新冠疫苗。 据报道，科贾在议会预算讨论中表示：“我们想在12月购买至少1000万剂中国疫苗，会在接下来一两天内签合同。”路透社指出，科贾还提到，“这一数字有可能，也很轻易就能翻一番”，即购入2000万剂中国疫苗。据此前报道，科兴生物生产的新冠疫苗已经在9月于土耳其展开了第三期临床试验。 科贾称，土耳其也在与美国药企辉瑞进行谈判，后者最多能向土耳其提供2500万剂新冠疫苗。他表示，土耳其目前共有16款新冠疫苗正在研发中。（海外网 赵健行） 责任编辑：张申 
香港新增12例新冠肺炎确诊病例 累计确诊5491例|2020年11月19日 16:52|原标题：香港新增12例新冠肺炎确诊病例 累计确诊5491例 责任编辑：张申 
北京发布涉疫情劳动争议仲裁十大案例|2020年11月19日 15:03|原标题：北京发布涉疫情劳动争议仲裁十大案例 11月19日，北京市人社局发布2020年涉新冠肺炎疫情劳动争议仲裁十大典型案例，涉及居家办公、试用期延长、劳动合同续订、带薪年休假、劳动合同解除等疫情防控期间较为常见的劳动争议。对案件进行释法分析和风险提示，有利于方便同类案件的参考和处置。 根据发布的内容，这些案例都与疫情特殊时期相关。比如，某科技公司通知员工刘某居家办公，随后该公司又以“受市场影响业务不饱和”“居家办公无法记录考勤”等由，降低包括刘某在内的居家办公员工月薪为北京市最低工资标准（2200元）。刘某提出支付工资差额的仲裁申请，最终赢得仲裁委裁决支持。本案中，涉事公司在疫情期间安排刘某通过电话、网络等灵活的工作方式在家上班，应当视为其正常出勤上班，在未经协商一致的情况下，公司单方降薪缺乏依据，故应予补发。 再比如，孙某与某教育培训公司签订3年的书面劳动合同，试用期为3个月，受疫情影响，孙某在湖北过春节返京时间推迟，其公司延长了孙某一个月试用期，工资仍按试用期支付，孙某以未足额支付劳动报酬为由离职，并要求补齐工资差额和赔偿金等，最终仲裁委裁决驳回了孙某的仲裁请求。本案中，属于在特殊情形下，应当允许用人单位扣除因疫情影响无法考察劳动者的期间，即适当延长试用期。 为便于同类案件的参考和处置，北京市仲裁机构选取了疫情期间十大典型案例，进行了释法分析和风险提示。更多案例详情可登陆北京市人社局官网了解。 为做好“六稳”工作、落实“六保”任务，北京市推行调解建议书，引导争议双方在疫情期间互谅互让，柔性化解纠纷；在窗口立案基础上，开通仲裁网上预申请系统，方便当事人立案；在北京市搭建“云仲裁庭”，推行“不见面”远程争议处理模式。据北京市人社局统计数据显示，1—10月，北京全市劳动人事争议仲裁机构受理劳动人事争议案件9.4万余件，调解率为55.6%、仲裁终结率达到71.3%。 （总台央视记者 张伟泽 邓煜洲） 责任编辑：张申 
上海有8例新冠确诊病例今日出院 均为境外输入性病例|2020年11月19日 13:27|原标题：上海有8例新冠确诊病例今日出院，均为境外输入性病例 上海市卫生健康委今日（19日）通报：8例新型冠状病毒肺炎病例，经定点医疗机构医护人员精心诊治和护理，专家组评估，认为符合国家卫生健康委最新的新型冠状病毒肺炎确诊病例出院标准，于今日出院。 病例1，中国籍，男，69岁，境外输入性病例，11月6日被确诊为新型冠状病毒肺炎确诊病例，转入市公共卫生临床中心。 病例2，阿富汗籍，男，51岁，境外输入性病例，11月8日被确诊为新型冠状病毒肺炎确诊病例，转入市公共卫生临床中心。 病例3，中国籍，男，47岁，境外输入性病例，11月9日被确诊为新型冠状病毒肺炎确诊病例，转入市公共卫生临床中心。 病例4，中国籍，男，28岁，境外输入性病例，11月9日被确诊为新型冠状病毒肺炎确诊病例，转入市公共卫生临床中心。 病例5，中国籍，女，18岁，境外输入性病例，11月9日被确诊为新型冠状病毒肺炎确诊病例，转入市公共卫生临床中心。 病例6，中国籍，男，42岁，境外输入性病例，11月6日被确诊为新型冠状病毒肺炎确诊病例，转入市公共卫生临床中心。 病例7，中国籍，男，39岁，境外输入性病例，11月8日被确诊为新型冠状病毒肺炎确诊病例，转入市公共卫生临床中心。 病例8，几内亚籍，男，33岁，境外输入性病例，11月9日被确诊为新型冠状病毒肺炎确诊病例，转入市公共卫生临床中心。 为做好出院患者的健康管理，卫生健康部门将对患者开展必要的随访观察。 来源：健康上海12320 责任编辑：武晓东 SN241 
福建18日新增境外输入确诊病例2例|2020年11月19日 11:30|原标题：福建省11月18日新增境外输入确诊病例2例 责任编辑：武晓东 SN241 
张伯礼：明年四五月，全球疫情或现向好拐点|2020年11月19日 11:00|原标题：张伯礼：明年四五月，全球疫情或现向好拐点！ 近日，“人民英雄”国家荣誉称号获得者、中国工程院院士、天津中医药大学校长张伯礼围绕现阶段的疫情防控、中医药在抗疫中发挥的作用等话题接受了新华社记者的专访。 张伯礼认为，国内不会再出现像武汉那样的疫情大暴发，但多点、散发、个案可能还会出现。张伯礼判断，明年四五月，全球疫情整体上或将出现根本向好的拐点。 张伯礼说，造成武汉疫情的病毒跟在欧美流行的病毒不完全一样，病毒发生了一些变异。但用来研发疫苗的核心基因片段并没有大的突变，所以疫苗依然有效。 来源：平安天津 责任编辑：武晓东 SN241 
31省区市新增确诊病例12例 均为境外输入病例|2020年11月19日 10:55|原标题：截至11月18日24时新型冠状病毒肺炎疫情最新情况 11月18日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例12例，均为境外输入病例（四川3例，福建2例，广西2例，内蒙古1例，上海1例，浙江1例，广东1例，重庆1例）；无新增死亡病例；无新增疑似病例。 当日新增治愈出院病例22例，解除医学观察的密切接触者1038人，重症病例较前一日减少2例。 境外输入现有确诊病例305例（其中重症病例1例），无现有疑似病例。累计确诊病例3735例，累计治愈出院病例3430例，无死亡病例。 截至11月18日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例314例（其中重症病例1例），累计治愈出院病例81433例，累计死亡病例4634例，累计报告确诊病例86381例，无现有疑似病例。累计追踪到密切接触者874707人，尚在医学观察的密切接触者13176人。 31个省（自治区、直辖市）和新疆生产建设兵团报告新增无症状感染者10例（境外输入9例）；当日转为确诊病例4例（均为境外输入）；当日解除医学观察44例（境外输入14例）；尚在医学观察无症状感染者419例（境外输入379例）。（11月17日尚在医学观察数核增1例）。 累计收到港澳台地区通报确诊病例6132例。其中，香港特别行政区5479例（出院5224例，死亡108例），澳门特别行政区46例（出院46例），台湾地区607例（出院541例，死亡7例）。 责任编辑：张迪 
我国首个重组亚单位新冠疫苗启动Ⅲ期临床试验|2020年11月19日 10:09|原标题：我国首个重组亚单位新冠疫苗启动Ⅲ期临床试验 合肥高新区消息，今日，安徽智飞龙科马公司的新冠疫苗在湖南湘潭县启动III期临床试验，也是国内首个启动III期临床试验的重组亚单位疫苗。 责任编辑：武晓东 SN241 
四川18日新增3例境外输入确诊病例|2020年11月19日 09:28|原标题：四川18日新增3例境外输入确诊病例 无新增无症状感染者 11月18日0-24时，四川新增新型冠状病毒肺炎确诊病例3例（境外输入，均为11月17日无症状感染者转确诊），无新增治愈出院病例，无新增疑似病例，无新增死亡病例。 截至11月19日0时，全省累计报告新型冠状病毒肺炎确诊病例795例（其中境外输入254例），累计治愈出院743例，死亡3例，目前在院治疗确诊病例49例，649人尚在接受医学观察。 11月18日0-24时，全省无新增无症状感染者。当日转为确诊病例3例，当日解除集中隔离医学观察1例，尚在集中隔离医学观察65例（均为境外输入，11月17日尚在医学观察数核增1例），比前一日减少4例。 （确诊病例具体情况由相关市<州>卫生健康委进行通报） 全省183个县（市、区）全部为低风险区。 责任编辑：武晓东 SN241 
浙江省11月18日新增确诊病例1例，为美国输入|2020年11月19日 09:16|原标题：浙江省11月18日新增确诊病例1例，为美国输入 浙江省卫健委兄爱心，11月18日0-24时，浙江省新增确诊病例1例（美国输入），已排查密切接触者均已实施集中隔离。截至18日24时，累计报告确诊病例1292例（境外输入病例73例）。 责任编辑：武晓东 SN241 
广东18日新增境外输入确诊病例1例、无症状感染者5例|2020年11月19日 08:31|原标题：广东省11月18日新增确诊病例1例、无症状感染者5例，均为境外输入 广东省卫健委消息，11月18日0-24时，广东省新增境外输入确诊病例1例，来自印度尼西亚。新增境外输入无症状感染者5例， 4例来自伊朗，1例来自伊拉克。以上均为广州报告，在入境口岸或隔离点发现，入境后即被隔离观察。新增出院3例。 截至11月18日24时，全省累计报告新冠肺炎确诊病例1973例（境外输入577例）。目前在院32例。 责任编辑：武晓东 SN241 
天津2天新增3例 社区：一栋楼进行全体集中隔离|2020年11月19日 08:17|原标题：天津2天新增3例，社区：一栋楼进行全体集中隔离 健康时报记者根据天津市卫健委、天津市疾控中心数据统计发现，从17日至18日，天津新增了1例确诊病例，2例无症状感染者。 而根据滨海时报消息，11月10日晓镇家园所在的新北街道收到紧急通知，因晓镇家园社区有一位新冠肺炎疫情密切接触者已转运至集中隔离点，对涉事楼栋的208户居民的居住情况进行地毯式摸排，随后组织该楼栋居民有序进行核酸检测。11月11日10时，450名接受核酸检测人员结果均为阴性，解除封闭隔离。 11月17日晚有消息称，该小区某楼栋连夜进行了集中隔离，对此，健康时报记者于11月18日致电晓镇家园所在社区，社区工作人员告诉记者，“我们也不知道具体的情况，只是接到通知，要对16栋的居民进行全体集中隔离，隔离的时间我们也不清楚。” 根据天津市疾控中心最新信息，11月18日中午，天津市本土第3例无症状感染者的同楼门住户、正在集中隔离医学观察的康某某咽拭子样本核酸检测结果为阳性。经转至市定点医院进一步诊断，下午3时确定为无症状感染者。 康某某，女，33岁，居住于天津东疆港区瞰海轩小区，系本土第3例无症状感染者王某某的同楼门住户。11月10 日，在发现王某某核酸检测阳性后，疾控部门随即对包括康某某在内的相关密切接触者展开排查，并采取集中隔离措施。当日，康某某首次核酸检测为阴性。11月17日疾控部门对隔离中的康某某再次进行采样，18日经初检及市疾控中心复核，核酸检测结果均为阳性。转至市定点医院后进一步诊断，经市专家组综合分析确定其为无症状感染者。 此前，据天津市卫健委官方消息，11月17日晚11时，天津市新增1例本土新冠肺炎确诊病例，1例本土无症状感染者。据天津市卫健委官方消息，上述病例均作为此前无症状感染者的密切接触者，于11月10日在滨海新区进行集中隔离医学观察，新冠病毒核酸检测及血清学抗体检测结果为阴性，17日再次进行新冠病毒核酸检测，结果为阳性。 在第153场天津市新型冠状病毒肺炎疫情防控工作新闻发布会上，天津市卫生健康委副主任、市疾控中心主任顾清介绍，自2020年11月18日24时起，将天津东疆港区瞰海轩小区划定为中风险地区，并实施相应管控措施。天津市其他区域风险等级不变。 根据天津市卫健委的信息，目前，王某某和康某某所居住的小区已被封控。康某某工作单位所有人员已全部实施集中隔离医学观察，并开展核酸检测及血清学抗体检测。康某某工作单位所在院落已封控，相关人员正在开展核酸检测及血清学抗体检测。市卫生健康委已派市疾控中心专家赴现场指导处置，相关工作正在有序进行中。（健康时报记者王艾冰） 责任编辑：张迪 
山东青岛18日报告境外输入无症状感染者1例|2020年11月19日 08:10|原标题：11月18日，青岛市报告境外输入无症状感染者1例 来源：闪电新闻 2020年11月18日0时至24时： 山东无新增本地疑似病例、确诊病例。累计报告确诊病例777例，死亡7例，治愈出院770例。 山东无新增境外输入疑似病例、确诊病例。累计报告境外输入确诊病例72例，累计治愈出院71例。 青岛市报告境外输入无症状感染者1例。全省正在隔离观察治疗的无症状感染者3例（境外输入3例）。 今年以来全省共追踪到密切接触者26949人，目前尚有236人正在接受医学隔离观察。 详见下表（单位：例）： 备注： 山东省本地病例按确诊时医院所在县区统计，境外输入病例单独统计。 新增确诊病例和无症状感染者具体情况由相关市卫生健康委进行通报。 责任编辑：武晓东 SN241 
广西18日新增境外输入确诊病例2例、无症状感染者2例|2020年11月19日 08:06|原标题：广西11月18日新增确诊病例2例、无症状感染者2例，均为境外输入 据广西壮族自治区卫健委消息，11月18日0至24时，新增2例境外输入确诊病例和2例境外输入无症状感染者（均为中国籍，为入境国际航班检疫中发现），该4人入境后全程严格规范管理，追踪到54名密切接触者送集中隔离。全区现有境外输入确诊病例2例，现无境外输入疑似病例。本日解除隔离境外输入无症状感染者1例，现有境外输入无症状感染者5例。现有147名密切接触者正在集中隔离医学观察。 全区累计报告确诊病例262例，累计治愈出院258例，现有境外输入确诊病例2例，死亡2例。 责任编辑：武晓东 SN241 
上海18日新增1例境外输入确诊病例|2020年11月19日 07:47|原标题：上海市11月18日新增1例境外输入确诊病例 据@上海发布 微博消息，上海市卫健委今早（19日）通报：11月18日0-24时，通过口岸联防联控机制，上海市报告1例境外输入性新冠肺炎确诊病例。新增治愈出院8例，其中来自法国2例，来自马尔代夫1例，来自孟加拉国1例，来自摩洛哥1例，来自匈牙利1例，来自意大利1例，来自英国1例。 该病例为中国籍，在法国留学，11月15日自法国出发，11月16日抵达上海浦东国际机场，入关后即被集中隔离观察，期间出现症状。综合流行病学史、临床症状、实验室检测和影像学检查结果等，诊断为确诊病例。 该境外输入性确诊病例已转至定点医疗机构救治，同航班密切接触者此前均已落实集中隔离观察。 11月18日0—24时，无新增本地新冠肺炎确诊病例。 截至11月18日24时，累计报告境外输入性确诊病例943例，出院880例，在院治疗63例，无重症和危重症。现有待排查的疑似病例0例。 截至11月18日24时，累计报告本地确诊病例343例，治愈出院335例，在院治疗1例，死亡7例。现有待排查的疑似病例0例。 截至11月18日24时，尚在医学观察中的无症状感染者0例。 责任编辑：武晓东 SN241 
吉林省延边州新增2例新冠肺炎复阳病例|2020年11月19日 07:33|原标题：吉林省延边州新增2例新冠肺炎复阳病例 据“延边发布”微信公众号消息，2020年11月18日0-24时，延边州新增2例新冠肺炎复阳病例。 责任编辑：武晓东 SN241 
内蒙古18日7时至19日7时新增境外输入确诊病例1例|2020年11月19日 07:23|原标题：内蒙古自治区报告新增境外输入确诊病例1例 来源：健康内蒙古12320 2020年11月18日7时至11月19日7时，内蒙古自治区报告新增境外输入确诊病例1例（由首都机场国际航班分流至呼和浩特白塔国际机场）。 截至2020年11月19日7时，现有境外输入确诊病例20例，均在定点医院隔离治疗，所有密切接触者均在指定场所进行集中隔离医学观察，全程实行闭环管理，严防疫情扩散蔓延。 截至2020年11月18日24时，内蒙古自治区报告无症状感染者0例。 责任编辑：武晓东 SN241 
经济日报：长租公寓租金不是谁都能动的“唐僧肉”|2020年11月19日 07:02|原标题：经济日报：长租公寓租金不是谁都能动的“唐僧肉” 今年以来，受新冠肺炎疫情影响，部分长租公寓入住率下降，租金收入减少，特别是来自“租金贷”业务的现金流锐减，导致部分长租公寓企业出现了资金周转困难。最近，蛋壳公寓就接连传出拖欠供应商账款和房东租金、租客被断水断电的消息。一时间，长租公寓背后的“租金贷”模式及预付租金使用的监管问题引发了社会各界高度关注。这也表明，强化对住房租赁资金账户监管迫在眉睫，长租公寓租金不是谁都能动的“唐僧肉”。 在传统二手房租赁市场，参与者为房东、租客、中介机构，后者为前两者提供信息、交易撮合服务，一般收取1个月租金作为中介费。合同签订后，租客需缴纳押金和租金，如北京地区惯例为“押一付三”。此后，每3个月支付1次租金。该模式最突出的问题在于，租客首次付款压力较大，“押一付三”再加上价值1个月租金的中介费用，相当于一次性支付5个月房租。因此，“租金贷”模式便有了市场。 在“租金贷”模式下，整个环节的参与者发生了变化，即房东、长租公寓运营商、租客、商业银行四方。其中，租客与长租公寓运营商签订协议，商业银行向租客发放贷款，这笔钱支付给长租公寓运营商，长租公寓运营商再按月、按季将房租支付给房东。也就是说，房东与租客并不直接发生资金往来。 乍一看，该模式能够让各方获益——房东获得客源和租金，租客付款压力有所缓解，银行获得贷款收益，长租公寓运营商则一次性提前获取租客一年的租金。但问题也恰恰出现在这里，租金没有直接支付给房东，而是给了长租公寓运营商。无形中，长租公寓运营商将资金提前归集，形成了资金池。 就目前的情况来看，该资金池不仅没有得到有力的监管；相反，多数长租公寓运营商拿到这笔钱后，往往选择加杠杆收购更多的房源，以此实现快速扩张。但一旦租金收入下降、租金贷来源减少，这一运作模式便会“爆雷”，甚至陷入流动性危机，并产生各种纠纷。 因此，为有效避免风险，强化对住房租赁资金账户的监管迫在眉睫。目前，深圳、成都、西安、重庆等多个城市先后发文，明确要求加强住房租赁资金监管。其中，深圳明确提出，不得通过“高进低出”“长收短付”等方式，哄抬租赁价格、加大企业资金断裂风险、侵害房屋权利人和承租人的合法权益。 把租金管起来只是第一步，面对复杂的市场环境和各种潜在风险，监管措施还应“跑在风险前面”，更具前瞻性，多些事前预防，少些事后补救。 来源：经济日报 责任编辑：武晓东 SN241 
天津东疆港区瞰海轩小区划定为中风险地区|2020年11月19日 06:47|原标题：天津东疆港区瞰海轩小区划定为中风险地区 截至11月18日，天津本土第3例无症状感染者王某某相关集中隔离医学观察人员中，已发现1例本土新冠肺炎确诊病例和2例本土无症状感染者，均居住在天津东疆港区瞰海轩小区同一楼栋，自2020年11月18日24时起，天津将东疆港区瞰海轩小区划定为中风险地区，并实施相应管控措施，天津市其他区域风险等级不变。（总台央视记者 丁旭 侯宇） 责任编辑：杨杰 
