澳门一季度零售业销售额同比下跌45.1%|2020年05月25日 23:24|原标题：澳门一季度零售业销售额同比下跌45.1% 新华社澳门5月25日电（记者王晨曦）澳门特区政府统计暨普查局25日表示，受新冠肺炎疫情影响，澳门2020年第一季度零售业销售额112.4亿澳门元，同比下跌45.1%，销量指数跌幅为44.8%。 统计暨普查局的数据显示，与2019年同期的销售额相比，钟表珠宝、百货、成人服装和皮具分别下跌57.5%、56.4%、52.9%和51.0%，超市则上升14.0%。销量指数方面，钟表珠宝、百货、成人服装和皮具分别下跌60.7%、54.3%、48.2%和47.3%，超市上升11.9%。 与2019年第四季度修订后的零售业销售额相比，2020年第一季度销售额减少45.8%，其中钟表珠宝、百货、化妆品及卫生用品分别下跌57.5%、54.5%和54.0%，超市上升10.2%。销量指数按季减少45.5%，钟表珠宝、化妆品及卫生用品、百货分别下跌59.0%、53.7%和53.5%，超市则上升8.4%。 此外，有80.5%的商户预计第二季度货物销量将比去年同季度减少，13.3%认为销售量同比持平，预期增加的仅占6.2%。销售价格方面，有68.1%的商户预测第二季度销售价格将维持在去年同期水平，认为价格下跌的占27.0%，而预计上升的有4.9%。 与第一季度相比，有52.9%的商户预计第二季度经营情况趋弱，而认为经营情况保持稳定和好转的各占23.9%和23.2%。 责任编辑：张申 
部长通道上，钟南山为何被@？|2020年05月25日 23:23|原标题：部长通道上，钟南山为何被@？ 今天 在人民大会堂举行的 “部长通道”上 工信部部长苗圩 介绍中国5G建设情况时 揭秘了一件钟南山院士的轶事 “在疫情最紧张的时候 钟南山院士曾通过5G视频 远程会诊5个危重病人 影像资料非常清晰 对于诊断、病人的救治 发挥了积极的作用” 专家远程会诊 对于危重症患者的抢救 到底作用几何呢？ 钟南山院士 就曾通过远程会诊 挽救了一位曾使用21天 ECMO设备的危重病人 广东中山市 31岁的彭女士 感染新冠肺炎发病时 还怀有35周身孕 病情进展非常迅速 感染性休克、成人呼吸窘迫等 一系列高危、致死性问题接踵出现 双肺在短短四天时间变成“大白肺” 命悬一线！ 治疗团队立即为她用上了ECMO 并不计成本地为其治疗 84岁的钟南山院士 至少三次参与 有关彭女士的远程会诊 在第一次参加会诊时 他还特地拜托一线医护人员 “太年轻了 请一定要把她救回来！” 在3月13日的会诊中 为了更清楚地了解彭女士的病情 钟南山院士走到了会诊屏幕的前方 逐个核对她的各项指标 从2月1日入院到3月13日 彭女士已经在ICU病房待了42天 用上最高规格的生命支持系统 ECMO长达21天 正是在以钟南山院士为代表的 医护人员一点一滴的不懈努力下 这位曾经“命悬一线”的 新冠肺炎危重症患者 从鬼门关生生被“拽”了回来 试想 如果没有远程视频技术 想得到顶级专家团队会诊的机会 就会大幅减少 钟南山院士如此评价 这项技术对战疫的作用—— “远程视频会诊在抗击疫情中起到了重要作用。通过视频连线，我的团队以及重症医学科、放射科医务人员，定期连线广东深圳、中山、东莞等地，以及湖北武汉等疫情震中医院的重症监护病房，会诊研讨重症、危重症病人的救治，在非常时期和特殊条件下，这种方式发挥了独特作用。” 5G技术的应用 更是让远程会诊“如虎添翼” 远在几千公里外的专家 与战疫前线的临床医生 可以实现“面对面”高清救治指导 这样的多方会诊、多学科联合会诊 可以使诊断更加专业高效 除支持远程会诊外 5G技术在疫情防控期间 还在其他方面发挥了重要作用 譬如 5G和千兆网络的建设发展 为疫情期间5G红外测温 线上办公、网上学习 顺利实施提供了保障 对百姓安稳居家可谓功不可没 值得欣喜的是 我国的5G技术正在蓬勃发展 每周大概增加1万多个5G基站 4月份增加5G客户700多万 中国5G客户累计超3600万 …… 随着设施建设和基站增多 人们对5G的使用也越来越多 这也是为何 “部长通道”上 工信部部长特别提及 钟南山院士已用上 这项技术的原因 要知道 科技助力抗疫 是中国式抗疫的一大特色 也是我国在战疫中 取得决定性成果的重要助力 北京日报（Beijing_Daily）综合@海客新闻、中国纪检监察报、光明日报、羊城晚报、北京日报客户端此前报道 责任编辑：张申 
广州今年将建立性侵害违法犯罪人员从业限制制度|2020年05月25日 21:48|原标题：广州今年将建立性侵害违法犯罪人员从业限制制度 广州日报5月25日消息，25日，在广州市第112场疫情防控复工复产新闻发布会上，市人民检察院党组成员、副检察长李学东介绍，广州开展“三位一体”暖心“护蕊”，全面强化未成年人性侵害防治机制，“一站式”取证办案、“一站式”救助保护。 此外，广州建设“侵害未成年人违法犯罪信息库”，目前已对全市约2.3万名教职员工进行前科筛查。建立性侵害违法犯罪人员从业限制制度是今年的重点工作项目之一。 “未成年人是祖国的花朵，是民族的未来和希望，严厉打击侵害未成年人权益的案件是检察机关义不容辞的责任。”李学东说。 “三位一体”暖心“护蕊”，广州全面强化未成年人性侵害防治机制 李学东介绍，近两年来，性侵害未成年人案件频发，已成为社会热点关注问题。为全面强化未成年人性侵害防治机制，加强对未成年人的权益保护，市人民检察院于2018年初开展“护蕊”一站式工作机制的探索，积极推动建设集“一站式”取证办案、“一站式”救助保护和“一站式”综合预防三位一体的“护蕊”一站式工作机制。2019年12月，在市未保委的大力支持和团市委的紧密配合下，“三位一体”暖心“护蕊”工作机制全面落地，以实际行动贯彻落实最高人民检察院“一号检察建议”，使广州市检察机关对未成年人性侵害的防治工作得到跨越式发展。 “一站式”取证办案，有效推动案件办理的专业化 针对案件中暴露出的侦查取证工作不规范、不及时，易对未成年被害人造成“二次伤害”等问题，广州市人民检察院通过场所建设和制度建设两方面，逐步构建起“一站式”取证办案机制。 一是一站式工作室助力实现全流程工作。广州市人民检察院加大场所建设力度，与团市委、市妇儿医疗中心、市青少年发展基金会紧密合作，在该医疗中心内建设“护蕊”一站式工作室。办案单位可在工作室内一次性完成对未成年被害人的紧急救治、伤情检验、物证提取、询问及同步心理干预。在广州市人民检察院本月上线的微信小程序“检爱同行”智慧未检平台中，设置了“一站式”预约功能，办案单位可以通过微信小程序便捷地预约使用工作室，大大提升工作效率。 二是制定指引实现规范化办案救助。广州市人民检察院与公安、法院、司法及团委等相关部门进行多次研讨，并牵头起草了《关于性侵害未成年人犯罪案件办案工作指引》。《指引》明确了办理性侵害未成年人案件特殊、优先保护等原则理念、细化了取证及证据运用要点。除此之外，特别对未成年被害人的保护与救助设立专章，还对心理评估材料证据化、前科查询从业限制、社会支持体系构建等前沿实践进行了探索性的规定。省公安厅对该指引予以充分肯定，近期在全省范围内推广。 在《指引》草稿征求意见的过程中，广州以黄埔区作为试点，将《指引》的相关要求运用在几宗性侵未成年人犯罪案件的办案实践中，取得良好效果。同时以此为契机，推动黄埔区公安分局成立未成年人案件专办组织，为广州公安机关建立“少年警务”机制进行了有益探索。 “一站式”救助保护，有力保障救助工作的及时性 在以往案件的办理中，因为救助资金来源单一、救助模式固化及救助主体分散的问题，往往导致被害人的救助和保护工作不能及时有效开展。对此，广州市人民检察院依托未成年人检察工作社会支持体系试点建设，与团委、妇联、民政及相关社会组织搭建社会支持体系平台，力求在案件办理的过程中，针对未成年被害人的不同需求，有效链接社会资源，“一站式”提供法律援助、经济救助、心理救助、社会救助等保护及服务。 2019年广州检察机关为36名未成年被害人链接法律援助 李学东介绍，2019年，检察机关为36名未成年被害人链接法律援助，为67人提供心理救助，给予司法救助金额达62.6万。近期，广州市人民检察院与团市委合作建立“未成年被害人救助评估机制”，委托司法社工主动对案件中的未成年被害人评估救助需求，并针对需求进行多元救助。该机制已被市未保委列入今年的重点工作项目之一。 建设“侵害未成年人违法犯罪信息库”，已对全市约2.3万名教职员工进行前科筛查 为了强化事前预防，广州着力从增加特殊预防的深度和拓展一般预防的广度两方面开展犯罪预防工作。一方面，建设“侵害未成年人违法犯罪信息库”，积极推动从业限制制度。在两级未检部门的推动下，广州多个辖区的教育部门与检察院建立起了教职员工前科查询机制，目前已对全市约2.3万名教职员工进行筛查。在“检爱同行”智慧未检平台中，还设置了信息库查询申请的功能，学校、教育部门可以更为便捷地在线上申请查询。 对发生性侵害学生案件的单位及相关人员进行严肃问责 为了抓好“一号检察建议”的落实，强化校园性侵害的防治工作，广州市人民检察院对检察机关办理的校园性侵案件进行全面剖析，向广州市教育局通报。市教育局高度重视，于近期出台了《广州市教育局关于进一步加强中小学（幼儿园）预防性侵害学生工作的实施意见》，对发生性侵害学生案件的单位及相关人员进行严肃问责，同时健全预防教职员工性侵害未成年学生、幼儿园儿童违法犯罪机制，提升防范性侵害学生风险能力水平。 今年的重点工作项目：建立性侵害违法犯罪人员从业限制制度 李学东介绍，广州市人民检察院还向市未保委提交关于建立性侵害违法犯罪人员从业限制制度的议题，建议明确制度适用的范围、对象，明确学校等与未成年人密切接触行业的用人单位的义务与责任，同时完善配套监督机制。该议题在全市未保会议上进行审议，同样被列入今年的重点工作项目之一。 另一方面，大力创新普法宣传的方式，不断扩大覆盖面。检察机关把预防工作与案件办理、“法治进校园”“一号检察建议”的监督落实等工作融合起来，有针对性地开发“预防性侵害”的专题法治课程。2019年全市检察机关共开展上述主题的法治宣讲215场，受众约80.8万人（含网络受众人数），在全部宣讲活动中占比近90%。 李学东表示，下一步，检察机关将继续积极探索，以创新和担当的精神持续打造“护蕊”品牌，在未成年人性侵害的防治上为全省乃至全国提供“广州经验”。 问：检察机关收到当事人的举报后，“一站式”的办案机制是如何运作的？ 市人民检察院党组成员、副检察长李学东：当检察机关收到性侵害未成年人案件的举报后，一般是交由未成年人检察部门负责处理。未检部门会指引转介线索的未保组织工作人员对被害人的情况进行初步了解，决定是否需要采取紧急措施阻隔随时会再次发生的侵害，或者让未成年被害人立即接受医学检查或救治。 随后，检察机关及相关的未保组织会协助当事人前往公安机关报案，检察机关依法对案件的立案及侦查活动进行法律监督，在引导取证的同时，做好未成年被害人的保护救助工作。我们将会协调公安机关尽快在“一站式”办案区内对未成年被害人开展取证工作，一次性完成询问、物证提取和伤情检验，办案区所在的医院会指派医生协助身体检查和伤情救治。 取证工作原则上一次性完成，而且是私密的环境下进行，最大限度保护未成年被害人的隐私，避免造成“二次伤害”。 问：“护蕊”一站式工作室除了用于性侵害案件之外是否还适用于其他类型的案件？ 李学东：“一站式”工作室主要针对性侵害未成年人犯罪案件而建设的，但对于故意伤害、虐待等严重伤害未成年人身心的犯罪案件，同样可以在“一站式”工作室内开展取证工作。另外，在取证结束后，如果发现未成年被害人需要继续进行心理治疗，“护蕊”一站式工作室也可以作为心理疏导的场所，继续发挥保护作用。 来源：广州日报 责任编辑：宣远兵 
山西晋城市18名密切接触者核酸检测均为阴性|2020年05月25日 20:13|原标题：山西晋城市18名密切接触者核酸检测结果公布！均为阴性 今天中午 晋城市疫情防控领导小组办公室 针对四川省巴中市5月23日 新增新冠肺炎无症状感染者张某某 发布最新通告 特此通告 晋城市新冠肺炎疫情 防控领导小组办公室 2020年5月25日 紧急提醒！ 河南济源市和四川巴中市今日发布 一确诊人员的活动轨迹， 急寻这些密切接触者！ 济源疫情防控指挥部办公室现紧急寻找与张某乘坐同车次乘客。 1、如您乘坐当日当次列车，请尽快主动与济源疫情防控指挥部办公室联系。指挥部办公室24小时值班电话：0391-6912120。2、为确保您和他人的身体健康，请在有关人员与您联系之前，自觉居家单间隔离，不要外出，不得与他人接触，勤洗手、勤通风，保持良好卫生习惯。3、如您知道同乘人员线索，请拨打指挥部办公室电话举报。 5月23日0-24时，巴中市新增1例湖北输入新型冠状病毒无症状感染者，无新增新冠肺炎确诊病例、疑似病例。 流行病学调查初步判定其在巴中市域内有14名密切接触者，其中9名已集中隔离医学观察，其余5名正在全力追查中。 巴中市卫生健康委员会 2020年5月24日 责任编辑：宣远兵 
沈阳最后1名确诊患者出院 与吉林关联病例全部治愈|2020年05月25日 19:46|原标题：沈阳最后1名确诊患者出院，与吉林关联病例全部治愈 5月25日14时，沈阳市第六人民医院暨辽宁省新型冠状病毒肺炎集中救治沈阳中心最后1名新冠肺炎确诊患者治愈出院。截至目前为止沈阳中心3例确诊病例（均为与吉林关联病例）已全部治愈出院。 患者孙某于5月11日以新型冠状病毒无症状感染者收治集中救治沈阳中心，5月13日确诊为新型冠状病毒肺炎轻型病例。入院后，经省、市级专家多次会诊优化诊疗方案，一线医护人员全力救治和精心护理，该患者病情好转，目前该患者体温正常超过3天，无呼吸道症状，肺部CT影像学无异常，且连续2次间隔24小时以上采集呼吸道标本新冠病毒核酸检测阴性。经省、市专家组评估，该患者符合国家《新型冠状病毒肺炎诊疗方案（试行第七版）》出院标准，准予出院，并告知该患者要按照规定继续进行14天隔离管理、健康状况监测及随访复查。 截至5月24日24时，全省累计报告确诊病例149例，治愈出院145例，死亡2例，在院治疗2例。累计追踪到确诊病例密切接触者4022人（含境外输入病例密切接触者），已解除医学观察3634人，尚有388人正在接受医学观察。 来源：人民日报客户端 责任编辑：宣远兵 
香港25日无新增新冠肺炎确诊病例 累计确诊1065例|2020年05月25日 19:32|原标题：香港25日无新增新冠肺炎确诊病例 累计确诊1065例 新华社香港5月25日电 据香港特区政府卫生署卫生防护中心介绍，截至25日下午4时，卫生防护中心没有发现新增新冠肺炎确诊病例，香港累计确诊病例维持为1065例。 据香港医院管理局介绍，截至25日中午12时，过去24小时没有确诊新冠肺炎病人出院，至今共有1030名确诊及疑似病例康复出院。 目前，公立医院已启用659间负压病房，共计1219张负压病床。目前共有32名确诊病人分别于8间医院留医，其中1人情况严重，其余31人情况稳定。 由于学校复课在即，卫生防护中心当日已发信给学校，呼吁时刻保持警觉，预防新冠病毒在学校传播。 卫生防护中心再次提醒市民，为减低感染风险，市民在日常生活中应尽量与他人保持适当的社交距离，尤其应减少外出及避免聚餐或聚会等社交活动，以减少接触没有出现病征的感染者的机会，并减低社区出现群组个案的风险。 发言人说，鉴于全球疫情仍然非常严峻，各地确诊病例数字不断上升，呼吁市民应避免所有非必要的外游计划。 （本文来自于新华网） 责任编辑：祝加贝 
新任部长释疑：疫情期间为何还有重污染天气？|2020年05月25日 19:19|原标题：新任部长释疑：疫情期间为何还有重污染天气？   责任编辑：刘德宾 SN222 
外交部：将在力所能及范围内继续对非洲提供抗疫援助|2020年05月25日 18:24|原标题：外交部：将在力所能及范围内继续对非洲提供抗疫援助 据报道，中国政府向刚果（布）派出的抗疫医疗专家组已于23日抵达，专家组是从刚果（金）完成工作任务后直接转战刚果（布）。 对此，在今天（25日）举行的中国外交部例行记者会上，外交部发言人赵立坚介绍说，应刚果（金）、刚果（布）政府邀请，中国日前向两国派遣了一支由12名中国医疗专家组成的抗疫专家组。 5月12日至23日，中国医疗专家在刚果（金）密集开展近30场交流培训活动，同刚政府和医疗机构、世卫组织代表、联合国刚果（金）稳定特派团以及英法等驻刚机构深入交流，分享抗疫经验，培训当地医护人员，对话社区民众，促进多边合作，指导中国援地区国家医疗队在当地开展抗疫工作。刚果（金）政府和社会各界对此予以高度评价。刚外长通巴、国际合作部长曼乔洛等会见中方专家组，感谢中方在刚抗疫关键阶段予以支援，称赞此举体现了中刚、中非之间的深厚友谊。此次中方医疗专家组在刚果（金）期间同有关国际组织、外交机构代表的交流合作，就是国际抗疫合作的一次成功实践，为国际社会携手抗疫树立了榜样。 赵立坚表示，圆满完成在刚果（金）工作后，中国医疗专家组已于5月23日转战刚果（布）。下一步，中方将在力所能及的范围内继续对非洲提供抗疫援助，向非洲派出更多医疗专家组，与非洲兄弟分享经验，携手抗疫。（总台央视记者 黄惠馨） 责任编辑：祝加贝 
两会落定“年度账”：超9万亿财政资金对症经济困局|2020年05月25日 18:03|原标题：两会落定“年度账”：超9万亿财政资金对症经济困局 |《财经》特稿 本文首刊于2020年5月25日出版的《财经》杂志 责任编辑：刘德宾 SN222 
程京：车载新冠病毒检测实验室有望7月投入使用|2020年05月25日 18:02|原标题：全国人大代表程京：车载新冠病毒检测实验室有望7月投入使用 全国人大代表、中国工程院院士程京日前在接受采访时表示，车载新冠病毒检测实验室研究工作正在加快进行中，部分已经完成，预计6月底将问世，最快7月份可投入使用。程京介绍说，车载新冠病毒检测主要取决于一张芯片，将口腔试纸样品放入这款新研发的全集成封闭式核酸快速检测芯片后，核酸提取、反应等所有检测都可在芯片内自动完成。根据初步测试，只需五十分钟内即可完成核酸检测出结果。 来源：中国日报 责任编辑：宣远兵 
老百姓为何不愿意消费？姚洋：警惕形式主义防疫|2020年05月25日 18:00|原标题：老百姓为何不愿意消费？姚洋：警惕形式主义防疫 需要警惕防疫形式主义 成为复工复产障碍、抑制大众消费需求 5月22日，国务院总理李克强在政府工作报告中指出，今年赤字率拟按3.6%以上安排，财政赤字规模比去年增加1万亿元，同时发行1万亿元抗疫特别国债。报告强调，这是特殊时期的特殊举措。上述2万亿元全部转给地方，建立特殊转移支付机制，资金直达市县基层、直接惠企利民，主要用于保就业、保基本民生、保市场主体，包括支持减税降费、减租降息、扩大消费和投资等。 北京大学国家发展研究院院长姚洋接受中国新闻周刊采访时解读，今年政府工作报告不仅将民生放在第一位，还采用了更加公平的方法来进行社会保障。 对于后疫情时代的中国经济恢复情况，姚洋认为中国经济仍未达到反弹时刻，经过疫情的重创，不少工厂因为没有订单陷入关门危机，低收入人群面临失业困境。在2万亿的支持下，可以通过向中产阶级和低收入人群发放现金、消费券，为低收入失业人员提供职业培训，为小微企业提供房租减免政策等措施，需求和就业问题两手抓。 姚洋认为促进需求是恢复经济的最主要抓手，“经济就像一辆车，要有一个强有力的刺激先把发动机打着了，经济运转进入正常的需求供给循环，就可能复苏起来。”另外，他还表示在保障防疫成果的前提下，需要警惕防疫形式主义成为复工复产障碍、抑制大众消费需求。 中国新闻周刊：您怎么解读这次政府工作报告中对GDP增速没有明确数字指标？ 姚洋：报告中提到因为疫情和经贸形势不确定性很大，所以没有提出经济增速具体目标。 在我看来，最大的不确定性就是下半年这个病毒又回来了怎么办，而且经济恢复也有不确定性，需要为其他的目标留出政策空间来。另一方面，今年要把脱贫攻坚战打完，也需要一些资金。所以这几方面综合考虑，就不定一个增长目标了。 中国新闻周刊：政府工作报告强调，要扩大失业保险的保障范围，让参保不足一年的农民工等失业人员都纳入常住地保障。您怎么看待这次失业救济范围的调整？ 姚洋：这是保民生上非常大的进步，说明中央政府把民生放在第一位，采用了更加公平的方法来进行社会保障。 但是要注意，大量农村户籍的工人，他们没有交社保，或者说因为工作临时性较强，缴纳不连贯。希望中央层面尽快出台一个方案，明确可以接受失业保障的范围。我也期待经过这一次调整之后，所有的农民工纳入常住地社保能成为常态。 中国新闻周刊：报告还指出今年要增加1万亿财政赤字和1万亿特别国债，这2万亿怎么在执行中最大程度发挥效用？ 姚洋：总理在报告中强调了这2万亿主要用于保就业、保基本民生、保市场主体，这就意味着这个钱必须要花到实处，花到老百姓头上。 我觉得最实际的用法就是：第一，给老百姓直接发现金、消费券；第二，为临时失业的低收入人群提供一些职业培训，帮助他们解决就业问题；第三，对新成立的小微企业予以一定的资助，比方说免收3个月房租等等。这次疫情之后，好多街边小店都倒闭了，这时候如果能从政府层面帮助小店减免一些房租，会是保就业保民生的实实在在的措施。 另外，各城市可以学学成都，开放一些街边区域让煎饼摊、报刊亭、路边摊合法有序地经营，让“马路经济”回来。 中国新闻周刊：政府工作报告还提到要为中小企业减税降费超过2.5万亿元，您觉得这个措施能够达到什么效果？ 姚洋：从宏观经济层面的角度来说，在当前扩张性的财政政策下，政府一方面增加了支出，一方面减税，两者是有一定的冲突的。另外，减税降费这个政策主要是让复产率高的大企业受益，但现在还有不少尚未开工的中小企业，连订单都没有，减税对他们来说受益有限。 我认为现在供给是过剩的，恢复需求就是恢复经济的一个重要抓手。我建议中央政府层面用现金补贴低收入人群和中产阶级，鼓励他们消费。试想老百姓手上有一笔钱就会去消费，企业就有了订单，有了订单就可以招工人，这样打工者也有了收入。有人会说那应该以企业为单位，先给企业发钱，但需要担心，发给企业的钱可能直接进入老板口袋，还不如直接给工人发钱。 经济就像一辆车，要有一个强有力的刺激先把发动机打着了，经济运转进入正常的需求供给循环，就可能复苏起来。 中国新闻周刊：也有观点表示老百姓经过疫情对消费会更谨慎，加上中国人习惯存钱，现在发钱的话老百姓可能不会把钱用在消费上。 姚洋：大家觉得中国人习惯存钱，但实际上大部分低收入人群是没有多少储蓄的。中国人的储蓄分配不均，中国收入较低的40%人口基本上没有什么储蓄，收入最低的10%人口是靠借债活着的。现在把现金发给这些低收入人群或者失业人群，他们消费的可能性是非常大的。 老百姓不愿意消费也有很多原因，拿我自己举个例子，我想去的理发店就在小区旁边，但小区只留了一扇门，所以我要绕一大圈才能走到，产生一个消费行为对我来说很麻烦。 为什么小区关这么严？因为出入口不光有保安测体温，居委会也要派人一起站岗，如果小区多开一个门，居委会就得多来一个人，可居委会没有那么多人手。 要知道这样的封锁挡住了很多消费行为，消费起不来，工厂需求就起不来。尽管电商购物在整体消费行为中占一定比重，但是电商收入在一季度也下降了，我们不能指望线上购物弥补线下损失。现在推出的绿码已经是筛选疑似人员的最好措施，为何还要形式主义层层设卡？有些地方搞形式主义防疫，小区、街道层层加码，说白了是领导怕丢乌纱帽，对社会秩序和经济的恢复来说不是最优做法。 中国新闻周刊：您认为中国经济现在恢复的情况如何？ 姚洋：我们经济恢复的步子还是相对比较慢，现在可能还在谷底，没有到反弹的时候。 经历了第一季度的经济下行，4月份外贸数据恢复了一些，主要源于我们出口医疗器械的单子。五一期间，老百姓的消费行为有所恢复，但这种消费力能不能持续还需要观察一段时间。 中国新闻周刊：假设年底疫情可能再次爆发，我们能提前做哪些防御准备？ 姚洋：在第二次暴发之前，中国要做的准备就是尽早制订一个切实可行的方案，将社会恢复到正常水平，或者接近正常的水平。 我们一开始防疫力度非常大，把这个疫情压下去了，但是在复工复产上步子迈得太慢。在疫苗发明之前，病毒不可能消失，但是经济经不起漫长的停顿。我担心等到别的国家都已经复工复产了，我们还在一个比较停滞的状态观望，相当于起了个大早赶了个晚集。所以，我建议保证使用绿码筛查疑似人群的基础上，在复工复产框架内逐步放松管控。 中国新闻周刊：您怎么看待欧美其他国家的经济恢复政策？ 姚洋：我注意到西方一些国家的复工计划里，列出了疫情降到什么程度复工做哪些事情，有的还把二次疫情的预案写进去了，这个是值得借鉴的。 海南省幼儿园和小学开学之后，又发现了新病例，就有不少人开始质疑为什么要开学。要注意，海南省此前已经84天没有本土新增案例了，在这种状况下，地方领导怎么敢放开胆子复工复产。如果有一个比较详细的计划，各地严格执行，可能复工效率能提高一些。 中国新闻周刊：有观点认为后疫情时代将形成冷战新格局，您怎么看待这样的判断？ 姚洋：我觉得现在世界已经形成了一种新的冷战格局，表现在技术、地缘政治还有意识形态这三个领域。尽管调和起来有难度，但我们可以学会管控这种冲突。 中国跟美国应该是一种竞争与合作并存的关系。美国现在明着把我们定义为竞争对手，但是我们要告诉世界，这种竞争不同于当初苏联和美国的竞争，苏联和美国的竞争是互相隔绝、平行发展的，而我们和美国是一个你中有我，我中有你的状态。在经贸领域，我们还有很多共同利益，我们要积极地把两个国家拉在一起，在一个和平的环境中竞争。 责任编辑：祝加贝 
