内蒙古包头达茂旗发布鼠疫疫情Ⅲ级预警|2020年08月06日 21:40|原标题：关于发布达茂旗鼠疫疫情Ⅲ级预警的通告 来源：内蒙古晨报 责任编辑：张迪 
美驻华大使：中国运往美国的防疫物资拯救了很多生命|2020年08月06日 18:31|原标题：上海市市长龚正会见美国驻华大使布兰斯塔德 上海市市长龚正今天会见了美国驻华大使泰里·布兰斯塔德一行。 龚正说，当前，上海正统筹推进疫情防控和经济社会发展工作。作为中国最大的经济中心城市和改革开放的前沿窗口，上海是中美两国经贸往来的重要桥梁，与旧金山等友城也交流频繁。开放是上海最大的优势，上海将坚定不移深化改革、扩大开放，全力打造法治化、国际化、便利化的营商环境，热忱欢迎包括美国企业在内的国际企业来沪投资兴业并参加第三届进博会。 布兰斯塔德说，面对新冠疫情，中国运往美国的防疫物资拯救了很多生命，其中很多来自上海，我们对此深表感谢。上海近年来取得了长足进步，希望进一步促进交流合作，共同克服疫情带来的影响，祝愿第三届进博会如期成功举办。 美国驻沪总领事谭森参加会见。 责任编辑：吴金明 
大连警方查处42起涉疫类案件 行政处罚48人|2020年08月06日 18:29|原标题：大连警方查处42起涉疫类案件 行政处罚48人 中新网大连8月6日电 （记者 杨毅）大连警方6日对外披露，自7月22日大连市发生新冠肺炎疫情以来，为维护疫情防控社会秩序，大连市警方全面强化社会治安管理，严厉查处各类涉疫违法犯罪行为。截至目前，查处涉疫类刑事案件4起、行政案件38起，采取刑事强制措施4人，行政处罚48人。 7月25日15时许，甘井子公安分局接到报警称：大连湾某核酸检测点有人殴打防疫人员，扰乱核酸检测现场秩序。接警后，警方迅速临场处置。经查，庞某（男，33岁）因故意插队、不配合疏导被防疫志愿者现场控制。随后，庞某斌（男，51岁，庞某父亲）、庞某娟（女，45岁，庞某姑姑）、宁某（男，22岁，庞某表弟）闻讯到场，殴打、辱骂防疫人员、掀翻核酸检测器材，致检测工作无法继续进行。庞某、庞某娟和宁某、庞某斌等4人因寻衅滋事，被公安机关分别依法处以行政拘留5日和15日的处罚。 7月31日，大连湾派出所接到报警称：大连湾街道某小区内有人未佩戴口罩聚集打扑克。警方立即开展调查，经走访排查，当日共有5人在某小区楼下未佩戴口罩打牌。经警方调查，该5人均为小区住户，因居家隔离感觉无趣，故相约在小区楼下以打牌的方式进行娱乐。目前，该5人因拒不执行人民政府在紧急状态下发布的决定命令，被公安机关处以行政拘留5日的处罚。 8月1日9时许，大连湾派出所民警在巡逻至某小区北侧消防通道大门时发现一男子正在翻越小区大门栏杆，警方立即上前制止并将其控制。经查，男子郑某辉系该小区居民，因早晨想外出买菜，没有被小区工作人员放行，于是萌生翻越栏杆外出的不当想法。郑某辉因拒不执行人民政府在紧急状态下发布的决定命令，公安机关已依法对其进行政拘留5日的处罚。 大连警方表示，大连市警方将对各类涉疫违法犯罪持续保持“零容忍”的高压态势，发现一起，打击一起，绝不姑息，为全市抗击疫情全力营造良好的社会治安环境。同时，警方提醒广大市民，现在正处在疫情防控的关键时期，请市民自觉配合各种防疫管控措施，如有相关干扰疫情防控工作的违法犯罪行为，公安机关将依法进行严肃处理。（完） 责任编辑：郑亚鹏 
乌鲁木齐：确诊病例自7月31日以来呈波动式下降|2020年08月06日 17:14|原标题：乌鲁木齐：确诊病例自7月31日以来呈波动式下降 8月6日下午，新疆维吾尔自治区人民政府新闻办公室将就目前乌鲁木齐市新型冠状病毒肺炎疫情和防控工作情况，举行第二十场新闻发布会并答记者问。乌鲁木齐市人民政府副秘书长尚玉岚介绍，7月15日0时至8月5日24时，累计治愈出院确诊病例59例，无症状感染者解除医学观察46例。截至8月5日24时，乌鲁木齐市现有确诊病例634例，现有无症状感染者128例。 昨日新增确诊病例和无症状感染者全部为集中医学观察人员进行核酸筛查时发现，不会造成新的社区传播，请大家不要恐慌。乌鲁木齐确诊病例自7月31日以来，呈波动式下降，在传染病防治过程中整体发病水平下降，但又伴随小幅度波动的情况是常见的，所以当前疫情防控形势仍然严峻，不允许有丝毫放松。 责任编辑：郑亚鹏 
宁波现新增新冠确诊病例？官方回应|2020年08月06日 15:20|原标题：宁波无新增新冠确诊病例，请不信谣不传谣 今天中午开始，一则消息在众多微信群里传开了。有网友称，在环城南路维也纳酒店发现一例新冠病例，酒店被清空。 据浙江新闻从宁波市卫生健康委员会获悉，宁波无新增确诊病例。请大家不信谣不传谣。 责任编辑：郑亚鹏 
吴尊友：吸烟室增加新冠病毒传播风险|2020年08月06日 15:19|原标题：吴尊友称吸烟室增加新冠病毒传播风险 近期，《重庆市公共场所控制吸烟条例（草案）》公开征求意见，草案因拟允许餐厅、酒店等场所设室内吸烟区，遭到一些控烟专家质疑。日前，中国疾控中心流行病学首席专家吴尊友表示，防治新冠肺炎一项非常重要的措施就是保持通风，而吸烟室的设置不利于通风，在吸烟室吸烟增加了感染、传播新冠肺炎的风险，因此，不主张也不支持在公共娱乐场所内、公共室内设置吸烟室的做法。（视频由新探健康发展研究中心提供） 责任编辑：吴金明 
财政部长：超5000亿元抗疫特别国债资金已落实到项目|2020年08月06日 15:10|原标题：财政部部长刘昆：超5000亿元抗疫特别国债资金已落实到项目 财政部部长刘昆在接受记者采访时表示，1万亿元抗疫特别国债已于7月底全部发行完毕。在资金下达使用方面，7月初，扣除省级按规定留用部分后，抗疫特别国债资金已下达至市县基层；截至7月29日，已有5105亿元落实到24199个项目，主要用于基础设施建设和抗疫相关支出。财政部还构建起覆盖资金分配、拨付、使用和监管全过程的制度体系，实现全链条、全过程监控，确保财力真正下沉到基层，快速高效发挥作用。 责任编辑：吴金明 
江苏南京首条北美航线顺利复航|2020年08月06日 14:21|原标题：南京首条北美航线顺利复航 据江苏省交通运输厅，8月4日，南京—温哥华航班正式复航，这也是南京禄口机场自疫情以来恢复的首条北美航线。南京—温哥华航班由东航空客330机型执飞，每周一班。去程航班号为MU215，北京时间每周二12：55从南京起飞；回程航班号为MU216，当地时间每周二11：00从温哥华起飞。 为保障航班顺利复航，东航江苏公司周密部署、积极协调，针对常态化疫情防控条件下国际航班保障过程中的各项具体工作细节召开协调会，确保航班万无一失。7月31日晚间恢复航班并开放销售，回程航班销售火爆，开放两小时即座位售罄。 责任编辑：武晓东 
港警发声 内地援港医护请放心！|2020年08月06日 13:19|原标题：港警发声，内地援港医护请放心！ 香港每日新增确诊数虽连续三日回落至双位数，但专家均认为不代表疫情已放缓，社区爆发随时一触即发。 呼吸系统专科医生梁子超称，本周一、二两天确诊数字下降，可能是因为较少市民在周末求医。他建议政府一发现确诊个案，马上进行大型筛查，避免更大范围的社区传播。 为协助香港应对疫情，近日内地核酸检测“先遣队”抵港，但当地却出现不和谐的一幕：连日来有反对派区议员及个别人士前往“先遣队”入住的酒店及考察地点示威，骚扰队员。 对此，香港警察@好得意得意好 在微博发出一封写给内地援港医护人员和同胞的信。 他表示，2019年香港暴乱，大家众志成城全民撑警，写信打气加油。现在由他来代表普通香港市民，给赴港支援的内地医护写信，希望能够给远在他乡的英雄们带来些许慰籍、温暖，也让内地同胞们心安。 @好得意得意好在信中写到，面对乱港分子的质问和辱骂，他能理解内地同胞的委屈，他请内地同胞相信，大部分香港人是爱国和懂感恩的，只是怕受报复，没有勇敢地站出来。 他说，作为一名普通的警察，内地援助力量到港，让自己更安心工作。“内地医护奔赴前线守护香港，我会尽我所能保护好他们。” 在这条微博下，不少网友为@好得意得意好点赞：“善良又温暖，谢谢你的暖心举动！” 有网友也注意到，@好得意得意好为让内地同胞没有阅读障碍，特意用了简体字。 还有不少香港人留言：“你代表了我们很多人的心声。” 北京日报客户端记者注意到，港警@好得意得意好去年下半年来到微博，他经常积极与粉丝进行互动，分享日常工作生活感悟，目前其粉丝量已超33.4万。 其实默默守护内地援港医护的，还有很多港警。 在@好得意得意好 的微博下，另一名港警@海港SirHabaSir 在评论区留言：“相护相守，以生命守护生命的伟大也就是‘黑夜微光’恪守不渝的终身使命。香港人加油！中国人加油！永远亲爱永远心怀感恩我们的逆行医护。辛苦你们。我们会好好保护你们的。” 前有内地医护勇敢赴港： “我是中国人， 我在为国家做事。” 后有港警接连承诺： “我会尽我所能保护好他们！” 感谢国家的守护者们 你们在， 香港定能早日战胜疫情！ 责任编辑：朱学森 
陕西新增1例境外输入确诊病例|2020年08月06日 12:37|原标题：陕西新增1例境外输入确诊病例 来源：华商报 微博 8月5日0-24时，无新增报告本地确诊病例、疑似病例、无症状感染者。截至8月5日24时，累计报告本地确诊病例245例，出院242例，死亡3例。 8月5日0-24时，新增报告1例境外输入确诊病例。截至8月5日24时，累计报告境外输入确诊病例83例，出院76例，在院7例。累计报告境外输入无症状感染者37例，转为确诊病例1例，解除医学观察28例，尚在医学观察的无症状感染者8例。 今日新增：陕西新增报告1例境外输入确诊病例为新加坡至西安MU2070航班乘客。7月31日MU2070航班到达咸阳国际机场后，航班全部人员落实海关检疫、核酸检测、点对点转运、隔离医学观察、隔离医学治疗等闭环管理措施，无陕西省内自行活动轨迹。MU2070航班1名乘客在隔离期间复检被诊断为新冠肺炎确诊病例。 当前全省隔离密切接触者330人，其中境外输入密切接触者329人，外省协查密切接触者1人。 确诊病例：王某某，男，48岁，江苏籍，MU2070航班乘客。核酸检测结果阳性，8月5日经市级专家组会诊，诊断为新冠肺炎确诊病例，目前在定点医疗机构隔离治疗。 责任编辑：张申 
陆挺：疫情将加速逆全球化 中国仍应加大开放|2020年08月06日 12:11|原标题：陆挺：疫情将加速逆全球化 中国仍应加大开放 8月6日，由新京报贝壳财经主办的“中国经济新格局：乘风破浪”夏季峰会在线举行。在此次峰会上，野村证券中国首席经济学家陆挺表示，新冠肺炎疫情将加速逆全球化，但这仍将是一个缓慢的过程。 对于中国而言，逆全球化又意味着什么？陆挺称，一方面我们不要过于悲观，因为中国拥有世界上最完整的产业链和供应链，优良的基础设施，较好的营商环境和庞大的国内市场，所以外资在短期内撤出并不容易。但另一方面我们也不能过度乐观，短期内因为疫情，我国出口相对于其他国家表现优异，而绝大部分跨国企业生存艰难，不可能在此特殊时期转移产业链，但我们不能据此就判断没有脱钩，没有逆全球化，不能以当前的企业行为来推导疫情之后的企业行为。 陆挺认为，伴随着中国崛起，中美贸易冲突，新冷战的帷幕渐渐拉开，疫情本身又加剧了国际环境的恶化，我们不能从纯粹商业利益的角度来看待脱钩和逆全球化。我们应该未雨绸缪，一方面坚持全球化的大旗，一方面也应该做好应对。 陆挺称，新的挑战本身也意味着新的机遇，把握新的机遇需要新的战略， 近期中央提出“加快形成以国内大循环为主体、国内国际双循环相互促进的新发展格局”，中间有几点可以引申。一是关键设备和零部件的进口替代，目前国际环境更加促使我国下定决心做高端零部件的生产研发，尤其是在半导体领域。 二是通过市场开放和体制改革，把一部分我国居民在国外消费需求引到国内，通过国内的供给来满足这些需求，这方面教育、旅游和奢侈品等行业还大有可为。 三是根据国内市场情况，逐渐转化我国一部分出口产能，用来满足国内市场的需求。 四是扩大在国外一些如粮食和能源等关键领域的投资，保障我国必需物资的供应。越是面临着复杂、恶化的国际环境，中国在一些关键领域的改革开放就越要推进，就越要鼓励外资进入参与我国的内循环，并且走出去做好国内国际双循环相互促进。 新京报贝壳财经记者 潘亦纯 责任编辑：张申 
