天津新增6例境外输入确诊病例 新增5例无症状感染者|2020年11月10日 23:39|原标题：11月9日18时至10日22时 天津新增6例境外输入确诊病例 新增5例无症状感染者 记者从市疾控中心获悉，11月9日18时至10日22时，我市无新增报告本地新冠肺炎确诊病例。累计报告本地新冠肺炎确诊病例138例，其中男性75例，女性63例；在院1例（为普通型），治愈出院134例，病亡3例。 11月9日18时至10日22时，我市新增境外输入新冠肺炎确诊病例6例（均为中国籍），累计报告境外输入确诊病例145例（中国籍124例、美国籍3例、菲律宾籍8例、法国籍2例、乌兹别克斯坦籍1例、俄罗斯籍1例、乌克兰籍3例、哈萨克斯坦籍1例、委内瑞拉籍2例），治愈出院131例，在院14例（其中轻型1例，普通型13例）。 第140例境外输入确诊病例，男，42岁，中国籍，近期居住地为法国巴黎。该患者自法国巴黎乘坐航班（CA934），于11月5日抵达天津滨海国际机场，入境时体温正常，申报无症状。经海关检疫排查采样后，转送至河东区集中隔离医学观察点；11月9日自觉咽干，伴干咳、头痛、乏力，无发热，即由120救护车转送至空港医院发热门诊，鼻拭子及咽拭子新冠病毒核酸检测结果均为阳性，胸部CT示右肺中叶微结节影，两肺间质纹理增多，即由120救护车转送至海河医院。经市级专家组综合分析确定为我市境外输入新冠肺炎确诊病例（轻型）。全程实施闭环管理。 第141例境外输入确诊病例，男，32岁，中国籍，近期居住地为美国休斯顿。该患者自美国洛杉矶乘坐航班（CA988），于11月9日抵达天津滨海国际机场，入境时体温36.2℃，申报无症状。经海关检疫排查采样后，转送至河西区集中隔离医学观察点。11月10日海关实验室回报新冠病毒核酸检测结果为阳性，即由120救护车转送至海河医院。入院测体温37.4℃，胸部CT示双肺上叶、右肺中叶、双肺下叶磨玻璃密度影。经市级专家组综合分析确定为我市境外输入新冠肺炎确诊病例（普通型）。全程实施闭环管理。 第142例境外输入确诊病例，男，73岁，中国籍，近期居住地为美国克拉克斯维尔。该患者自美国洛杉矶乘坐航班（CA988），于11月9日抵达天津滨海国际机场。入境时体温36.3℃，申报无症状。经海关检疫排查采样后，转送至河西区集中隔离医学观察点。11月10日海关实验室回报新冠病毒核酸检测结果为阳性，即由120救护车转送至海河医院。胸部CT示双肺支气管炎，双肺上叶肺气肿，右肺下叶后基底段索条影。经市级专家组综合分析确定为我市境外输入新冠肺炎确诊病例（普通型）。全程实施闭环管理。 第143例境外输入确诊病例，女，71岁，中国籍，近期居住地为美国克拉克斯维尔。该患者自美国洛杉矶乘坐航班（CA988），于11月9日抵达天津滨海国际机场。入境时体温36.4℃，申报无症状。经海关检疫排查采样后，转送至河西区集中隔离医学观察点。11月10日海关实验室回报新冠病毒核酸检测结果为阳性，即由120救护车转送至海河医院。胸部CT示右肺上叶、双肺下叶磨玻璃密度影，左肺上叶条索影，左侧局部胸膜粘连。经市级专家组综合分析确定为我市境外输入新冠肺炎确诊病例（普通型）。全程实施闭环管理。 第144例境外输入确诊病例，男，77岁，中国籍，近期居住地为美国洛杉矶。该患者自美国洛杉矶乘坐航班（CA988），于11月9日抵达天津滨海国际机场。入境时体温36.5℃，申报无症状。经海关检疫排查采样后，转送至河西区集中隔离医学观察点。11月10日海关实验室回报新冠病毒核酸检测结果为阳性，即由120救护车转送至海河医院。胸部CT示右肺下叶斑片，条索影。经市级专家组综合分析确定为我市境外输入新冠肺炎确诊病例（普通型）。全程实施闭环管理。 第145例境外输入确诊病例，女，25岁，中国籍，近期居住地为美国拉斯维加斯。该患者自美国洛杉矶乘坐航班（CA988），于11月9日抵达天津滨海国际机场。入境时体温36.2℃，申报无症状。经海关检疫排查采样后，转送至河西区集中隔离医学观察点。11月10日海关实验室回报新冠病毒核酸检测结果为阳性，即由120救护车转送至海河医院。胸部CT示双肺上叶，右肺中叶，双肺下叶斑片，实变影。经市级专家组综合分析确定为我市境外输入新冠肺炎确诊病例（普通型）。全程实施闭环管理。 11月9日18时至10日22时，我市新增无症状感染者5例（本地1例，境外输入4例，均为中国籍），累计97例（境外输入94例），其中，解除医学观察68例、尚在医学观察19例、转为确诊病例10例。 第93例无症状感染者，男，47岁，搬运工，中国籍，近期居住地为滨海新区。该患者于11月9日上午10时，由单位集中组织在港口医院采集咽拭子样本进行核酸检测；10日核酸检测结果为阳性，经市疾控中心复核仍为阳性，即由120救护车转送至海河医院。经市级专家组综合分析确定为我市新冠病毒无症状感染者（本地病例）。 第94例无症状感染者，女，26岁，中国籍，近期居住地为美国诺曼。该患者自美国洛杉矶乘坐航班（CA988），于11月9日抵达天津滨海国际机场，入境时体温36.3℃，申报无症状。经海关检疫排查采样后，转送至河西区集中隔离医学观察点；11月10日海关实验室回报新冠病毒核酸检测结果为阳性，即由120救护车转送至海河医院。经市级专家组综合分析确定为我市新冠病毒无症状感染者（境外输入）。全程实施闭环管理。 第95例无症状感染者，女，54岁，中国籍，近期居住地为美国洛杉矶。该患者自美国洛杉矶乘坐航班（CA988），于11月9日抵达天津滨海国际机场。入境时体温36.4℃，申报无症状。经海关检疫排查采样后，转送至河西区集中隔离医学观察点。11月10日海关实验室回报新冠病毒核酸检测结果为阳性，即由120救护车转送至海河医院。经市级专家组综合分析确定为我市新冠病毒无症状感染者（境外输入）。全程实施闭环管理。 第96例无症状感染者，男，19岁，中国籍，近期居住地为美国伊利诺伊州。该患者自美国洛杉矶乘坐航班（CA988），于11月9日抵达天津滨海国际机场。入境时体温36.1℃，申报无症状。经海关检疫排查采样后，转送至河西区集中隔离医学观察点。11月10日海关实验室回报新冠病毒核酸检测结果为阳性，即由120救护车转送至海河医院。经市级专家组综合分析确定为我市新冠病毒无症状感染者（境外输入）。全程实施闭环管理。 第97例无症状感染者，男，58岁，中国籍，近期居住地为美国纽约。该患者自美国洛杉矶乘坐航班（CA988），于11月9日抵达天津滨海国际机场。入境时体温36.2℃，申报无症状。经海关检疫排查采样后，转送至河西区集中隔离医学观察点。11月10日海关实验室回报新冠病毒核酸检测结果为阳性，即由120救护车转送至海河医院。经市级专家组综合分析确定为我市新冠病毒无症状感染者（境外输入）。全程实施闭环管理。 经市专家组讨论，第135例境外输入确诊病例和第136例境外输入病例符合出院标准，于今日从海河医院出院，转入集中隔离医学观察点。 截至目前，全市无现存疑似病例，累计排查密切接触者8667人，尚有808人正在接受医学观察。 责任编辑：刘光博 
天津：保持战时状态 根据疫情变化情况迅速采取措施|2020年11月10日 22:45|原标题：天津：保持战时状态，根据疫情变化情况迅速采取排查、封控、隔离等措施 天津卫健委网站11月10日消息，今日上午，在调研检查南开区疫情防控工作后，市委书记李鸿忠在天津礼堂主持召开全市各区各部门专题会议，部署冷链食品疫情防控应对工作。市委副书记、市长廖国勋讲话，市委副书记阴和俊，市领导赵飞、于立军、曹小红、康义、金湘军和市政府秘书长孟庆松出席。 李鸿忠指出，近日天津市连续出现个别新增确诊病例和无症状感染者，疫情防控压力持续加大，特别是进口冷链食品疫情防控任务十分艰巨。各区、各部门要坚决贯彻落实习近平总书记重要讲话精神，进一步增强紧迫感责任感，毫不松懈抓好疫情防控工作。一是坚决落实“两全”“两封”防控措施。严格按照时限完成进口冷冻货品核酸检测全覆盖、相关从业人员核酸检测全覆盖“两全”任务，将全市所有相关货品、相关人员纳入监测范围，把疫情防控网络兜紧兜牢。凡是出现冷冻货品核酸检测异常问题的场所要一律实行整体封控，凡是出现问题的冷冻货品要一律封存处置，坚决切断病毒传播渠道。二是抢抓疫情防控“黄金窗口期”。保持战时状态，切实提高核酸检测工作效率，加快密切接触者追踪调查，根据疫情变化情况迅速采取排查、封控、隔离等措施，强化医疗诊断，保证病例及时发现、快速处置、精准管控、有效救治。三是加强冷链进口冷冻货物监管。认真落实国务院联防联控机制关于进口冷链食品预防性全面消毒工作部署要求，从全国疫情防控大局出发，对所有入境冷链货品实行闭环管理，统筹利用全市冷链储存库资源实现入关后就近集中仓储，加强对全市进口冷链货品装载运输工具、产品内外包装等消毒，最大限度切实降低病毒扩散风险。四是压实属地责任。各区要坚决服从市防控指挥部统一指挥调度，时刻保持如履薄冰、见叶知秋的责任感使命感，结合疫情防控新要求巩固完善已有防控措施，增强工作精准度，确保第一时间作出科学有效应对，坚决担起促一方发展、保一方平安的政治责任。 廖国勋强调，要迅速落实市委部署要求，严格细致开展进口冷链货品冷库和从业人员核酸检测，确保全覆盖、无死角。要强化海关、市场监管、商务等部门及属地协同，对冷链行业实行全程闭环管控。要抓住疫情处置“黄金窗口期”，把事态控制在第一环节、把问题解决在第一时间。 责任编辑：赖柳华 SN244 
复星医药：新冠疫苗能否获批上市存在不确定性|2020年11月10日 21:56|原标题：复星医药：新冠疫苗能否获批上市存在不确定性 复星医药公告，复星医药产业获BioNTech授权在区域内开展mRNA新型冠状病毒疫苗产品的开发和商业化；区域内新冠疫苗能否获批上市，以及上市时间均存在不确定性。 责任编辑：赖柳华 SN244 
张文宏：希望大家能够越来越习惯当前的抗疫策略|2020年11月10日 21:00|原标题：张文宏：希望大家能够越来越习惯当前的抗疫策略 今天中午，上海临床救治专家组集体会诊了上海本土病例，病情不重，但这个病例引起了各界关注。 上海进博会今天也圆满结束。这次进博会的人员流动与货物流动均是疫情之后最大的国际交流盛会，由于做好了很好的输入货物与人员的管控与检测，为疫情期间成功举办国际盛典提供了很好的模式。在疫情期间，进博会的成功举办，100多万人次参与的盛会，在防控有保障的情况下为维持世界经济正常运转提供了信心。 与此同时，上海偶发一例病例，虽然与进博会无关，但是仍然牵动大家的心。特别是后阶段的全球抗疫所面临的风险为大家担忧。 当前，中国绝大部分地区没有本土病例。但这不是我们停止与世界交流的理由。新常态的疫情防控就是要继续维持一定程度国际间货物与人员交流的今天，管控好输入风险，特别是对于偶发病例的风险管控，是保障未来一年乃至两年我们新常态生活的保障。 上海今天正在向全球直播下做这张答卷。在全球疫情蔓延的今天，除非中国停止与外界交流，否则时刻会有物流和人员交流中带来输入病例的风险。上海承担我国一半以上的入境航班和境外输入病例，特别是货物吞吐量巨大，隐含输入的风险一直在意料之中。出现病例后，上海团队有条不紊进行了应对。 在面临输入风险，必须始终保持和加强发热门诊的监测与检测能力，做好对病例的最快发现；同时要始终保持强大快速的病例追踪能力。 按照中国目前的经验，我们的追踪能力总是能快过病毒的传播能力，因为我们的追踪跨越了病例的密切接触者，一直延伸到密切接触者的接触者，总能跑到病毒的前面。我们会扩大病人的接触范围，实施扩大检测，发现潜在的病例。 这种策略，就是“新常态”下的“动态清零策略”。希望大家能够越来越习惯当前的抗疫策略，不要因为出现偶发的病例，影响到正常的生活。 上海安好，天津安好，喀什安好，中国安好！ 责任编辑：武晓东 SN241 
今天，南宁疾控发布重要提醒|2020年11月10日 20:18|原标题：今天，南宁疾控发布重要提醒 11月9日，上海报告一例新冠肺炎确诊病例，浦东新区祝桥镇营前村调整为中风险地区；同日，天津市将滨海新区汉沽街、中心渔港冷链物流区A区和B区划定为中风险地区。为严防上述地区疫情输入南宁市，11月10日，南宁市疾病预防控制中心发布重要提醒，请市民做好相关防控措施。 自10月25日以来，从上海浦东新区祝桥镇营前村、天津市滨海新区汉沽街、中心渔港冷链物流区来（返）邕人员，或与以上中风险地区确诊病例、无症状感染者行动轨迹有交集的人员，须立即向所在单位和居住地社区（村、屯）登记报备， 如实报告出发地、出行方式、健康状况等信息，主动配合开展核酸检测和健康管理等措施。一旦出现发热等症状，应立即到医疗机构发热门诊就诊，并如实报告相关旅居史和接触史。 自11月9日起，从中风险地区来邕返邕人员，须严格落实中高风险地区来邕返邕人员管理规定，抵邕前主动向目的地所在社区报备 ，并持有7日内核酸检测阴性证明，抵邕后立即进行核酸检测并按风险等级接受健康管理。 近期市民如无必要，请不要前往以上中风险地区。如必须前往，请提前了解当地防控要求并做好个人防护；从中风险地区返邕须严格按照南宁市相关防控政策执行。 此外，国内多地报告的确诊病例和无症状感染者与冷链物流相关联，请广大市民提高警惕，养成良好卫生习惯，出入大型商超市、农贸市场时建议佩戴口罩，加强手部卫生，采购冷链食品应选择来源清楚、具备合格消毒证明的产品。相关从业人员严格落实南宁市新冠肺炎防控要求，加强健康监测意识，工作时佩戴口罩手套等必要防护装备，积极配合开展定期核酸检测，出现症状及时规范就医。 请广大市民积极支持和配合疫情防控工作，不造谣不传谣，对掌握从国内疫情中风险地区及境外来（返）邕人员线索的，及时向疾控部门反映情况，疾控部门将对线索提供人相关信息进行严格保密，线索报告电话：0771-2430765。 来源：南国早报记者 责任编辑：杨杰 
最新消息！陈薇团队为新冠康复者研制新药|2020年11月10日 20:08|原标题：最新消息！陈薇团队为新冠康复者研制新药 除了新冠疫苗，陈薇院士还率领团队研发新药，加紧研制针对特异性治疗新冠病毒感染的单抗药物，以及改善新冠肺炎康复者肺纤维化程度的生物新药，争取尽快进入临床试验。期待！加油！（记者张振威 庄颖娜 邵龙飞 刘兵） 责任编辑：杨杰 
香港新增9例新冠肺炎确诊病例 累计5389例|2020年11月10日 18:56|原标题：香港新增9例新冠肺炎确诊病例 累计5389例 香港特区政府卫生署卫生防护中心10日下午消息，截至当日零时，香港新增9例新冠肺炎确诊病例，其中本地感染病例5例、输入病例4例。香港累计报告新冠肺炎确诊病例5389例。 （总台记者 金东 周伟琪） 责任编辑：杨杰 
安徽阜阳市召开新闻发布会 发布确诊病例详情|2020年11月10日 18:25|原标题：安徽阜阳市召开新闻发布会 发布确诊病例详情 今天（10日）傍晚，阜阳市召开新闻发布会通报，11月10日，阜阳市颍上县确诊一例新冠肺炎病例，患者兰某系11月9日上海市通报的新冠肺炎确诊病例王某某密切接触者。11月10日零时，经专家会诊后转运至阜阳市第二人民医院隔离治疗。经县级核酸检测，省市复核，11月10日8时17分兰某被确诊为新冠肺炎病例。 病例兰某，男，50岁，户籍所在地颍上县慎城镇张洋社区，长期在上海某公司务工，返回颍上前同王某某一起在上海浦东机场从事机场货物搬运工作，在工作场所一直佩戴口罩，每次进入工作场所均测量体温。 疫情发生后，安徽省市县领导高度重视，副省长、市委书记杨光荣连夜部署，省政府副秘书长、省卫生健康委党组书记李必方带队到颍上实地指导，阜阳市委副书记、市长孙正东做出具体安排。省市相关专家组已进驻颍上，指导开展核酸采样、流行病学调查、社区管控等相关工作。 11月10日凌晨，患者由阜阳市紧急救援中心派专用负压救护车转入阜阳市第二人民医院隔离治疗。病程中患者无发热、咳嗽、闷喘，无头痛、头晕，无腹痛、腹泻。体温36.8℃，氧饱和度99%。胸部CT显示：左下肺可见斑片状高密度影，无明显胸腔积液，安徽省、市疾控中心咽式子新冠肺炎病毒核酸检测结果均为阳性。根据《新型冠状病毒肺炎诊疗方案（试行第八版）》，市级专家组诊断为新型冠状病毒肺炎确诊患者（普通型），目前患者病情稳定，正在市级定点医院积极救治中。 此次疫情发生后，阜阳市疫情防控指挥部迅速开展行动，坚持底线思维，突出抓好内防扩散，始终把人民群众身体健康和生命安全放在第一位。下一步，当地将继续做好流行病学调查、溯源和核酸检测等工作，严格落实“四方责任”，做好闭环管理和各项防疫工作。 责任编辑：赖柳华 SN244 
河南濮阳通报一例濮阳籍无症状感染者相关情况|2020年11月10日 17:58|原标题：河南濮阳通报一例濮阳籍无症状感染者相关情况 11月10日，河南省濮阳市秋冬季新冠肺炎疫情防控第三场新闻发布会召开。濮阳市卫健委副主任刘勇波通报一濮阳籍无症状感染者相关情况称，昨天，天津市报告一例无症状感染者张某某，就是运输冷链食品的司机。该司机现居住天津市滨海新区临港路，户籍地为濮阳市南乐县，于11月5日11时驾车到中新天津生态城海联冷库装载冷链食品（进口猪头）；11月6日10时抵达濮阳市利通永兴食品有限公司卸货，17时返回南乐家中；11月7日凌晨6时驾车离濮返津。11月8日上午，在天津市被诊断为无症状感染者。 濮阳市接到天津市协查通报后，第一时间启动应急响应，按照科学防控、精准防控、市县联动、人物同查的要求，落实应急处置措施。迅速对13名密切接触者、133名密接的密接进行精准追踪排查，全部予以集中隔离，对密切接触者、密接的密接以及一般接触人员共计780人，全部进行核酸和血清学检测，检测结果均为阴性。对张某某在濮所有活动区域进行终末消毒，采集其家庭环境样本6份，核酸检测结果均为阴性。同时，坚持人物同查。对张某某自天津生态城海联冷库运输到濮阳市利通永兴食品有限公司的进口猪头全部进行封存，对19份食品样本和9份环境样本进行检测，核酸检测结果均为阴性。（总台央视记者 田萌） 责任编辑：杨杰 
驻斯里兰卡使馆提醒在斯中国公民严防第二波疫情冲击|2020年11月10日 17:47|原标题：驻斯里兰卡使馆提醒在斯中国公民严防第二波疫情冲击 据“领事直通车”微信公众号11月10日消息，近期，新冠肺炎疫情在全球多个地区再次大规模反弹、蔓延，斯里兰卡确诊病例不断上升。日前，斯卫生部已将新冠风险预警等级调整为3级，斯疫情风险明显上升，形势日趋严峻。为此，中国驻斯里兰卡大使馆再次郑重提醒全体旅斯侨胞和中资机构人员，切实提高对第二波疫情严重性、紧迫性的认识，扎实做好疫情防控： 一、坚决克服麻痹思想、厌战情绪、侥幸心理、松劲心态，坚持做到“非必要不外出”。“不流动是最大的安全，不出门是最好的保护”。面对来势猛烈的第二波疫情，请全体在斯同胞及时了解和遵守斯政府相关防疫政策和措施，必要外出时，在公共场所佩戴口罩，保持社交距离，注意勤洗手、勤消毒。平时加强锻炼，保持身心健康，增强免疫力，降低感染风险。 二、请中资企业人员及从事餐饮零售、渔业、服装纺织等行业在斯同胞，根据自身实际及所在地区具体情况统筹好疫情防疫和复工复产，务必高度重视，严格遵守各项防疫措施。请各中资机构和中国超市、餐馆等人员密集场所经营者做好本单位宿舍、餐厅、办公室等场所通风、消毒工作，科学控制工作场所人员数量，加强员工健康监测。针对防疫工作中的薄弱环节、问题漏洞和关键要害，要再强调、再部署、再督查。 三、如非必要，暂勿旅行。综合考虑疫情风险和出行成本，坚决做到“非必要不旅行”。如确有紧急事务回国，考虑到全球很多中转机场不具备检测条件，为避免发生中转地滞留，降低旅途感染风险，建议选择直飞航班回国，并按要求在航班起飞前48小时内完成核酸和血清抗体检测的采样、检测并获取检测报告。往返医院途中应加强防护，在完成检测后注意居家隔离，赴机场及回国途中加强防护，避免检后感染。 责任编辑：赖柳华 SN244 
北京公布昨日2例新增境外输入确诊病例详情|2020年11月10日 17:09|原标题：北京公布昨日2例新增境外输入确诊病例详情 新京报快讯（记者 戴轩）11月9日，北京新增报告2例境外输入确诊病例。今天（11月10日），北京召开新冠肺炎防控工作新闻发布会，北京市疾控中心副主任刘晓峰介绍了2名新增确诊者的详情。 确诊病例1，某男，22岁，福建籍，在瑞士工作。2020年11月7日从瑞士乘坐A3855航班经停希腊雅典，后转乘国航CA864航班于11月8日到达北京首都机场，海关进行健康筛查并采样后，经闭环管理送至集中隔离酒店。11月9日海关报告其咽拭子核酸检测结果为阳性，当日由120负压救护车转运至地坛医院。综合流行病学史、临床表现、实验室检测和影像学检查等结果，诊断为确诊病例，临床分型为轻型。 确诊病例2，某女，45岁，福建籍，在瑞士工作。患者自述曾于回国前两周患感冒，出现嗅觉减退等症状，一周后痊愈。2020年11月7日从瑞士乘坐A3855航班经停希腊雅典，后转乘国航CA864航班于11月8日到达北京首都机场，海关进行健康筛查并采样后，经闭环管理运送至集中隔离酒店。11月9日海关报告其咽拭子核酸检测结果为阳性，当日由120负压救护车转运至地坛医院，综合流行病学史、临床表现、实验室检测和影像学检查等结果，诊断为新冠肺炎确诊病例，临床分型为普通型。 已对以上2例确诊病例同航班及同乘车的密切接触者落实集中隔离医学观察措施，目前无异常报告；已对其居住的集中隔离酒店进行消毒。 他提醒，当前国外新冠疫情仍处于高发态势，境外输入确诊病例时有发生，天津、上海等地相继报告出现本地确诊病例。再次提醒市民朋友，要继续落实疫情防控的各项措施，如无十分必要，建议不要前往境外和国内中高风险地区旅行及出差。近14天内有中高风险地区旅行史的市民朋友，请注意做好自身健康监测，如出现发热、干咳等症状，要及时佩戴医用口罩前往就近的发热门诊，并主动告知医生旅行史、接触史等情况，便于及时排查。对于中高风险地区来京就诊的朋友，在就诊时请主动告知医生居住地情况及接触史，特别是有中高风险地区旅行史。 市民朋友日常要保持高度的防控意识，科学配戴口罩、勤洗手、常通风、不聚集、与他人保持1米以上社交距离。海淘、代购境外国家或地区商品，包括购买境外冷冻食品，要关注海关食品检疫信息，做好外包装消毒，注意饮食卫生，生熟分开、煮熟煮透确保食品安全。 责任编辑：赖柳华 SN244 
